year,deux_DET archers_NOUN,deux_DET marchés_NOUN
1800,1.5720821977538435e-08,5.0306631749208464e-08
1801,6.667311436281409e-08,4.524246755011063e-08
1802,4.923248297927785e-08,1.5664880947952042e-08
1803,2.1453731902099094e-08,9.751695984050457e-08
1804,6.426812504400914e-08,1.9774807569206132e-08
1805,4.832892019912549e-08,1.1371510844071508e-08
1806,3.7461699520235925e-08,8.645007376628655e-09
1807,5.4092148538131823e-08,5.693910054560547e-08
1808,2.7192888385485503e-08,1.8128591960930862e-08
1809,1.4457795094457992e-07,4.969867006821005e-08
1810,9.360507080558023e-08,0.0
1811,5.515568934910675e-08,1.7549536934780008e-08
1812,5.067695685312401e-08,3.7340914360584065e-08
1813,8.052076450049128e-08,2.8757416448144113e-08
1814,3.776012391654149e-08,7.237357380063258e-08
1815,9.440282422445989e-08,3.2366683333506785e-08
1816,2.3176038865813098e-08,2.0858434979231788e-08
1817,7.005930346970501e-08,4.981994816688484e-08
1818,1.01330008828171e-07,5.00689456561787e-08
1819,9.212434715077933e-08,1.8631890030818e-08
1820,2.302097303896744e-07,3.678609061807947e-08
1821,1.3214394467553348e-07,2.4653720620548825e-08
1822,1.0627152846609533e-07,2.5064039732569654e-08
1823,1.8974758797529745e-07,2.9648060007048116e-08
1824,1.0694813390443869e-07,1.9368560089105813e-08
1825,1.822726740652314e-07,6.516027895031584e-08
1826,8.015265506866598e-08,5.813269687848788e-08
1827,8.203372869886039e-08,7.005127267145639e-08
1828,1.1373653541202344e-07,2.7516904310687096e-08
1829,5.143905640325741e-08,5.1439055681612444e-08
1830,6.053364653979543e-08,4.383470919577803e-08
1831,4.67736174236677e-08,8.263339079661591e-08
1832,1.4747666288172923e-07,7.170884108731457e-08
1833,7.645194566308078e-08,1.8649641475576573e-07
1834,1.0361329016994603e-07,9.241185727759671e-08
1835,1.595811625065835e-07,5.52105419160398e-08
1836,2.1170363284639393e-07,7.056787598713754e-08
1837,1.913420004662214e-07,6.749154035645688e-08
1838,2.1650715709142787e-07,4.9234863297442644e-08
1839,7.201219598407249e-08,6.781730821359133e-08
1840,9.363442349252793e-08,6.369688776430849e-08
1841,5.6500827128047604e-08,1.0016055806971735e-07
1842,7.714504945965928e-08,3.219967315004624e-08
1843,6.970154831087427e-08,5.434358119060789e-08
1844,9.056125782613833e-08,4.994590718787606e-08
1845,8.760958181142087e-08,3.682950566741283e-08
1846,1.16504580205401e-07,3.219975752699611e-08
1847,5.824681537092147e-08,5.231426936092021e-08
1848,7.160247150750365e-08,1.866491476931742e-07
1849,3.9383249550439814e-08,7.792855827304379e-08
1850,5.7706465383944305e-08,3.937617787386216e-08
1851,7.803820878393708e-08,9.351686491854139e-08
1852,1.0351767065763795e-07,4.296959943417278e-08
1853,1.0212003576093309e-07,5.733054386780623e-08
1854,8.209149804372373e-08,6.13088397827255e-08
1855,6.58060237412883e-08,7.376642940926104e-08
1856,7.403380342108079e-08,6.885661507638474e-08
1857,1.2594293674617063e-07,5.564920280143326e-08
1858,1.037459335107016e-07,3.8170672400639205e-08
1859,4.6338777259791186e-08,1.2577668329072367e-07
1860,7.186178940798982e-08,6.72846014460049e-08
1861,5.564837235461084e-08,6.555189591139765e-08
1862,9.261872005450478e-08,4.698705868833031e-08
1863,1.7531119600455725e-07,8.141231744307476e-08
1864,8.966141240573933e-08,4.554991406280351e-08
1865,1.1296426560836181e-07,7.389745659835967e-08
1866,9.925850408265546e-08,3.941146609065527e-08
1867,7.08510476954416e-08,6.793935725113442e-08
1868,8.595381062459495e-08,5.4832602014442955e-08
1869,7.129938062178098e-08,3.809144999422642e-08
1870,5.21798440011878e-08,4.6445795653937694e-08
1871,4.67331806586202e-08,1.1683295286779583e-07
1872,5.0797650197331734e-08,4.898344929671339e-08
1873,1.3648090524398526e-07,1.2750189704036075e-07
1874,8.304707010964307e-08,9.917850984919596e-08
1875,8.639506177132716e-08,5.0921590055708066e-08
1876,5.320493179361563e-08,6.166934896079113e-08
1877,1.2740721011539335e-07,1.0390490956524445e-07
1878,9.541760404019328e-08,9.239805986993588e-08
1879,1.313504958133649e-07,6.353698089878179e-08
1880,9.626769470472141e-08,4.8775631977804323e-08
1881,9.20371022727906e-08,1.0737661382265173e-07
1882,7.786800693132534e-08,5.657077517540188e-08
1883,1.0679682560521542e-07,6.319339274085678e-08
1884,6.205595060038149e-08,5.0833065756705764e-08
1885,9.217258734040001e-08,6.961286702633629e-08
1886,1.2906927904232646e-07,7.034275850692495e-08
1887,6.594213886046418e-08,9.401651523965882e-08
1888,6.086989934317444e-08,7.481925301533465e-08
1889,8.5205862920823e-08,8.144677554611235e-08
1890,6.423298898328156e-08,8.127439432570327e-08
1891,5.035633687811014e-08,8.477712665211357e-08
1892,5.641661182664848e-08,4.8894397863818995e-08
1893,6.220000881018706e-08,6.281585074319196e-08
1894,9.011201007602665e-08,6.553600884195987e-08
1895,3.550982685673887e-08,1.0111272152890649e-07
1896,6.545702013749377e-08,5.838058647622546e-08
1897,4.19523360495333e-08,1.0954221574266398e-07
1898,4.753017956993233e-08,1.0298206198910975e-07
1899,5.638130140539488e-08,7.572782223519425e-08
1900,5.450605911061501e-08,9.966822123175234e-08
1901,4.6945406007026236e-08,7.209473240621378e-08
1902,5.4995180076566896e-08,5.695929283788814e-08
1903,5.400220137730116e-08,8.100330628479924e-08
1904,4.622177662838567e-08,6.503296479110077e-08
1905,4.644683049281895e-08,5.728442697972014e-08
1906,4.423998545277641e-08,8.847997268190966e-08
1907,7.405694457673917e-08,7.405694435469456e-08
1908,2.406580690283988e-08,1.0313916831705683e-07
1909,5.886052534265218e-08,5.170924577413416e-08
1910,4.061554403911316e-08,6.733629875910196e-08
1911,4.5223181643905264e-08,9.895895836109503e-08
1912,5.4698923501739216e-08,7.397378354312423e-08
1913,4.77269063159369e-08,6.522677375997432e-08
1914,3.7501765526304354e-08,7.500353316203245e-08
1915,8.717763533283573e-08,6.008188702111283e-08
1916,4.2851102666219276e-08,7.58134857115067e-08
1917,2.0836205649743533e-08,4.6058981517660413e-08
1918,1.4932290071101306e-08,7.006689362043517e-08
1919,3.4989824149178617e-08,6.261336960022845e-08
1920,3.8618382269817175e-08,5.7548959819797574e-08
1921,3.937828729760895e-08,8.860114597553093e-08
1922,4.648099238835357e-08,7.304156479648327e-08
1923,4.7771765654403e-08,6.794206885984977e-08
1924,2.0626598873363378e-08,6.961477394540339e-08
1925,3.4094352896474334e-08,7.25879756302561e-08
1926,4.569916678409669e-08,8.136681239889754e-08
1927,3.233275180924977e-08,1.0257287197390497e-07
1928,4.456155899834613e-08,5.370239342106231e-08
