year,des_DET yeux_NOUN,des_DET mieux_NOUN
1800,1.0602122330283237e-05,1.5720821977538435e-08
1801,1.1441582699944775e-05,2.8574191901498125e-08
1802,1.090947046122892e-05,2.2378401354217203e-09
1803,1.3311065231391694e-05,1.950339223455444e-09
1804,1.0984905742361661e-05,2.4718509461507665e-09
1805,1.0530019238785826e-05,2.842877755426798e-08
1806,8.708404237722789e-06,8.645007376628655e-09
1807,7.980015013231423e-06,0.0
1808,1.0709465982472466e-05,0.0
1809,7.599378562872516e-06,9.036122072814123e-09
1810,1.1433859754106379e-05,0.0
1811,7.714275000125781e-06,7.521229861140455e-09
1812,7.158786687000429e-06,0.0
1813,9.10172251167296e-06,0.0
1814,6.548235120362733e-06,0.0
1815,6.613592255177991e-06,2.697223555614414e-09
1816,8.468524598015392e-06,2.3176038865813098e-09
1817,1.1369846518505256e-05,9.341240669868967e-09
1818,9.409384986724945e-06,4.768470951432846e-09
1819,9.650284226836447e-06,3.1053151161586356e-09
1820,9.022085947663072e-06,7.119888678630559e-09
1821,1.0320047039158453e-05,5.9168927535324656e-09
1822,9.027064294286902e-06,1.4035862250239006e-08
1823,8.342964719076917e-06,7.906149512848515e-09
1824,8.29816411851425e-06,5.052667617633233e-09
1825,8.9005417152066e-06,8.805443041381977e-10
1826,7.318554139601474e-06,3.5231937367541377e-09
1827,6.5516374760932194e-06,4.608636583469661e-09
1828,7.668961146123365e-06,5.503380862137419e-09
1829,9.511081429991464e-06,2.1432940755516938e-08
1830,9.024731738804803e-06,8.349468672008697e-09
1831,8.941556956187924e-06,0.0
1832,1.0300365687498925e-05,2.705993873419743e-09
1833,9.116315631274574e-06,3.4750886612755494e-09
1834,8.919143880348201e-06,1.8669061851994684e-09
1835,1.071008853159583e-05,7.563087933704082e-10
1836,8.775955805617741e-06,2.1506400216253496e-08
1837,8.410002401149086e-06,6.957891152126194e-09
1838,7.925550661980196e-06,2.651107955387033e-08
1839,7.313082996063258e-06,3.4957374772659477e-09
1840,7.73216533644927e-06,2.93005673057678e-08
1841,8.010918833178948e-06,1.219904177673925e-08
1842,8.077422386065791e-06,1.2074877098200432e-08
1843,8.383087788388366e-06,8.269675610961258e-09
1844,7.862912944744949e-06,4.9397050894128824e-09
1845,8.35583313829602e-06,7.254296274794569e-09
1846,7.889526372650835e-06,1.0538101946622191e-08
1847,6.610474081014672e-06,1.0786447290911383e-09
1848,6.909236233809679e-06,1.126331028444838e-08
1849,7.121664566511754e-06,8.379414939696517e-10
1850,7.33686792386834e-06,4.073397619208663e-09
1851,6.66871976306993e-06,9.674158363282004e-09
1852,7.478012506112464e-06,1.8229528109259263e-08
