year,des_DET âges_NOUN,des_DET ages_NOUN,des_DET mages_NOUN
1800,3.175606018146482e-07,2.829747991484055e-08,9.746909768182377e-08
1801,2.0001933620505952e-07,0.0,1.0715321474563666e-07
1802,2.1483265300048515e-07,0.0,2.215461734067503e-07
1803,2.827991831821919e-07,7.801356893821776e-09,1.6967950955404376e-07
1804,2.916784183071286e-07,4.943701892301533e-09,1.2606439692142146e-07
1805,2.1037294750669844e-07,8.528632911009026e-09,9.95007196635811e-08
1806,3.4003695859041727e-07,0.0,1.527284636537729e-07
1807,1.7935816742919997e-07,5.693910232196231e-09,1.1103124686329124e-07
1808,2.243413206315381e-07,2.2660739951163578e-09,2.6739673231190864e-07
1809,1.874995396722312e-07,0.0,1.1746958716862821e-07
1810,2.129515372928381e-07,0.0,1.1232608443378922e-07
1811,2.381722890021365e-07,0.0,1.4541044901505984e-07
1812,3.440698632672934e-07,5.3344164641089264e-09,1.0935553440560852e-07
1813,2.933256553205865e-07,0.0,9.777521592368998e-08
1814,2.0453401816666883e-07,0.0,1.0698702190836684e-07
1815,2.7781401268356376e-07,8.091670444798638e-09,4.8550024445148665e-08
1816,4.1253348825875946e-07,9.270415546325239e-09,1.2746821020925836e-07
1817,4.919719917007015e-07,3.113746815941454e-09,1.4167547890409082e-07
1818,3.516747337783954e-07,0.0,1.1682753986441696e-07
1819,1.8631890696951814e-07,3.105315005136333e-09,2.6912730355377334e-07
1820,2.2427649515321946e-07,1.1866481131050932e-09,1.2578469998913988e-07
1821,2.642878911274238e-07,5.9168929755770705e-09,1.597561105626255e-07
1822,3.0076847679083585e-07,5.012807946513931e-09,1.2632276025215106e-07
1823,2.520085287116558e-07,9.882686891060644e-10,9.882686802242802e-08
1824,2.467386028826013e-07,1.6000114122505238e-08,1.204219088890568e-07
1825,4.0152820579564263e-07,0.0,1.6642287192780714e-07
1826,2.686435358612016e-07,1.7615968683770689e-09,1.8672927026841535e-07
1827,2.9126583012129004e-07,6.452091139141913e-09,1.2074627608882338e-07
