year,mêmes_ADJ airs_NOUN,mêmes_ADJ mères_NOUN
1800,6.917161954334006e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,1.3652374342143503e-08,1.5602713787643552e-08
1804,4.2021465418429216e-08,9.887403784603066e-09
1805,1.7057265822018053e-08,8.528632911009026e-09
1806,2.5935023018064385e-08,0.0
1807,3.131650672116848e-08,5.693910232196231e-09
1808,5.211970233176544e-08,4.5321479902327155e-09
1809,2.0331274441787173e-08,9.036122294858728e-09
1810,6.084329839950442e-08,1.6380887757350138e-08
1811,7.270522672797597e-08,7.521229861140455e-09
1812,5.067695596494559e-08,5.3344164641089264e-09
1813,6.614205716459765e-08,0.0
1814,4.72001566720337e-08,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,6.85024303948012e-08,7.784366928831332e-09
1818,2.8610825708597076e-08,0.0
1819,5.072014630513877e-08,1.035105001712111e-09
1820,6.051905643289501e-08,1.1866481131050932e-09
1821,7.59334568556369e-08,4.930744257336528e-09
1822,3.909990198280866e-08,3.0076847679083585e-09
1823,4.15072847204101e-08,9.882686891060644e-10
1824,4.8000341479337294e-08,8.421112696055388e-10
1825,8.277116592125822e-08,6.163809906922779e-09
1826,4.315912249808207e-08,8.807984341885344e-10
1827,3.871254605769536e-08,0.0
1828,7.06267186956211e-08,4.586150570418113e-09
1829,2.4004892296147773e-08,0.0
1830,4.905312778191728e-08,1.0436835840010872e-09
1831,4.053713453799901e-08,0.0
1832,1.1500473817704915e-07,0.0
1833,4.9809603552830595e-08,0.0
1834,1.4001796166951408e-08,1.4001796166951408e-08
1835,4.689114518896531e-08,6.050470346963266e-09
1836,4.301280043250699e-08,4.704525213838906e-09
1837,2.5048407792382932e-08,1.3915782304252389e-08
1838,2.3354999711955315e-08,2.5248647617104325e-09
1839,3.5656523067473245e-08,2.23727205650448e-08
1840,2.229391071750797e-08,4.458782232319436e-09
1841,4.494383887276854e-08,4.494383976094696e-09
1842,3.4882980060046975e-08,1.341653010911159e-09
1843,4.4892523476391943e-08,1.1813822142769936e-09
1844,3.0735943568060975e-08,2.195424508855126e-09
1845,3.013322924516615e-08,1.674068439427856e-09
1846,4.039605983052752e-08,2.3418005312692003e-09
1847,2.480882876909618e-08,0.0
1848,3.378993085334514e-08,4.82713291560799e-09
1849,4.1059134758825167e-08,0.0
1850,2.2403686017469226e-08,6.788996032014438e-10
1851,9.029214709244116e-09,6.449438760824933e-10
1852,2.278690836021724e-08,3.906327261660181e-09
1853,2.9262466227919504e-08,1.7915795513800958e-09
1854,2.3900057044556888e-08,2.5978321716024766e-09
1855,1.963566731433275e-08,6.8990182455763716e-09
1856,2.8992259260007813e-08,1.5531567143511893e-09
1857,5.4672902649599564e-08,2.4407544874094356e-09
