year,trois_DET ondes_NOUN,trois_DET mondes_NOUN
1800,0.0,8.17482743720177e-08
1801,3.333655484993869e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,4.699464284385613e-08
1803,0.0,1.755305234496518e-08
1804,0.0,1.2359254952798437e-08
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,3.4163463169534225e-08
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,7.020380277111826e-09
1811,0.0,2.0056614147279106e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,4.026038280535715e-08
1814,1.5733386149463513e-08,0.0
1815,5.394447111228828e-09,5.1247246446450845e-08
1816,0.0,4.4034475621401725e-08
1817,0.0,7.784366928831332e-09
1818,0.0,3.337929666002992e-08
1819,0.0,2.5877625819958894e-08
1820,0.0,2.4919610375206958e-08
1821,0.0,1.7750679148775816e-08
1822,4.010246357211145e-09,2.90742860897808e-08
1823,0.0,2.2730180404550993e-08
1824,8.421112696055388e-10,4.210556348027694e-09
1825,0.0,2.7296874094417944e-08
1826,3.5231937367541377e-09,2.3781558056157337e-08
1827,0.0,2.1199728195142598e-08
1828,1.8344602503717056e-09,1.2841221419535032e-08
1829,2.5719527840806222e-08,2.4004892296147773e-08
1830,5.322786122974321e-08,2.922314124020886e-08
1831,1.7150327380477393e-08,6.080570358335535e-08
1832,2.705993873419743e-09,4.6001897402447867e-08
1833,1.7375443306377747e-08,8.68772147555319e-08
1834,0.0,4.6672654852031314e-08
1835,4.5378527602224494e-09,3.932805725526123e-08
1836,3.36037508930076e-09,3.427582484505365e-08
1837,0.0,5.98378591121218e-08
1838,0.0,2.8404729457420785e-08
1839,2.7965900706306e-09,3.4957377437194737e-08
1840,1.2739377330817092e-09,4.840963396812725e-08
1841,1.926164561183441e-09,3.5955073141025196e-08
1842,6.708265054555795e-09,3.018719141323345e-08
1843,1.1223130869097986e-08,5.788772861059499e-08
1844,4.390849017710252e-09,4.8848193989758926e-08
1845,9.48638767539478e-09,2.0088821273134272e-08
1846,0.0,3.981061014179943e-08
1847,5.3932236454556914e-09,5.3932235566378495e-08
1848,0.0,5.6316553476154496e-08
1849,1.3407063903514427e-08,8.044238342108656e-08
1850,0.0,5.159636984330973e-08
1851,0.0,3.611685883697646e-08
1852,0.0,5.729280161403949e-08
1853,5.971931837933653e-09,4.001194398028929e-08
1854,8.832629738719788e-09,5.039794648276086e-08
1855,1.0613874223963649e-09,6.156046694627548e-08
1856,1.1389816201301528e-08,4.970101813439598e-08
1857,5.3696598834029885e-09,6.150701636897793e-08
1858,1.3212924976357954e-08,5.480917220079817e-08
1859,3.5645213447565993e-09,4.4811123700583266e-08
1860,0.0,5.7214798565574654e-08
1861,3.3011746669586728e-09,5.517677692523648e-08
1862,1.3553959066214816e-09,4.698705791117419e-08
1863,2.4973103585068657e-09,3.6460733376930676e-08
1864,3.835782358407869e-09,3.8837296045812764e-08
1865,7.0602665935837194e-09,3.3418593725631496e-08
1866,6.811858188626729e-09,4.476363812955242e-08
1867,2.135237053835226e-08,3.008743121313273e-08
1868,1.0867722721741302e-08,2.3711395513714706e-08
1869,4.395167341186834e-09,4.0533208789383934e-08
1870,1.1468097582678638e-09,4.873941472638421e-08
1871,0.0,1.6993883633631413e-08
1872,1.1489944995446422e-08,4.5959779981785687e-08
1873,5.9860045809045914e-09,3.172582285770886e-08
1874,8.961913877669758e-09,3.1665429389704514e-08
1875,8.010138330405425e-09,3.432916173551348e-08
1876,9.673623679873344e-09,7.738898943898675e-08
1877,6.80329748092845e-09,5.999271479595336e-08
1878,0.0,7.18651520514868e-08
1879,1.649517855639715e-08,3.1157558311178946e-08
1880,5.134277003548959e-09,4.235778638950194e-08
1881,1.1853263259808955e-08,4.044054335849978e-08
1882,6.655385353937504e-09,3.460800157562005e-08
1883,1.7062214752172622e-08,8.02556030521373e-08
1884,6.601696966868076e-10,4.159069266762572e-08
1885,3.86738152613475e-09,5.801072161526477e-08
1886,1.355227396970804e-08,4.775563311465447e-08
1887,7.1818169189441505e-09,3.133883907935342e-08
1888,1.521747527988282e-08,4.945679532575298e-08
1889,8.14467782106476e-09,3.633779416256644e-08
1890,8.520702365899524e-09,6.619930559281784e-08
1891,2.7409146952095398e-08,4.780665108228277e-08
1892,3.761107425503951e-09,3.6984221907232495e-08
1893,2.4017824173938607e-08,3.5718816460139635e-08
1894,6.301539068331863e-09,2.7096618282484997e-08
1895,1.5648398132839247e-08,2.5278181325916194e-08
1896,4.1279202278587945e-09,2.2998413229391446e-08
1897,8.157399200570126e-09,1.631479829011795e-08
1898,1.1316709347397591e-08,3.508180057565369e-08
1899,7.185851913504848e-09,2.04520400615138e-08
1900,7.786579381274805e-09,1.86877908703309e-08
1901,7.824234593556412e-09,2.235495522029396e-08
1902,4.419255628107521e-09,3.4371987589487674e-08
1903,1.7280704867062013e-08,2.052083791781456e-08
1904,5.374625189347171e-09,2.042357483134083e-08
1905,6.708986699521802e-09,1.5998352864698973e-08
1906,1.800464666246171e-08,2.4692084821253957e-08
1907,1.2342823652033985e-08,2.365707868490219e-08
1908,5.1569585934885254e-08,4.9605029861510275e-08
1909,6.0510818578052294e-09,2.4204327431220918e-08
1910,1.3894791983659616e-08,4.435645051259485e-08
1911,1.2236860413850081e-08,4.415910637156628e-08
1912,6.251305251225858e-09,2.1358627477763292e-08
1913,1.113627856597077e-08,3.977242279962212e-08
1914,1.1384464038144415e-08,2.2099254259888568e-08
1915,2.3561523843085297e-09,2.591767678250534e-08
1916,9.888715624128963e-09,2.8567401111345703e-08
1917,3.838248474608008e-08,3.180263075108769e-08
1918,0.0,1.1486376294556067e-08
1919,1.5653341733923298e-08,2.301962137574165e-08
1920,1.4387240288016301e-08,5.3762843954530126e-08
