year,certains_DET effets_NOUN,certains_DET méfaits_NOUN
1800,4.2446220760439246e-07,3.144164484325529e-09
1801,1.73826322225068e-07,0.0
1802,2.886813774694019e-07,0.0
1803,4.1542226258961534e-07,0.0
1804,6.303219641790037e-07,0.0
1805,3.6388834701028827e-07,0.0
1806,2.939302419235901e-07,0.0
1807,3.5871635351014675e-07,0.0
1808,4.1015940155375574e-07,0.0
1809,2.01053723003497e-07,0.0
1810,3.6037951334222385e-07,4.680253518074551e-09
1811,1.0529722294094768e-07,0.0
1812,2.7738965968637785e-07,0.0
1813,3.220830713246414e-07,0.0
1814,1.1642705288750221e-07,0.0
1815,3.9379463601108e-07,0.0
1816,3.847222345143564e-07,0.0
1817,1.6347171405417527e-07,0.0
1818,3.6836439432086365e-07,0.0
1819,1.925295318727649e-07,0.0
1820,2.076634189052129e-07,0.0
1821,2.1793889082299955e-07,0.0
1822,2.095353721642823e-07,0.0
1823,1.660291388816404e-07,0.0
1824,2.5263338443437533e-07,8.421112696055388e-10
1825,1.673034146776331e-07,8.805443041381977e-10
1826,2.2988838566107006e-07,0.0
1827,2.820485462962097e-07,0.0
1828,2.522382942515833e-07,3.668920500743411e-09
1829,2.9663189593520656e-07,1.3717081692732336e-08
1830,2.0351829732589977e-07,1.0436835840010872e-09
1831,2.650505175338935e-07,0.0
1832,2.2865648929837334e-07,1.6235963684607668e-08
1833,1.5753734317058843e-07,0.0
1834,1.736222774439966e-07,1.8669061851994684e-09
1835,3.2521278114927554e-07,6.050470346963266e-09
1836,2.7555076398400047e-07,7.392825018825988e-09
1837,2.184777798674986e-07,9.045257876039159e-09
1838,1.9062728995322686e-07,1.3255539776935166e-08
1839,1.922655732400358e-07,7.690622361167243e-09
1840,2.2485000528149612e-07,1.0828470564661075e-08
1841,3.306582527784485e-07,7.0626033910059505e-09
1842,3.0254274419050375e-07,1.7441490030023488e-08
1843,3.644564171567666e-07,1.7720733769266417e-09
1844,2.6729293717275837e-07,2.195424508855126e-09
1845,2.71199092072294e-07,8.37034175305007e-09
1846,3.296084314374781e-07,1.3465353276842507e-08
1847,2.750544112473108e-07,5.3932236454556914e-09
1848,2.252662056889676e-07,1.126331028444838e-08
1849,2.748447989198155e-07,2.513824481908955e-09
1850,2.1521117776757137e-07,7.467895635215882e-09
1851,3.024786856542505e-07,1.805842941848823e-08
1852,2.903703344436792e-07,1.5625309046640723e-08
1853,2.627650133035786e-07,1.1943863675867306e-09
1854,3.1849423631769014e-07,4.676098175337984e-09
1855,3.391132779029249e-07,2.2819829581521844e-08
1856,2.7335558883123667e-07,9.318940286107136e-09
1857,3.070469283272814e-07,2.489569661534574e-08
1858,3.958984011731559e-07,5.872411001917044e-09
1859,3.1164100189329247e-07,1.2730433596175317e-08
1860,2.74631037244788e-07,9.15436793036406e-09
1861,3.579416525401058e-07,3.301174444914068e-08
1862,3.027050827775213e-07,3.6143890103090826e-09
1863,4.2554170232023125e-07,8.990317823531768e-09
1864,3.7542720221495074e-07,2.0617330065419992e-08
1865,2.7770382415859274e-07,2.3063538245882143e-08
1866,3.6638064537797277e-07,7.298419202328432e-09
1867,3.790045663976116e-07,1.649955905236311e-08
1868,3.665386509865698e-07,1.877152122631287e-08
1869,3.0277818741097917e-07,9.278686263769487e-09
1870,2.643396523893671e-07,2.121598008386627e-08
1871,3.037656739479644e-07,2.442870794538976e-08
1872,3.1143797940558215e-07,2.2979889657825936e-08
1873,2.6757439819391493e-07,2.154961609157624e-08
1874,3.3099335317032796e-07,3.106796703233883e-08
1875,3.884916945917638e-07,1.716458086775674e-08
1876,3.216479793621829e-07,3.143927784776679e-08
1877,2.845015218966296e-07,8.658742167710898e-09
1878,3.4664368686598834e-07,1.2078177569208037e-08
1879,2.938585481615519e-07,1.221865097988939e-08
1880,3.1319090254555704e-07,1.7328185109022343e-08
1881,3.2003811134551086e-07,1.5339516323820135e-08
1882,3.414212477181877e-07,2.5290463057103807e-08
1883,3.1723081228562933e-07,1.0110942305630033e-08
1884,3.3272551913654524e-07,2.0465261485469455e-08
1885,3.151915797250382e-07,2.6427105948023666e-08
1886,2.7491756782183074e-07,2.0651084398082276e-08
1887,3.2252887183226164e-07,1.3057849024278312e-08
1888,3.1259231469960014e-07,1.3949351895803375e-08
1889,3.007265494403555e-07,1.4409814674820609e-08
1890,2.923256486875303e-07,1.7696843102044113e-08
1891,3.524943728017149e-07,1.7847816891070067e-08
1892,3.265894918946799e-07,1.8805536683430546e-08
1893,3.676574640287811e-07,1.354851614232544e-08
1894,3.112960400564191e-07,1.7644309791009505e-08
1895,3.0273630224897374e-07,2.166701307260155e-08
1896,3.33182127221221e-07,2.0639602027472392e-08
1897,2.540447070487062e-07,1.3401440845939305e-08
1898,3.3271128074829903e-07,3.225262190653666e-08
1899,2.8467027668455103e-07,1.879376654301268e-08
1900,3.2080709821968867e-07,1.2977633190303095e-08
1901,3.392364584797747e-07,1.620734302321125e-08
1902,2.931439482267706e-07,1.8659077838378835e-08
1903,3.1213273743446734e-07,2.1060859722865644e-08
1904,3.3591408676869605e-07,1.1824175416563776e-08
1905,2.838417545447669e-07,1.2901897328276846e-08
1906,3.194538580331141e-07,1.4403717052413612e-08
1907,3.3788480635621454e-07,1.131425531042396e-08
1908,3.0008587881269477e-07,1.1296195090437777e-08
1909,3.5041265533664046e-07,9.901770070541716e-09
1910,3.0728866606821725e-07,1.2825961515083861e-08
1911,2.8570409682515674e-07,2.340964555536118e-08
1912,3.167328168629524e-07,1.614920641657136e-08
