year,véritables_ADJ auteurs_NOUN,véritables_ADJ moteurs_NOUN
1800,1.0690159513160324e-07,9.432493897065797e-09
1801,1.7858869227893592e-07,1.4287095950749062e-08
1802,2.3721105435470236e-07,2.2378401354217203e-09
1803,8.191424427650418e-08,1.950339223455444e-09
1804,6.673997887673977e-08,9.887403784603066e-09
1805,1.8194417350514414e-07,0.0
1806,1.671368039524168e-07,4.034336598124355e-08
1807,1.2811298688575334e-07,2.8469550272802735e-08
1808,7.704651494577774e-08,4.5321479902327155e-09
1809,1.3102376783535874e-07,4.743964154840796e-08
1810,2.527336846469552e-07,0.0
1811,8.273353557797236e-08,0.0
1812,2.640536251874437e-07,0.0
1813,1.3803560250380542e-07,1.4378708002027452e-08
1814,2.234140765722259e-07,3.1466771410748606e-09
1815,2.454473531088297e-07,5.394447111228828e-09
1816,2.6652443807506643e-07,2.3176038865813098e-09
1817,2.3664475179430156e-07,1.2454987263765815e-08
1818,3.5048262247983075e-07,2.384235475716423e-09
1819,2.4739009063523554e-07,3.1053151161586356e-09
1820,3.476878873698297e-07,1.1866481131050932e-08
1821,2.919000507972669e-07,0.0
1822,2.1855842646800738e-07,7.017931125119503e-09
1823,2.0753643070747785e-07,9.882686891060644e-10
1824,2.484228218690987e-07,5.894778887238772e-09
1825,2.2453879466866056e-07,8.805443041381977e-10
1826,1.9553725394416688e-07,1.0569580766173203e-08
1827,2.442577340389107e-07,3.6869092223668076e-09
1828,2.522382942515833e-07,1.834460228167245e-08
1829,3.0434773634624435e-07,8.57317605795771e-10
1830,1.982998867333663e-07,9.39315203396518e-09
1831,2.0736304406909767e-07,1.2472964883158966e-08
1832,2.4624543470963545e-07,5.411987746839486e-09
1833,1.783878786909554e-07,0.0
1834,2.707014061797963e-07,5.600718555598405e-09
1835,1.973965879642492e-07,0.0
1836,1.50544806842845e-07,7.392825018825988e-09
1837,1.8786305133744463e-07,4.174734336004349e-09
1838,2.1713836417802668e-07,4.418513555037862e-09
1839,1.5590990187774878e-07,0.0
1840,2.2676091759876726e-07,6.369688665408546e-10
1841,1.1621192896882349e-07,6.420548537278137e-10
1842,1.7709820099298668e-07,2.683306021822318e-09
1843,1.7543526098506845e-07,5.31621990873532e-09
1844,2.3765470302805625e-07,1.097712254427563e-09
1845,2.499942013400869e-07,6.696273757711424e-09
1846,1.7504959259895259e-07,4.6836010625384006e-09
1847,2.4808829834910284e-07,4.314578916364553e-09
1848,1.3515972341338056e-07,0.0
1849,2.2959596890359535e-07,1.4245005175439474e-08
1850,1.7311940325726027e-07,6.788996032014438e-10
1851,1.6446068684672355e-07,1.4188765717904062e-08
1852,2.1289483242981078e-07,1.3021090872200602e-09
1853,1.0928635418849808e-07,4.777545470346922e-09
1854,1.9951352214775397e-07,2.0782657816909023e-09
1855,1.5177840850810753e-07,1.0613874223963649e-09
1856,1.2684112959959748e-07,0.0
1857,1.337533461764906e-07,5.857811125054013e-09
1858,1.394697619616636e-07,1.9574704079872163e-09
1859,1.1304624791819151e-07,6.619825576592575e-09
1860,1.3411148813702312e-07,4.577183909670879e-10
1861,2.169343247260258e-07,1.2733101684148096e-08
1862,1.6038850958466355e-07,9.487771457372673e-09
1863,1.4834023431831156e-07,3.995696662428827e-09
1864,1.5151340448937844e-07,4.315255264231155e-09
1865,1.440294425947286e-07,3.765475486972036e-09
1866,1.8148736558032397e-07,2.432806400776144e-09
1867,1.4509906520743243e-07,7.279217228983725e-09
1868,1.1361710505752853e-07,1.2843672791973404e-08
1869,1.806902076850747e-07,4.395167341186834e-09
1870,2.104395946389559e-07,2.8670243956696595e-09
1871,1.327647112248087e-07,0.0
1872,1.3304146762038727e-07,6.047339295989218e-10
1873,1.759885321916954e-07,5.9860045809045914e-09
1874,1.672890590498355e-07,3.5847653734322193e-09
1875,1.825167146307649e-07,6.865832347102696e-09
1876,1.711022150630015e-07,3.627608879952504e-09
1877,1.2678873417826253e-07,3.0924081073635534e-09
1878,1.2198958643239166e-07,3.0195443923020093e-09
1879,1.5334406100464548e-07,6.10932526790009e-10
1880,1.5017759835700417e-07,6.417846254436199e-10
1881,1.5269792186245468e-07,2.091752326904839e-09
1882,1.4242523604934831e-07,3.3276925659464496e-09
1883,1.516641390253426e-07,3.791603475633565e-09
1884,1.095881714263669e-07,4.621187876807653e-09
1885,1.4889418764596485e-07,9.023890079618013e-09
1886,1.4197620146205736e-07,9.034849313138693e-09
1887,1.55388406142265e-07,7.834709769838355e-09
1888,1.3442102897442965e-07,1.9021844099853524e-09
1889,1.2718227537789062e-07,0.0
1890,1.3436492452001403e-07,6.554386366985909e-09
1891,1.1282369172249673e-07,7.0116419337296065e-09
1892,1.0531100969046747e-07,1.7551833764173352e-08
1893,1.3117427499764744e-07,6.158416554491453e-10
1894,1.0712616926866758e-07,1.8904617871129403e-09
1895,1.50465368164987e-07,7.824199066419624e-09
1896,1.261964257537329e-07,4.717623180994224e-09
1897,1.4391982006145554e-07,9.905413378419325e-09
