year,les_DET eaux_NOUN,les_DET mots_NOUN
1800,6.798626600357238e-05,3.457637762949162e-05
1801,5.570538405663683e-05,2.792412783492182e-05
1802,6.57835489619174e-05,2.5258502091674018e-05
1803,6.877285841255798e-05,2.7525137056727544e-05
1804,6.552382501467946e-05,2.3756959762977203e-05
1805,6.032870669514523e-05,2.4949095632109675e-05
1806,5.051277844358992e-05,2.3871747998782666e-05
1807,5.490352896231343e-05,2.219201439856988e-05
1808,5.092548053653445e-05,3.4310627370359725e-05
1809,5.907139029659447e-05,2.2651298877462978e-05
1810,5.2238649459468434e-05,2.7882609401785885e-05
1811,5.3568709972751094e-05,2.2195150222614757e-05
1812,5.794242997581023e-05,2.490372355623549e-05
1813,4.849650667893002e-05,2.084912716782128e-05
1814,4.401571959533612e-05,2.4531494545954047e-05
1815,5.169229098100914e-05,2.490076758476789e-05
1816,5.242188080956112e-05,2.4434497845504666e-05
1817,4.4865978225061554e-05,2.1830478317497182e-05
1818,5.1160924613213865e-05,2.021354862336011e-05
1819,4.7381931381096365e-05,2.1056105879324605e-05
1820,3.839281180262333e-05,1.9146567296957073e-05
1821,3.80860542463779e-05,2.364587703596044e-05
1822,4.8787653213366866e-05,2.2689973093292792e-05
1823,3.7892198633926455e-05,1.92939687622129e-05
1824,4.0812080214891466e-05,1.978624607090751e-05
1825,4.547130765786278e-05,2.0365228465379914e-05
1826,4.5599815848618164e-05,2.2523777261085343e-05
1827,4.266859968993231e-05,2.4228523443525773e-05
1828,4.227238491694152e-05,2.592642681520374e-05
1829,4.606024685926968e-05,2.4166925868485123e-05
1830,4.466026530280942e-05,2.3472443672289955e-05
1831,4.8145645450858865e-05,2.3871695702837314e-05
1832,4.258693161318661e-05,2.2823705648988835e-05
1833,5.670186237693997e-05,2.3328268525801832e-05
1834,4.441183205017296e-05,2.1615040623146342e-05
1835,5.218606474954868e-05,2.1972282866045134e-05
1836,4.175064509581716e-05,2.1031243704783265e-05
1837,4.713414455181919e-05,2.024885407081456e-05
