year,nos_DET archers_NOUN,nos_DET marchés_NOUN
1800,0.0,1.7292904530563646e-07
1801,2.6193008650921e-08,2.1430643681874528e-07
1802,6.713520406265161e-09,2.4616241489638924e-07
1803,1.950339223455444e-09,3.5106106111015833e-07
1804,0.0,2.0021993019092577e-07
1805,2.842877711017877e-09,2.5585898888458303e-07
1806,0.0,1.1526676413353698e-07
1807,8.540865792383556e-09,1.366538477931556e-07
1808,2.4926813502190726e-08,1.5635910699529632e-07
1809,2.259030518203531e-09,1.4005988591136997e-07
1810,4.914266327205041e-08,3.978215445954447e-08
1811,5.0141535368197765e-09,8.022645658911642e-08
1812,1.3336041604361526e-08,1.4669645054254943e-07
1813,0.0,1.0640244352266848e-07
1814,3.1466771410748606e-09,1.1642705599612668e-07
1815,0.0,1.8880564311984926e-07
1816,0.0,1.2978581231948283e-07
1817,1.556873407970727e-09,3.2227280333252395e-07
1818,1.4305412410209328e-08,1.6212801279280598e-07
1819,3.1053151161586356e-08,1.9563484254803143e-07
1820,7.238553756394595e-08,1.969835876636239e-07
1821,5.9168927535324656e-09,1.5581152013055544e-07
1822,6.015369535816717e-09,2.0652768739637395e-07
1823,9.882686669016039e-09,1.512051071017595e-07
1824,3.536867154707579e-08,1.1957980117216493e-07
1825,6.251864625994585e-08,2.271804300235658e-07
1826,3.6993535124096866e-08,2.1403401762043472e-07
1827,3.6869091668556564e-09,1.4194600339578756e-07
1828,2.7516903700064432e-08,2.1738353916944675e-07
1829,1.2002446148073886e-08,3.635026566417565e-07
1830,2.0873671680021744e-08,1.8368831167236976e-07
1831,1.091384405071949e-08,3.009102673701136e-07
1832,1.3529969367098715e-08,2.408334494052866e-07
1833,1.0425265983826648e-08,3.660426681761919e-07
1834,2.3336327314993355e-08,4.6952691157287063e-07
1835,2.4958190181223472e-08,5.793325144054506e-07
1836,5.1749775131781917e-08,2.6412547948773124e-07
1837,5.635891620059397e-08,3.7085559689842285e-07
1838,2.903594409353616e-08,2.6700444455407535e-07
1839,2.167357338045406e-08,5.236615000514533e-07
1840,3.503328738219125e-08,4.3313881831208434e-07
1841,1.1556987367100646e-08,4.5906923196170624e-07
1842,2.5491408095490442e-08,5.031198551108673e-07
1843,2.3627644785140234e-08,4.1407447182173485e-07
1844,2.1954244866506656e-08,5.466607089221753e-07
1845,1.2834524387717039e-08,4.280034717751846e-07
1846,4.6836010625384006e-09,6.955147693332719e-07
1847,8.089835468183537e-09,7.313211023429744e-07
1848,4.02261068899179e-09,6.146549402785695e-07
1849,1.0893239199560867e-08,4.717610535553973e-07
1850,2.647708452485631e-08,4.7183522866589556e-07
1851,1.612359734615154e-08,6.675168897629646e-07
1852,2.8646399030662906e-08,4.4662341114332094e-07
1853,4.180352064508952e-09,4.35951022836889e-07
1854,1.506742641765868e-08,4.76961987683211e-07
1855,1.2736649068756378e-08,4.6594907843200417e-07
1856,3.313401081284084e-08,5.715616628876319e-07
1857,2.7336450880710572e-08,3.626961317948485e-07
1858,1.517039538434517e-08,3.205357685942545e-07
1859,1.4258085601071002e-08,3.9922637928846427e-07
1860,2.288591893773173e-08,5.785560235338494e-07
1861,1.131831339762357e-08,5.159264171439304e-07
1862,1.581295272501393e-08,4.987857098459614e-07
1863,2.547256561236111e-08,3.980712874884773e-07
1864,8.151037400594419e-09,3.4617936650604975e-07
1865,2.5416958981949733e-08,5.379922880521804e-07
1866,2.092213513549268e-08,4.4082451733373773e-07
1867,6.308654931785895e-09,6.051455638811376e-07
1868,9.87974813071446e-10,6.723168803901558e-07
1869,1.0743741896135361e-08,4.590508031476759e-07
1870,1.7202146818107167e-08,5.825793589764316e-07
1871,9.55905954391767e-09,3.834244921563368e-07
1872,8.466274681317998e-09,5.013244326335098e-07
1873,7.183205141814142e-09,4.160273050501928e-07
1874,1.7326366452685704e-08,6.386857087647968e-07
1875,1.6592428764283795e-08,6.356616566449702e-07
1876,7.255217759905008e-09,7.648208608657114e-07
1877,6.184815992682502e-09,8.386610605981559e-07
1878,2.7175899530718084e-08,5.918307035557291e-07
1879,2.565916623620268e-08,8.815756507019046e-07
1880,1.0910338854586143e-08,8.240514874913174e-07
1881,9.064260064750584e-09,6.784249704239187e-07
1882,9.983077919883954e-09,5.597179004723785e-07
1883,1.2638678215104449e-08,4.6131174702424005e-07
1884,5.281357573494461e-09,6.370637359864872e-07
1885,2.2559724810466975e-08,6.651895994025381e-07
1886,1.22615813058502e-08,6.459917578638397e-07
1887,5.876032327378766e-09,6.117602344701822e-07
1888,1.394935256193719e-08,5.231007249584252e-07
1889,9.397704836544563e-09,5.701274474745333e-07
1890,1.3108772956016423e-08,6.226667075281966e-07
1891,5.736798036615198e-09,7.355850097923167e-07
1892,1.0029619579299265e-08,6.995659767028428e-07
1893,6.158416498980301e-09,6.164575019340646e-07
1894,1.071261657159539e-08,5.595767156307829e-07
1895,8.426059849853118e-09,5.958428079821942e-07
1896,1.179405795248556e-09,5.549104251656445e-07
1897,2.680288302414624e-08,6.100569009959145e-07
1898,9.05336783318944e-09,5.88468916262741e-07
1899,6.633094074004475e-09,4.4828662204565717e-07
1900,1.4015843263770478e-08,5.066467760883597e-07
1901,6.706486921359556e-09,5.627860035772869e-07
1902,9.820567470342212e-09,4.615666684415487e-07
1903,5.940242076007962e-09,4.925000904876242e-07
1904,4.837162670412454e-09,3.896603351094541e-07
1905,1.5482277682110634e-09,5.093668900002513e-07
1906,7.201858387428928e-09,4.0947708690453055e-07
1907,9.771402686986619e-09,4.0011320390220817e-07
1908,1.4734167219643268e-09,3.6982761120185614e-07
1909,6.60118004702781e-09,4.2522602150540934e-07
1910,6.947395991829808e-09,3.163737289924029e-07
1911,1.0640748282497725e-08,4.160532691699359e-07
1912,3.646594803896619e-09,4.058139122520288e-07
1913,5.833288518886093e-09,3.086339881441802e-07
1914,6.6967438816512015e-09,3.0938955930537304e-07
1915,5.890380960771324e-09,3.758062971925824e-07
1916,0.0,5.570643235586203e-07
1917,0.0,4.847159624787878e-07
1918,1.1486376294556067e-09,4.4682003519369573e-07
1919,3.6831394045755417e-09,4.714418508910967e-07
1920,7.572231730534895e-10,3.362070772894299e-07
1921,0.0,3.930255854101006e-07
1922,2.951174193910333e-09,2.7003245040013724e-07
1923,8.492758496458919e-09,2.88753788435514e-07
1924,6.4458122173149945e-09,3.016640017783345e-07
1925,4.399271169575059e-09,2.7385461809359413e-07
1926,0.0,3.2435263719321483e-07
1927,1.895368229032357e-08,2.352486503376383e-07
1928,9.14083297942625e-09,1.7710364108580734e-07
1929,1.1140406375176326e-09,3.1193138916307817e-07
1930,0.0,2.846476618856286e-07
1931,1.2545892325022123e-08,3.467228353315477e-07
1932,6.575722188983946e-09,3.4303348472874973e-07
1933,1.7205993074753678e-08,2.8561949605432346e-07
1934,2.3963160344919743e-09,3.175118621356887e-07
1935,2.393656828303392e-09,2.9441978544042513e-07
1936,6.0623572828433225e-09,2.2794463028219525e-07
1937,1.2591118148108649e-09,2.1782634851419402e-07
1938,2.5930428915188486e-09,1.7243734740102212e-07
1939,1.2235240376412548e-08,2.4317539981666414e-07
1940,1.0143131667916805e-08,2.0793419253095635e-07
