year,plusieurs_DET oies_NOUN,plusieurs_DET mois_NOUN
1800,0.0,5.543161933019292e-06
1801,0.0,4.900473946634065e-06
1802,1.5664880947952042e-08,4.466728910301754e-06
1803,0.0,5.240561705477376e-06
1804,0.0,4.1205755785256315e-06
1805,3.1271653710973624e-08,4.031200596443796e-06
1806,0.0,4.204355462888998e-06
1807,5.693910232196231e-09,5.443378370273422e-06
1808,2.039466551195801e-08,4.346330086946182e-06
1809,1.129515236897305e-08,5.839593725909253e-06
1810,2.3401266702194334e-08,5.0219121803252165e-06
1811,0.0,4.786009430546301e-06
1812,0.0,6.0198888718332455e-06
1813,0.0,6.237483503923613e-06
1814,6.293354282149721e-09,5.903166325538223e-06
1815,0.0,5.896130744531547e-06
1816,4.6352077731626196e-09,6.4406211492951115e-06
1817,1.556873407970727e-09,5.307381456987059e-06
1818,0.0,5.753160024823956e-06
1819,0.0,5.780026512525183e-06
1820,4.746592452420373e-09,5.968840085301963e-06
1821,0.0,5.778832189662353e-06
1822,0.0,4.8163058323780206e-06
1823,0.0,5.441407367356987e-06
1824,0.0,5.3895120259994655e-06
1825,1.7610886082763955e-09,5.075457394809746e-06
1826,0.0,5.706693109175376e-06
1827,3.6869092223668076e-09,6.125799828282652e-06
1828,0.0,6.366494218923435e-06
1829,0.0,5.269074094371717e-06
1830,9.39315203396518e-09,5.895768524055711e-06
1831,0.0,5.578533730954405e-06
1832,1.3529969367098715e-09,5.6257614602373e-06
1833,0.0,5.966726902784103e-06
1834,1.8669061851994684e-09,5.742603477187913e-06
1835,2.2689263801112247e-09,6.042151028395892e-06
1836,2.016224964762614e-09,5.264363537094141e-06
1837,1.3915781860163179e-09,6.172345109689559e-06
1838,1.2624323808552163e-09,5.312946839808319e-06
1839,0.0,5.656802656517357e-06
1840,0.0,6.141016726246562e-06
1841,1.926164561183441e-09,6.256824448769294e-06
1842,0.0,6.0864088169410024e-06
1843,6.497602011990011e-09,5.32448945023134e-06
1844,0.0,6.000643878678602e-06
1845,5.580227946389016e-10,5.663931219146434e-06
1846,0.0,5.3486723459172936e-06
1847,0.0,5.800412026246704e-06
1848,8.045221711050488e-10,5.8561168998494395e-06
1849,2.513824481908955e-09,6.619737646929025e-06
1850,0.0,5.9159311973644435e-06
1851,6.449438760824933e-10,5.542002952552139e-06
1852,0.0,5.498806658010835e-06
1853,1.0152284346531815e-08,6.00059706812317e-06
1854,0.0,5.5177954862983825e-06
1855,0.0,5.688505879675176e-06
1856,0.0,5.074163070162285e-06
1857,0.0,5.500972690697381e-06
1858,4.893676019968041e-10,5.717771017543782e-06
1859,1.5276520048956854e-09,5.725639695697282e-06
1860,0.0,6.187894911136027e-06
1861,4.715963730639317e-10,6.209509336940755e-06
1862,9.035972525772706e-10,5.909977879525741e-06
1863,6.99246927027275e-09,5.2508448931121166e-06
1864,4.794727948009836e-10,5.721069584296856e-06
1865,2.3534221238463715e-09,5.89391063954281e-06
1866,4.865612912574591e-10,5.835816203614286e-06
1867,0.0,5.5210437466257645e-06
1868,4.44588676984381e-09,5.879437892986061e-06
1869,0.0,5.7469255239084305e-06
1870,0.0,5.855037031210486e-06
1871,0.0,5.900063953845347e-06
1872,6.047339295989218e-10,5.7576715590812455e-06
1873,5.387403856360606e-09,6.132661511060178e-06
1874,0.0,6.012846455405452e-06
1875,1.1443054281912168e-09,5.93265171744406e-06
1876,6.04601479992084e-10,5.7177160002197525e-06
1877,6.184815992682502e-10,6.057408718618262e-06
1878,1.8117265465633636e-09,5.38867901411777e-06
1879,0.0,5.874727179389083e-06
1880,1.2835692508872398e-09,5.541810338627329e-06
1881,3.4862537301449947e-09,6.218082219788812e-06
1882,3.3276925659464496e-09,6.176197317131482e-06
1883,5.687405213450347e-09,5.9945251109638775e-06
1884,0.0,6.471643509087244e-06
1885,0.0,5.973815035531516e-06
1886,6.453463874400711e-10,5.913954183256465e-06
1887,0.0,5.697792296643911e-06
1888,6.340614699951175e-10,5.982370169022033e-06
1889,3.132568426877924e-09,5.830962606978574e-06
1890,0.0,6.378073635460169e-06
1891,6.374220040683554e-10,6.276694499263158e-06
1892,6.268512375839919e-10,5.592766882500655e-06
1893,0.0,6.195982919621201e-06
1894,6.301539290376468e-10,6.02049079390099e-06
