year,vos_DET eaux_NOUN,vos_DET mots_NOUN
1800,1.0375742931501009e-07,4.087413785214267e-08
1801,1.2144030847593967e-07,2.6193008650921e-08
1802,9.84649659585557e-08,4.0281122437590966e-08
1803,5.265916058760922e-08,7.801356893821776e-09
1804,8.404293216912606e-08,2.7190360185613827e-08
1805,1.7625842474444653e-07,1.1371510844071508e-08
1806,5.76333825108577e-08,2.305335300434308e-08
1807,1.1957211132340717e-07,8.540865792383556e-09
1808,7.024829073998262e-08,4.078933102391602e-08
1809,2.0783080856290326e-07,1.3554183553310395e-08
1810,1.193464669313471e-07,2.3401266702194334e-08
1811,4.262030373070047e-08,2.0056614147279106e-08
1812,9.868670147739067e-08,3.467370746079723e-08
1813,8.627225156487839e-08,2.300593315851529e-08
1814,2.8320094713762956e-08,1.5733386149463513e-08
1815,5.933891955578474e-08,1.0788894000413052e-08
1816,2.5493642752394408e-08,1.622322720606917e-08
1817,6.850242650902061e-08,3.269434145636296e-08
1818,7.391129952516451e-08,2.026600220972341e-08
1819,6.728182633253255e-08,2.3807414706311647e-08
1820,9.01852530432734e-08,4.6279276411098635e-08
1821,1.0354562363090736e-07,5.1279737789400315e-08
1822,3.5089655625597516e-08,1.303330066093622e-08
1823,7.412015357033397e-08,2.174191138237802e-08
1824,6.736890156844311e-08,2.6105450245950124e-08
1825,1.1799293408998324e-07,2.1133063299316746e-08
1826,3.52319382557198e-08,3.435113882233054e-08
1827,8.387718608560135e-08,1.474763688946723e-08
1828,2.843413443587295e-08,5.319934714975716e-08
1829,2.4862209901943544e-08,1.0287811491593857e-08
1830,5.322786122974321e-08,4.0703660886265425e-08
1831,7.016043013230444e-08,3.274153215215847e-08
1832,5.953186388296672e-08,5.817886972181441e-08
1833,6.950177233733257e-08,2.085053074640797e-08
1834,6.254136053485126e-08,1.0267983796552471e-08
1835,7.487457054367042e-08,1.739510224751939e-08
1836,4.234072398245914e-08,6.115882911217341e-08
1837,4.0355768504696243e-08,2.7831564608504777e-08
1838,5.6178239615789494e-08,2.5248647617104325e-08
1839,4.334714465148437e-08,2.23727205650448e-08
1840,4.840963396812725e-08,2.9300568360479673e-08
1841,5.778493594732481e-08,2.8892469305930035e-08
1842,3.5553803456878086e-08,2.817471322913434e-08
1843,4.134837811031744e-08,3.485077515463786e-08
1844,3.348022492577485e-08,1.4819115268238647e-08
1845,2.8459162138005922e-08,1.4508592383055685e-08
1846,4.1566958541849885e-08,2.63452557547339e-08
1847,2.8044762956369595e-08,3.235934187273415e-09
1848,2.654923214606697e-08,7.24069959545659e-09
1849,2.262441967104678e-08,3.1841775438579134e-08
1850,4.1412874907109654e-08,2.987158254086353e-08
1851,4.5791015423901626e-08,3.353708066811123e-08
