year,pas_ADV uni_VERB,pas_ADV muni_VERB
1800,2.5153315164061496e-07,1.3834323908668011e-07
1801,1.9525697325661895e-07,1.0000967165524344e-07
1802,1.3427040812530322e-07,6.489736392722989e-08
1803,1.4042441875972145e-07,5.655983770225248e-08
1804,1.458392091535643e-07,5.19088700912107e-08
1805,9.381496113292087e-08,6.254330742194725e-08
1806,1.873084869430386e-07,1.0374009207225754e-07
1807,8.256169792275614e-08,1.4234775846944103e-07
1808,1.246340701754889e-07,2.0847880932706175e-07
1809,1.5587310997489112e-07,1.4457795316502597e-07
1810,1.4040760731859336e-07,8.658469141664682e-08
1811,6.518399686683551e-08,1.8050953087822563e-07
1812,1.0135391192989118e-07,1.9470620316042186e-07
1813,9.202373263406116e-08,1.4666282766029326e-07
1814,3.776012391654149e-08,9.44003133440674e-08
1815,4.8550024445148665e-08,1.4025562222741428e-07
1816,7.879853569647821e-08,4.8669683394564345e-08
1817,1.665854512111764e-07,5.1376822796100896e-08
1818,1.0252212234718172e-07,7.867976847819591e-08
1819,4.968504185853817e-08,5.693077653745604e-08
1820,9.137190204455692e-08,1.2459804565878585e-07
1821,1.0058717947458717e-07,5.029358973729359e-08
1822,7.619468078701175e-08,5.81485721795616e-08
1823,5.0401702367253165e-08,9.190898708766326e-08
1824,9.347434826167955e-08,1.271587990459011e-07
1825,6.251864448358901e-08,1.382454541953848e-07
1826,5.19671061738336e-08,1.409277530228792e-07
1827,8.387718253288767e-08,1.3641563612054597e-07
1828,1.2657775982916064e-07,6.970948618345574e-08
1829,9.859152783064928e-08,1.0545006290385572e-07
1830,6.053365098068753e-08,1.07499410262335e-07
1831,1.02901957177437e-07,2.229542417353514e-07
1832,5.276687886635045e-08,1.312406965325863e-07
1833,1.0888610546544442e-07,1.158362863407092e-07
1834,7.000897994657862e-08,1.2508272106970253e-07
1835,1.1193370141882042e-07,1.0512692227848675e-07
1836,1.0685992890557827e-07,1.1559690449303162e-07
1837,8.210311364109657e-08,9.393152566872232e-08
1838,6.690891751759409e-08,7.637716237240966e-08
1839,7.900366938429215e-08,1.6709626038391434e-07
1840,5.286841542329057e-08,1.0318895959926522e-07
1841,7.383631128732304e-08,1.0979137954336693e-07
1842,9.056157779241403e-08,7.44617452141938e-08
1843,9.332919148619112e-08,8.624090241937665e-08
1844,7.354672248993666e-08,1.201994876964818e-07
1845,8.7051553521178e-08,1.1383664855202369e-07
1846,7.318126904465316e-08,1.6216968390381226e-07
1847,6.148275133455172e-08,1.3698787881821772e-07
1848,5.551202875153649e-08,1.1504666730388635e-07
1849,9.384945087731467e-08,8.965974274133259e-08
1850,6.653215933738466e-08,9.368814346544241e-08
1851,8.384270699934859e-08,1.0319102017319892e-07
1852,7.552232972329875e-08,1.1653876441641842e-07
1853,9.256494593046227e-08,9.137055911878633e-08
1854,1.1846115199887208e-07,9.352196173040284e-08
1855,7.111295730055645e-08,1.1993677162536187e-07
1856,1.1286272183497204e-07,1.113095677851561e-07
1857,9.616572782533694e-08,8.49382573164803e-08
1858,6.508589223130912e-08,1.0717150189520908e-07
1859,6.008764330545091e-08,8.300242626546606e-08
1860,6.453829115571352e-08,1.0481750933877265e-07
1861,9.431927594505396e-08,1.207286715043665e-07
1862,8.448634503110952e-08,6.325181090005572e-08
1863,8.09128550827154e-08,1.0688488316645817e-07
1864,1.2466293242141546e-07,9.54150891629979e-08
1865,8.142841068092821e-08,1.2614343347649992e-07
1866,6.227984528095476e-08,8.952727625910484e-08
1867,8.492420278116697e-08,7.958610837022206e-08
1868,5.730253960223308e-08,1.205329311915193e-07
1869,7.862465878361036e-08,8.448488131307386e-08
1870,1.0263947558541986e-07,9.11713726736707e-08
1871,8.178306387662815e-08,8.709365317827178e-08
1872,1.1308524250353003e-07,9.010535251263718e-08
1873,5.447263973223926e-08,9.278306833948591e-08
1874,7.34876905994497e-08,1.2068710475432454e-07
1875,5.607096653648114e-08,6.40811066432434e-08
1876,1.2454790976335062e-07,1.1003746891447008e-07
1877,6.184816214727107e-08,1.0390490956524445e-07
1878,6.703388777395958e-08,8.696287778775513e-08
1879,7.514469757552433e-08,6.1704184872724e-08
1880,6.161132404258751e-08,7.829772386003242e-08
1881,5.020205406935929e-08,8.088108671699956e-08
1882,4.2594464844114555e-08,1.0914831705122197e-07
1883,5.9401784824331116e-08,1.2828257922592456e-07
1884,4.027035060971684e-08,1.2279156180738937e-07
1885,6.058897383809381e-08,1.1924426246423536e-07
1886,5.420909587883216e-08,1.1616234729672215e-07
1887,4.1785117588233334e-08,9.793387079071181e-08
1888,7.164894810784972e-08,1.4710225570979674e-07
1889,5.262714708464955e-08,1.0776034997661554e-07
1890,5.89894781910516e-08,1.1928983667530701e-07
1891,6.884157954800685e-08,1.810278433822532e-07
1892,3.384996816180319e-08,1.253702492931552e-07
1893,4.495644034818724e-08,1.1023565349432829e-07
1894,5.608369946230596e-08,1.3107201368711685e-07
1895,5.236194766666813e-08,1.50465368164987e-07
1896,4.9535042734305534e-08,1.0968474128958405e-07
1897,5.360576338375722e-08,1.4450249352648825e-07
1898,7.186110906332033e-08,1.5447308499005885e-07
1899,5.140648084989152e-08,1.481390938806726e-07
1900,5.398695179792412e-08,1.4638770551300695e-07
1901,4.973977496547377e-08,1.6710329475699837e-07
1902,4.910283735171106e-08,1.993575295955452e-07
1903,3.67214987306852e-08,1.539062708388883e-07
