year,vingt - deux mois
1800,5.856106355395241e-08
1801,7.321951933647597e-08
1802,4.18795735868116e-08
1803,4.28571134136746e-08
1804,8.155216590921555e-08
1805,5.6200232023684293e-08
1806,7.583835781588277e-08
1807,7.475876628859623e-08
1808,2.7391629853212862e-08
1809,5.1890143737409744e-08
1810,8.718587451994608e-08
1811,7.72604948906519e-08
1812,1.0515300985503018e-07
1813,2.3602990562032744e-07
1814,1.1693887813635229e-07
1815,4.138984621704367e-08
1816,1.6718729511921993e-07
1817,9.895516939195659e-08
1818,7.298608295513986e-08
1819,8.47956809213457e-08
1820,7.898723453081402e-08
1821,7.344218744265163e-08
1822,6.0306192040116e-08
1823,1.0148119677921841e-07
1824,7.993158845920334e-08
1825,1.1340631544953794e-07
1826,1.1724921478162287e-07
1827,1.1066720162489219e-07
1828,7.918255562344712e-08
1829,1.1894177021076757e-07
1830,1.1413921185976506e-07
1831,9.070675532907302e-08
1832,5.48572067771147e-08
1833,9.758810359805636e-08
1834,5.3189467053016415e-08
1835,9.378553844641146e-08
1836,1.050118996204219e-07
1837,1.1917851105991417e-07
1838,1.1837457919439132e-07
1839,9.09466875143039e-08
1840,1.1342419270476967e-07
1841,9.617112795012872e-08
1842,1.459706453488252e-07
1843,9.61672589339102e-08
1844,6.761890403161885e-08
1845,9.028598668692212e-08
1846,9.417708657366575e-08
1847,1.260588395890494e-07
1848,5.813950754163244e-08
1849,1.2476927491178458e-07
1850,8.395975559238877e-08
1851,8.682039354113158e-08
1852,5.992166790536047e-08
1853,1.2420380368638462e-07
1854,1.2105181568244916e-07
1855,1.0297484709376192e-07
1856,1.0491609581109174e-07
1857,1.1073873684708246e-07
1858,1.4045787954941602e-07
1859,9.643470511022656e-08
1860,1.2344236210992676e-07
1861,1.451040054778474e-07
1862,1.341744084726315e-07
1863,1.31034455286283e-07
1864,8.189281930359726e-08
1865,1.1144747658065057e-07
1866,9.610751383615224e-08
1867,1.0114330162291907e-07
1868,9.4673446859872e-08
1869,8.83956565722599e-08
1870,1.0367425895552174e-07
1871,8.515396010544407e-08
1872,5.1078038687535354e-08
1873,8.528552086772834e-08
1874,1.0291607743795339e-07
1875,6.978537192559031e-08
1876,7.17209749367953e-08
1877,6.399106666776788e-08
1878,6.979179723032303e-08
1879,8.19904570903418e-08
1880,1.0105785608338635e-07
1881,1.1296057333964882e-07
1882,1.0991450194453023e-07
1883,8.777927718028877e-08
1884,9.821037572077529e-08
1885,1.3991104763633189e-07
1886,6.186972578703376e-08
1887,1.224446026792947e-07
1888,1.1252321208132798e-07
1889,8.919140109808765e-08
1890,8.891638625385667e-08
1891,8.854281130510344e-08
1892,7.539735458195196e-08
1893,1.0868706779021409e-07
1894,9.811921586333483e-08
1895,1.0427873664564657e-07
1896,8.390617017850488e-08
1897,8.6320673053919e-08
1898,8.802055195822334e-08
1899,1.1163750723852672e-07
1900,1.170144905415782e-07
1901,9.744407103440267e-08
1902,1.0652090565166361e-07
1903,1.108744531741479e-07
1904,1.6559283277928216e-07
1905,1.3617971372781312e-07
1906,1.1862123683314962e-07
1907,1.4550245586164579e-07
1908,9.49351284251776e-08
1909,1.2435433927038275e-07
1910,1.2681471206477113e-07
1911,1.1567466495776557e-07
1912,9.828604413675279e-08
1913,8.718139454799712e-08
1914,9.159376279654907e-08
1915,8.182501587405966e-08
1916,4.4745433580573035e-07
1917,1.8573976090507927e-07
1918,1.668175890756629e-07
1919,1.9357746694481648e-07
1920,1.3432836487581312e-07
1921,1.3120427055923756e-07
1922,1.148288011343368e-07
1923,9.267817713265458e-08
1924,8.976905219171272e-08
1925,9.626297270415307e-08
1926,8.888906433135446e-08
1927,1.1231839014413936e-07
1928,1.1259969534549441e-07
1929,1.0367806346778252e-07
1930,1.081198774954828e-07
1931,1.1491977103261775e-07
1932,7.762444842462912e-08
1933,1.0784780646311276e-07
1934,1.0619341028750284e-07
1935,7.95824353083674e-08
1936,9.798274147598818e-08
1937,6.694843790455707e-08
1938,6.454850343118324e-08
1939,7.62397860398778e-08
1940,9.28822956325348e-08
