year,des_DET in_ADJ,des_DET mines_NOUN
1800,9.432493897065797e-09,5.734955841774081e-06
1801,9.524730337773235e-09,7.1125925842352444e-06
1802,2.9091921760482364e-08,5.968319783278275e-06
1803,3.900678446910888e-09,1.1493349404645414e-05
1804,1.2359254952798437e-08,7.919810123269144e-06
1805,1.7057265822018053e-08,6.41921795363487e-06
1806,5.76333825108577e-09,4.204355398940152e-06
1807,5.693910232196231e-09,5.5885726766291555e-06
1808,6.798221985349073e-09,6.10027128189472e-06
1809,9.036122072814123e-09,5.8802563103199645e-06
1810,1.1700633351097167e-08,4.734076341605942e-06
1811,3.259199843341776e-08,6.7891640540551634e-06
1812,2.6672082320544632e-09,4.864987992903025e-06
1813,4.026038169513413e-08,5.478287604887555e-06
1814,3.4613449884091096e-08,3.971106501410304e-06
1815,2.697223555614414e-09,3.104504223472304e-06
1816,1.3905623319487859e-08,3.995549000990195e-06
1817,1.2454987263765815e-08,3.6929037285915456e-06
1818,1.1921177378582115e-09,4.474017657685181e-06
1819,1.7596784473994376e-08,4.4095471345428905e-06
1820,3.085285271708926e-08,3.7284482985455725e-06
1821,1.2819934447350079e-08,2.8322193834640075e-06
1822,7.017931125119503e-09,3.8087313782853016e-06
1823,8.894418535021487e-09,2.8551083275374367e-06
1824,1.0105335235266466e-08,4.187819492074141e-06
1825,1.3208164340028361e-08,3.412109151668119e-06
1826,1.3211976401805714e-08,3.606869483974151e-06
1827,8.295545583791863e-09,4.293405964972408e-06
1828,4.586150570418113e-09,3.993620047992863e-06
1829,2.4862210068476998e-08,3.951376825739317e-06
1830,1.0436835395921662e-08,3.6591545651276647e-06
1831,1.0913843828674885e-08,3.0246939886069413e-06
1832,6.764984572527055e-09,2.888648459986598e-06
1833,3.4750886612755494e-09,5.978310724685798e-06
1834,1.4935249259551142e-08,3.5331200294308474e-06
1835,6.050470346963266e-09,3.863225259692626e-06
1836,1.3441500135158435e-09,3.197732798554398e-06
1837,1.3915782193230086e-08,2.9244016523932714e-06
1838,6.312161904276081e-09,3.4098298407059247e-06
