year,derniers_ADJ arrêts_NOUN,derniers_ADJ marais_NOUN
1800,3.144164484325529e-09,0.0
1801,3.5717739876872656e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.5602713787643552e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,5.970043304159844e-08,0.0
1806,3.458002950651462e-08,0.0
1807,8.825561081948763e-08,0.0
1808,6.571614363792833e-08,0.0
1809,9.713831161661801e-08,0.0
1810,7.254392642153107e-08,0.0
1811,3.760615285841595e-08,5.0141535368197765e-09
1812,1.0402111882967802e-07,0.0
1813,5.463909147351842e-08,0.0
1814,4.405347908686963e-08,0.0
1815,6.203614333344376e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,2.9580593974287694e-08,0.0
1818,7.152706427149269e-09,2.384235475716423e-09
1819,1.438795891317568e-07,0.0
1820,3.678609061807947e-08,0.0
1821,5.029358973729359e-08,9.86148829262845e-10
1822,4.511527151862538e-08,0.0
1823,2.4706716672540097e-08,0.0
1824,8.58953512761218e-08,0.0
1825,1.0038205289220059e-07,0.0
1826,1.0921900894800274e-07,1.7615968683770689e-09
1827,1.3457218983603525e-07,0.0
1828,1.5592911495332373e-07,0.0
1829,8.830371456269859e-08,0.0
1830,7.931995327226105e-08,2.0873671680021744e-09
1831,7.951515357262906e-08,0.0
1832,1.393586899212096e-07,0.0
1833,6.602667923516492e-08,0.0
1834,6.440826183506942e-08,0.0
1835,5.294161553592858e-08,0.0
1836,4.838939915430274e-08,0.0
1837,6.401259611266141e-08,0.0
1838,6.122797202579022e-08,2.5248647617104325e-09
1839,9.368577025270497e-08,4.894032734625853e-09
1840,5.5416290223320175e-08,1.0828470564661075e-08
1841,7.255219713897532e-08,2.5682194149112547e-09
1842,8.921992389332445e-08,1.341653010911159e-09
1843,5.5524964182041003e-08,0.0
1844,1.0263609340199764e-07,7.683985892015244e-09
1845,7.86812108799495e-08,0.0
1846,9.07447699205477e-08,0.0
1847,1.4615636700909818e-07,5.393223645455691e-10
1848,8.367030801537112e-08,0.0
1849,1.2066357157891616e-07,0.0
1850,1.4460562169915647e-07,0.0
1851,1.1222023488244304e-07,0.0
1852,7.877760310748272e-08,0.0
1853,5.6136158832487126e-08,0.0
1854,8.520889593910397e-08,0.0
1855,7.641989441253827e-08,2.653468555990912e-09
1856,8.179959110066193e-08,0.0
1857,9.421312796575876e-08,9.763018171682347e-10
1858,1.0129909355782729e-07,1.468102750479261e-09
1859,1.0744485479108334e-07,4.582956236731661e-09
1860,8.833964670884598e-08,3.661747127736703e-09
1861,7.828499803963496e-08,0.0
1862,7.861296325017975e-08,0.0
1863,9.190102190359539e-08,0.0
1864,6.568777166648943e-08,3.3563094525845827e-09
1865,1.1390563514623864e-07,0.0
1866,8.75810357570117e-08,0.0
1867,1.0918825665839904e-07,9.7056229719783e-10
1868,6.026646559575966e-08,0.0
1869,1.1622775275554886e-07,0.0
1870,5.734048613703635e-08,1.7202146374017957e-09
1871,7.965883241922711e-08,0.0
1872,6.77301983387224e-08,1.2094678591978436e-09
1873,6.345164393906089e-08,5.986004469882289e-10
1874,5.257655999457711e-08,0.0
1875,5.435450844970546e-08,0.0
1876,4.776351758550845e-08,6.04601479992084e-10
1877,4.0201303619369355e-08,0.0
1878,6.280652087298222e-08,1.8117265465633636e-09
1879,7.758843167948726e-08,0.0
1880,5.262634061864446e-08,1.2835692508872398e-09
1881,6.205532088188193e-08,6.972507571312292e-10
1882,3.660461800336634e-08,1.3310770263785798e-09
1883,3.5388296737437486e-08,0.0
1884,4.15906917794473e-08,0.0
1885,6.832373600218489e-08,0.0
1886,5.485444276587259e-08,0.0
1887,1.1621485640489482e-07,0.0
1888,8.496423475889969e-08,6.340614699951175e-10
1889,6.202485280937253e-08,1.8795409673089125e-09
1890,4.4569826940232815e-08,6.554386478008212e-10
1891,9.561330216456554e-08,6.374220040683554e-10
1892,4.0745330665004076e-08,0.0
1893,8.313862309705655e-08,6.158416554491453e-10
1894,4.285046628638156e-08,0.0
1895,6.740847879882494e-08,0.0
1896,4.9535042734305534e-08,0.0
1897,4.428302347037061e-08,0.0
1898,5.714938566825367e-08,5.6583548957434e-10
1899,3.979856444402685e-08,2.2110313580014918e-09
1900,3.633737222230593e-08,5.191053142894475e-10
1901,3.688567673520993e-08,5.588738916095792e-10
1902,4.271947062761683e-08,0.0
