year,dix_DET eaux_NOUN,dix_DET mots_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,8.572257081951307e-08
1802,0.0,6.713520406265161e-09
1803,0.0,1.5602713787643552e-08
1804,7.4155526164076946e-09,2.2246657849223084e-08
1805,0.0,3.980028751016107e-08
1806,1.729001475325731e-08,5.4751712497136396e-08
1807,2.8469551160981155e-09,2.562259560079383e-08
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,1.1700633351097167e-08,3.7442028144596406e-08
1811,0.0,6.267691787797958e-08
1812,0.0,1.0668833283489221e-07
1813,0.0,3.738464116054274e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,1.6183340889597275e-08
1816,0.0,4.1716869958463576e-08
1817,3.113746815941454e-09,2.802372112142848e-08
1818,0.0,2.5034472272977837e-08
1819,0.0,1.4491470468058765e-08
1820,1.779972080839798e-08,4.865257263730882e-08
1821,0.0,5.029358973729359e-08
1822,1.0025615893027862e-09,4.6117833107928163e-08
1823,0.0,4.4472091453862106e-08
1824,0.0,3.2000228245010476e-08
1825,0.0,2.6416329568235142e-08
1826,8.807984341885344e-10,2.2019960965735663e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,4.586150592622573e-08
1829,0.0,3.257806824308318e-08
1830,1.0436835840010872e-09,5.3227864116323076e-08
1831,1.5591206103948707e-09,6.39239448041451e-08
1832,1.8941957335982806e-08,2.570694235259907e-08
1833,6.950177322551099e-09,2.7800708402025975e-08
1834,0.0,1.866906162995008e-08
1835,0.0,1.739510224751939e-08
1836,0.0,3.763619993435441e-08
1837,1.3915781860163179e-09,5.5663129217009555e-08
1838,6.312161904276081e-10,2.840472790310855e-08
1839,6.9914749545318955e-09,2.9364195075487487e-08
1840,6.369688665408546e-10,3.184844388215424e-08
1841,0.0,5.200644137559607e-08
1842,0.0,2.3478927690945284e-08
1843,0.0,4.193907021665666e-08
1844,2.7442805805577564e-09,2.5247381185700135e-08
1845,5.580227946389016e-10,3.0691253982695343e-08
1846,0.0,7.142491642575521e-08
1847,5.393223645455691e-10,2.3730184040005042e-08
1848,0.0,1.609044403272364e-08
1849,0.0,3.016589289472904e-08
1850,0.0,2.7155985016236173e-08
1851,1.9348316282474798e-09,2.902247508984601e-08
1852,6.510545436100301e-10,5.4037525565320266e-08
1853,0.0,4.717826107558665e-08
1854,0.0,5.3515343101384616e-08
1855,1.5920811335945473e-09,5.996838581268094e-08
1856,5.177189232874468e-10,3.67580446081206e-08
1857,9.763017949637742e-09,3.7099469329948676e-08
1858,0.0,6.019221648889683e-08
1859,2.036869339860914e-09,1.0286190343933299e-07
1860,1.8308735638683515e-09,7.094635412485673e-08
1861,2.8295781828724387e-09,1.2402985305470793e-07
1862,1.1294965851504912e-08,1.0210649059594346e-07
1863,1.4983862484108101e-09,1.5133700692615548e-07
1864,1.9178911792039344e-09,2.1144749806634167e-07
1865,1.8827377989971694e-09,1.4073464682518022e-07
1866,0.0,1.4353558452917525e-07
1867,4.85281148598915e-10,9.608566919894201e-08
1868,1.4819622196071691e-09,1.4720825092240375e-07
1869,1.0255390314739543e-08,1.0206554978964277e-07
1870,5.734048791339319e-10,6.13543216232415e-08
1871,4.248470908407853e-09,5.8416475212652585e-08
1872,1.8746751262455064e-08,2.5701191486149355e-07
1873,1.3169210166807943e-08,6.644464889404844e-08
1874,1.9716209442854904e-08,2.6885741633009275e-08
1875,1.2015207051518928e-08,6.865832347102696e-08
1876,2.0556450319730857e-08,2.05564504085487e-07
1877,9.27722432209066e-09,1.0514186887800037e-07
1878,9.058633176906028e-09,1.6728275820110383e-07
1879,8.553055375060126e-09,7.819936498343338e-08
1880,2.5671385017744797e-09,2.7404203706282715e-07
1881,2.0917522824959178e-08,1.2341338617716247e-07
1882,1.7969540522244642e-08,6.655385220710741e-08
1883,2.9700893744433188e-08,8.53110730947293e-08
1884,1.3203393933736152e-08,6.337629088193353e-08
1885,1.0957580620640783e-08,8.959433772659509e-08
1886,2.968593459939939e-08,1.0131938155133469e-07
1887,3.460330111337839e-08,5.15785056887097e-08
1888,5.706553452000662e-09,1.1476512651320547e-07
1889,2.5687060478674084e-08,7.267558971291166e-08
1890,8.520702365899524e-09,5.5056844971979046e-08
1891,9.561329950003028e-09,1.0963658314544489e-07
1892,2.005923960268774e-08,8.086380809402272e-08
1893,9.23762488724833e-09,7.020594972040328e-08
1894,5.671385583383426e-09,7.372801125171691e-08
1895,1.0833505648122355e-08,7.342709551494409e-08
1896,2.358811590497112e-09,5.3073259342895085e-08
1897,6.992056156285287e-09,6.292850474043377e-08
1898,1.1882545614128048e-08,5.1491030439443364e-08
1899,1.1055156790007459e-08,5.582854001318083e-08
1900,1.5573159428683425e-09,8.980522148149817e-08
1901,2.235495621949468e-09,4.3592162823902214e-08
1902,1.9641135384773634e-09,5.303106720422335e-08
1903,1.0800440541913758e-09,4.860198088429968e-08
1904,1.289910045443321e-08,6.825773724017381e-08
1905,2.0643036169332163e-09,3.715746643706552e-08
1906,3.086510713679047e-09,5.298509964113407e-08
