year,véritables_ADJ marchés_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,9.440030979135372e-09
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,4.140420006848444e-09
1820,0.0
1821,0.0
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,5.052667617633233e-09
1825,4.4027217427355936e-09
1826,8.807984341885344e-10
1827,6.452091305675367e-09
1828,6.420610709767516e-09
1829,6.001223074036943e-09
1830,4.174734336004349e-09
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,2.8003592777992026e-09
1835,3.781543966852041e-09
1836,6.048674894287842e-09
1837,6.957890930081589e-10
1838,1.2624323808552163e-09
1839,5.5931801412612e-09
1840,9.554533164646273e-09
1841,6.420548537278137e-10
1842,1.0062397137744483e-08
1843,1.2995204023980023e-08
1844,8.781698035420504e-09
1845,3.348136878855712e-09
1846,5.269050973311096e-09
1847,8.089835468183537e-09
1848,4.82713291560799e-09
1849,9.217356655710773e-09
1850,5.431196825611551e-09
1851,7.094382858952031e-09
1852,5.859490670445666e-09
1853,2.9859659189668264e-09
1854,5.7152309551611324e-09
1855,1.6982198758341838e-08
1856,1.0354378687793542e-08
1857,1.9526036343364694e-09
1858,5.872411001917044e-09
1859,2.5460866748261424e-09
1860,7.781213007262977e-09
1861,1.2733101684148096e-08
1862,2.2589932147099034e-09
1863,4.495158911765884e-09
1864,8.63051052846231e-09
1865,1.2237795665726026e-08
1866,4.865612912574591e-10
1867,1.94112459439566e-09
1868,8.397785578040384e-09
1869,4.395167341186834e-09
1870,1.9495765002375265e-08
1871,2.2304472935275044e-08
1872,9.071008832961525e-09
1873,2.3944017879529156e-09
1874,3.5847653734322193e-09
1875,1.716458086775674e-09
1876,7.859819461941697e-09
1877,8.658742167710898e-09
1878,7.2469061862534545e-09
1879,1.832797580370027e-09
1880,1.2193908105473383e-08
1881,1.5339516323820135e-08
1882,5.989846840748214e-09
1883,1.3902545781263598e-08
1884,1.7824582698722224e-08
1885,9.023890079618013e-09
1886,1.4842966855610484e-08
1887,1.3710741875172516e-08
1888,1.521747527988282e-08
1889,2.192797943223468e-08
1890,7.209825181320184e-09
1891,1.0198752065093686e-08
1892,1.1283322720601063e-08
1893,1.7859408174558666e-08
1894,1.0082462864602348e-08
1895,6.018614495673091e-09
1896,1.9460195233023114e-08
1897,1.6897470089816125e-08
1898,2.8857609635224435e-08
1899,1.4371703827009696e-08
1900,1.349673794948103e-08
1901,3.073806453812722e-08
1902,1.1293653123800595e-08
1903,9.1803746826713e-09
1904,1.1286712897629059e-08
1905,1.7030505006232488e-08
1906,1.5432553013283723e-08
1907,6.1714118260169926e-09
1908,1.6698722404839828e-08
1909,1.925344328412848e-08
1910,2.2445432179551972e-08
