year,ses_DET êtres_NOUN
1800,6.288328968651058e-09
1801,9.524730337773235e-09
1802,5.370816325012129e-08
1803,4.4857802805609026e-08
1804,9.887403784603066e-09
1805,1.421438877713399e-08
1806,4.3225035994964855e-08
1807,2.8469551160981155e-09
1808,1.8128591960930862e-08
1809,2.259030518203531e-09
1810,2.574139479349924e-08
1811,8.022645436867037e-08
1812,2.6672083208723052e-08
1813,4.888760685162197e-08
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,8.806894413737609e-08
1817,5.7604317760251433e-08
1818,2.384235386898581e-08
1819,1.2421260464634543e-08
1820,0.0
1821,1.2819934336327776e-08
1822,2.4061478143266868e-08
1823,3.9530747564242574e-09
1824,5.052667617633233e-09
1825,2.641632912414593e-09
1826,2.6423953247700638e-08
1827,1.6591091167583727e-08
1828,2.659967357487858e-08
1829,3.5150023336427694e-08
1830,2.087367234615556e-08
1831,3.585977381703742e-08
1832,3.2471927369215337e-08
1833,1.7375443306377747e-08
1834,9.334531148041947e-09
1835,2.4201881387853064e-08
1836,1.5457725766054864e-08
1837,1.3219993100221927e-08
1838,1.2624323808552163e-08
1839,9.088917396482543e-09
1840,3.821813199245128e-09
1841,8.346713542550788e-09
1842,6.708265054555795e-09
1843,1.2404513027863828e-08
1844,1.2623690648361219e-08
1845,1.562463802784464e-08
1846,4.0981509297211005e-09
1847,1.4022381478184798e-08
1848,3.057184372323718e-08
1849,6.703531951757213e-09
1850,1.629359136501307e-08
1851,1.483370937194195e-08
1852,1.3021090872200602e-08
1853,7.166318205520383e-09
1854,4.1565315633818045e-09
1855,1.539011762474729e-08
1856,2.1226476576430287e-08
1857,8.298565390418844e-09
1858,3.229826006645453e-08
1859,6.619825576592575e-09
1860,1.6020144405493042e-08
1861,4.2443675241088386e-09
1862,1.2650361647104091e-08
1863,2.996772607843923e-08
1864,3.452203989340319e-08
1865,2.118079933666195e-08
1866,2.0922136301226857e-08
1867,1.4073153309368536e-08
1868,2.5687344473723783e-08
1869,2.1487483792270723e-08
1870,3.096386436141074e-08
1871,7.434824311758348e-09
1872,1.9351485747165498e-08
1873,1.0176207432266438e-08
1874,7.169530746864439e-09
1875,1.2587359377036478e-08
1876,2.1161051577678336e-08
1877,9.89570592135891e-09
1878,2.959153455606156e-08
1879,2.932476128592043e-08
1880,1.7328185109022343e-08
1881,1.1853263259808955e-08
1882,9.317538740560849e-09
1883,7.58320695126713e-09
1884,1.1883054540362536e-08
1885,1.9981470755769948e-08
1886,1.7424352183326164e-08
1887,5.876032105334161e-09
1888,2.3460273723685532e-08
1889,1.5036328404605115e-08
1890,5.898947996740844e-09
1891,2.995883363610119e-08
1892,2.6327752422616868e-08
