year,moins_ADV uni_VERB,moins_ADV muni_VERB
1800,1.8864987794131594e-08,0.0
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,4.0281122437590966e-08,0.0
1803,5.460949736857401e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,1.421438877713399e-08,0.0
1806,0.0,0.0
1807,2.8469550272802735e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,4.518061036407062e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,2.400487453257938e-08,0.0
1813,3.4508900625951355e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,1.0898113522728181e-08,0.0
1818,2.026600220972341e-08,0.0
1819,7.24573512300708e-09,2.070210003424222e-09
1820,1.4239777357261119e-08,0.0
1821,9.86148829262845e-10,4.930744257336528e-09
1822,3.208197085768916e-08,1.0025615893027862e-09
1823,6.917880934764753e-09,0.0
1824,2.3579115548955087e-08,2.5263338088166165e-09
1825,9.68598712347557e-09,6.163809906922779e-09
1826,7.927186018719112e-09,5.284790383086602e-09
1827,6.452091305675367e-09,9.217273055917019e-10
1828,5.503380862137419e-09,1.8344602503717056e-09
1829,2.0575622983187714e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,1.6235963684607668e-08,2.705993873419743e-09
1833,2.89590715851773e-08,2.3167257001688313e-09
1834,8.401078055442213e-09,9.334530925997342e-10
1835,1.5126175867408165e-08,0.0
1836,1.2769425516978572e-08,8.064899859050456e-09
1837,1.7394727436226276e-08,2.7831563720326358e-09
1838,2.840472923537618e-08,0.0
1839,2.307186797168015e-08,0.0
1840,1.0828470564661075e-08,5.732719632334238e-09
1841,8.346713542550788e-09,5.778493683550323e-09
1842,4.024959032733477e-09,9.391571076378114e-09
1843,1.1223130869097986e-08,5.906910960362666e-09
1844,9.879410178825765e-09,2.195424508855126e-09
1845,1.562463758375543e-08,8.928364714222425e-09
1846,1.6392604607062822e-08,1.1709002656346001e-09
1847,7.011190739092399e-09,2.1572894581822766e-09
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,1.6758828991214614e-08,4.1897072478036534e-09
1850,7.467895635215882e-09,5.431196825611551e-09
1851,2.579775504329973e-09,3.2247193804124663e-09
1852,1.6276363368206148e-08,7.812654523320361e-09
1853,1.3735443005202796e-08,5.971931837933653e-10
1854,7.79349651480743e-09,1.0391328908454511e-09
1855,8.491099379170919e-09,2.1227748447927297e-09
1856,2.485050742961903e-08,4.141751386299575e-09
1857,2.3431244500216053e-08,4.881508974818871e-09
1858,6.8511463169329545e-09,8.31924928945682e-09
1859,2.5460866748261424e-09,1.5276520048956854e-09
1860,5.950338888283113e-09,1.373155145145688e-09
1861,1.6034276129062164e-08,4.715963730639317e-10
1862,6.325180823552046e-09,4.066187830886747e-09
1863,1.9978483312144135e-09,4.994620717013731e-09
1864,1.102787461348953e-08,4.794727948009836e-10
