year,voulais_VERB être_VERB,voulais_VERB etre_VERB,voulais_VERB mettre_VERB
1800,7.231578535993322e-08,0.0,2.2009151834367913e-08
1801,5.714838380299625e-08,0.0,1.6668277424969347e-08
1802,7.384872446891677e-08,2.2378401354217203e-09,8.951360541686881e-09
1803,9.55666195068261e-08,0.0,3.900678446910888e-09
1804,6.673997887673977e-08,0.0,3.707776485839531e-08
1805,5.1171799242411e-08,0.0,2.55858996212055e-08
1806,4.034336598124355e-08,0.0,8.645007376628655e-09
1807,4.27043254092041e-08,0.0,2.8469551160981155e-09
1808,4.758755522971114e-08,6.798221985349073e-09,0.0
1809,8.584316191218022e-08,0.0,2.4849335034105025e-08
1810,7.722418615685456e-08,0.0,4.680253518074551e-09
1811,8.273353557797236e-08,0.0,2.5070768572277302e-08
1812,4.800974906515876e-08,0.0,4.000812481308458e-08
1813,7.764502640839055e-08,0.0,6.901780125190271e-08
1814,6.293354459785405e-08,0.0,6.293354459785405e-08
1815,3.236668177919455e-08,0.0,6.203614333344376e-08
1816,6.489290882427667e-08,0.0,2.7811246638975717e-08
1817,9.49692804397273e-08,0.0,4.0478710161551135e-08
1818,1.1801965627000754e-07,0.0,2.5034472272977837e-08
1819,7.349245834120666e-08,0.0,2.3807414706311647e-08
1820,7.713212824000948e-08,1.1866481131050932e-09,4.2719332071783356e-08
1821,1.6370070454740926e-07,0.0,5.719663320746804e-08
1822,1.082766516447009e-07,0.0,3.208197085768916e-08
1823,1.7690010167825676e-07,0.0,3.360113609574e-08
1824,1.3052724057160958e-07,0.0,3.03160057057994e-08
1825,1.0038205289220059e-07,0.0,1.7610886970942374e-08
1826,8.279505436803447e-08,0.0,3.6112734136395375e-08
1827,1.0323346089080587e-07,0.0,4.055600300034712e-08
1828,1.6143249581546115e-07,0.0,5.044765671868845e-08
1829,1.4660130887023115e-07,0.0,2.6576845613135447e-08
1830,1.9412514973282669e-07,1.0436835840010872e-09,4.696576283436116e-08
1831,1.7462150481151184e-07,0.0,2.494592976631793e-08
1832,2.232444984429094e-07,0.0,2.841293600397421e-08
1833,2.316725726814184e-07,0.0,6.486831694019202e-08
1834,1.3815105148751172e-07,9.334530925997342e-10,4.480574844478724e-08
1835,1.557996114343041e-07,0.0,3.403389570166837e-08
1836,1.4852857077585213e-07,0.0,5.2421849972006385e-08
1837,1.4959465488573187e-07,6.957890930081589e-10,5.5663129217009555e-08
1838,1.1866864468856875e-07,0.0,2.209256599883247e-08
1839,1.0557127438914904e-07,0.0,2.6567605004856887e-08
1840,1.4713981499880902e-07,0.0,4.33138822586443e-08
