year,ses_DET effets_NOUN,ses_DET méfaits_NOUN
1800,9.693459304571661e-06,7.231578535993322e-08
1801,9.83190290071434e-06,1.4287095950749062e-08
1802,1.0775200280477293e-05,2.2378401354217203e-08
1803,9.654179052631662e-06,3.510610468993036e-08
1804,1.0500423229586886e-05,1.730295728918918e-08
1805,1.1462482973456645e-05,3.980028751016107e-08
1806,9.814964755605615e-06,1.729001475325731e-08
1807,1.129671750277339e-05,2.8469551160981155e-09
1808,9.895945140669937e-06,2.2660739062985158e-08
1809,9.54892175286659e-06,6.7770917766551975e-09
1810,7.74113917145769e-06,0.0
1811,7.418440361561807e-06,1.7549536934780008e-08
1812,1.026608401843987e-05,1.0668832928217853e-08
1813,9.691249090337806e-06,3.738464116054274e-08
1814,6.652075327906459e-06,3.4613449884091096e-08
1815,9.184046291466075e-06,6.47333635583891e-08
1816,8.783718442373356e-06,5.5622493277951435e-08
1817,7.460537545966872e-06,4.981994905506326e-08
1818,7.345829658333969e-06,2.98029441125891e-08
1819,7.5428101240504475e-06,5.175525075173937e-08
1820,7.645573589343257e-06,6.763894333516873e-08
1821,7.24720769085252e-06,3.747365440176509e-08
1822,7.458055620190862e-06,3.8097340393505874e-08
1823,7.404109169328876e-06,5.138997138942614e-08
1824,7.68173904930336e-06,9.347434826167955e-08
1825,6.5732634482174035e-06,2.2277771449807915e-07
1826,6.923075545728352e-06,8.015265962058038e-08
1827,8.807104279640043e-06,8.848581956044654e-08
1828,7.825807358585735e-06,5.77854990524429e-08
1829,7.5418230380819296e-06,1.1573787617180642e-07
1830,6.947801750811777e-06,1.1689256496083544e-07
1831,7.34033983462723e-06,1.4343909526814969e-07
1832,7.264240508675357e-06,1.7588959622116818e-07
1833,7.192274807721333e-06,1.934465956310305e-07
1834,7.6225778400385025e-06,1.2601617305207924e-07
1835,6.596525366830974e-06,1.527743691553951e-07
1836,6.728814980760944e-06,1.9221344871311885e-07
1837,6.572423984607667e-06,1.5376939188627148e-07
1838,6.365184191281514e-06,1.5654161700240365e-07
1839,7.1634656535479735e-06,1.4332523978755063e-07
1840,7.119401203681264e-06,1.9554944258315388e-07
1841,7.524240686507255e-06,1.9133234152590717e-07
1842,7.079232034357119e-06,2.8778455885003495e-07
1843,6.9872851895524946e-06,2.156022500532373e-07
1844,7.920542373085482e-06,1.9594163735980885e-07
1845,7.499268235733325e-06,1.8582159233559992e-07
1846,7.101510007601064e-06,2.2656919829167066e-07
1847,6.769574099507736e-06,2.022458849282316e-07
1848,6.540765099316559e-06,1.6009991554710723e-07
1849,6.8057606910088e-06,1.2317740072376182e-07
1850,6.671546557868169e-06,1.7583499811735237e-07
1851,7.048591569969176e-06,1.683303452182372e-07
1852,7.930495542041172e-06,1.868526564585693e-07
1853,7.0498655873052485e-06,1.833383009852696e-07
1854,6.860355256321782e-06,2.109439827258086e-07
1855,6.826843673479743e-06,1.814972492297784e-07
1856,6.945717075268476e-06,2.3038492713567393e-07
1857,6.566606145952392e-06,2.1820345352807635e-07
1858,6.459652340140565e-06,2.647478616335519e-07
1859,6.712502738537296e-06,2.780326719964421e-07
1860,6.294543425156007e-06,2.421330426716217e-07
1861,6.644792705401414e-06,2.6928154284178163e-07
1862,5.823232328339145e-06,2.2544751532294072e-07
1863,5.889157392857669e-06,2.8769014931429027e-07
1864,6.356850235533784e-06,2.373390297627509e-07
1865,5.831309323411915e-06,2.551109601345303e-07
1866,6.410445038795842e-06,2.496059541279294e-07
1867,5.8655930814666135e-06,2.6205180780891624e-07
1868,6.25486839567202e-06,2.860187029440908e-07
1869,6.209882855046089e-06,2.3392056947013629e-07
1870,5.9599705366508715e-06,3.170928968287967e-07
1871,5.702510009086836e-06,2.86771773438943e-07
1872,5.666961840233853e-06,1.9472432721823196e-07
1873,5.957271568490796e-06,1.831717321709725e-07
1874,6.059448395490108e-06,1.9656463584594164e-07
1875,5.871431270065841e-06,2.317218559255707e-07
1876,6.323526747564756e-06,2.0133229039487333e-07
1877,5.414806196313293e-06,3.0429293607081576e-07
