year,nos_DET amants_NOUN,nos_DET mamans_NOUN
1800,2.5153315874604232e-08,0.0
1801,5.238601596957437e-08,9.524730337773235e-09
1802,2.0140561218795483e-08,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155528384522995e-09,0.0
1805,3.980028751016107e-08,0.0
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,1.7081731584767113e-08,0.0
1808,2.945896149242344e-08,0.0
1809,4.0662548883574345e-08,1.129515236897305e-08
1810,1.8487001440803397e-07,0.0
1811,2.5070768128188092e-08,2.5070768128188092e-08
1812,9.868670147739067e-08,0.0
1813,6.614205716459765e-08,0.0
1814,8.810695817373926e-08,0.0
1815,3.776113022269101e-08,5.394447111228828e-09
1816,1.3905623319487859e-08,1.1588019432906549e-08
1817,3.892183553233508e-08,6.22749374290521e-09
1818,7.510341681893351e-08,3.5763532135746345e-09
1819,1.7596784918083586e-08,0.0
1820,9.730514705097448e-08,2.3732962262101864e-09
1821,8.579494625848838e-08,9.86148829262845e-10
1822,1.4035862250239006e-07,2.0051231786055723e-09
1823,8.597937473098227e-08,0.0
1824,7.410579172528742e-08,4.210556348027694e-09
1825,6.780190986432899e-08,2.641632912414593e-09
1826,9.424543101488325e-08,2.6423953025656033e-09
1827,4.7008093417844066e-08,0.0
1828,3.6689205673567926e-08,1.8344602503717056e-09
1829,4.286587973467704e-08,7.715858174606183e-09
1830,3.965997663613052e-08,2.0873671680021744e-09
1831,7.795603051974354e-09,0.0
1832,9.741577811084312e-08,1.3529969367098715e-09
1833,2.8959072029266508e-08,4.6334514003376626e-09
1834,1.9602514278460603e-08,9.334531370086552e-09
1835,4.0840674842002045e-08,3.025235173481633e-09
1836,5.443807671312584e-08,3.36037508930076e-09
1837,4.661786867643514e-08,1.3915781860163179e-09
1838,7.890202269322799e-08,0.0
1839,7.900367116064899e-08,0.0
1840,5.6690227623334977e-08,0.0
1841,7.319425332497076e-08,0.0
1842,4.092041594461193e-08,1.341653010911159e-09
1843,3.485077604281628e-08,0.0
1844,3.0187087496358345e-08,5.488561272137815e-10
1845,6.696273491257898e-08,5.580227946389016e-10
1846,3.102885770545072e-08,5.269050973311096e-09
1847,2.2651539310913904e-08,2.1572894581822766e-09
1848,3.942158688374775e-08,1.6090443422100975e-09
1849,2.0948537127196687e-08,1.3407063903514427e-08
1850,3.86972773824823e-08,0.0
1851,5.0305622778523684e-08,6.449438760824933e-10
1852,2.7995345819320505e-08,6.510545214055696e-09
1853,3.523439917607618e-08,1.1943863675867306e-09
1854,3.3771819119010615e-08,1.0391328908454511e-09
1855,5.041590256382733e-08,5.306937111981824e-10
1856,3.675804371994218e-08,1.5531567143511893e-09
1857,7.712784366731285e-08,2.4407544874094356e-09
