year,avez_VERB hérité_VERB,avez_VERB mérité_VERB
1800,9.432493186523061e-08,0.0
1801,7.619784270218588e-08,0.0
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,7.411289004721766e-08,0.0
1804,4.69651695311768e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,1.729001475325731e-08,0.0
1807,2.8469550272802735e-08,5.693910232196231e-09
1808,1.5862518409903714e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,6.552355102940055e-08,9.360507036149102e-09
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,2.8757416004054903e-08,0.0
1814,1.1013369771717407e-07,0.0
1815,2.6972236000233352e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,5.4490570278176165e-08,3.113746815941454e-09
1818,2.8610825708597076e-08,1.1921177378582115e-09
1819,3.519356894798875e-08,0.0
1820,2.8479554714522237e-08,2.4919611263385377e-08
1821,4.6348993976153e-08,2.9584463767662328e-09
1822,4.110502516141423e-08,0.0
1823,3.4589405117912975e-08,9.882686891060644e-10
1824,6.14741253457396e-08,1.6842225392110777e-09
1825,3.522177394188475e-08,4.4027217427355936e-09
1826,4.7563116112314674e-08,0.0
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,3.944089499441361e-08,9.172301251858528e-10
1829,1.0287811491593857e-08,3.429270423183084e-09
1830,1.982998831806526e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,3.2471927369215337e-08,0.0
1833,4.054269808762001e-08,0.0
1834,4.667265329771908e-08,1.8669061851994684e-09
1835,4.4622218808854086e-08,0.0
1836,3.427582484505365e-08,1.3441500135158435e-09
1837,2.5744196108234974e-08,4.87052354003481e-09
1838,2.2723781967215473e-08,6.312161904276081e-10
1839,3.146163862766116e-08,1.3982950353153e-09
1840,4.0129037870428874e-08,0.0
1841,2.953452238330101e-08,2.5682194149112547e-09
1842,1.408735705865638e-08,1.341653010911159e-09
1843,2.7762482091020502e-08,3.5441467538532834e-09
1844,5.54344694592146e-08,2.7442805805577564e-09
1845,2.7901139176833567e-08,1.674068439427856e-09
1846,2.0490753982471688e-08,5.854501328173001e-10
1847,2.1033571329098777e-08,2.1572894581822766e-09
1848,3.137636639394259e-08,0.0
1849,2.262441967104678e-08,5.865590679832167e-09
1850,2.7834882843080777e-08,3.394498016007219e-09
1851,2.0638204034639784e-08,0.0
1852,2.3437962681782665e-08,2.6042181744401205e-09
1853,2.329053394589664e-08,2.9859659189668264e-09
1854,3.3252252507054436e-08,3.63696517347023e-09
1855,2.7065379271107304e-08,5.306937111981824e-09
1856,2.6403665032148638e-08,0.0
