year,tes_DET eaux_NOUN,tes_DET maux_NOUN
1800,9.118076960135113e-08,1.4148740490327327e-07
1801,8.09602078710725e-08,3.3336556271024165e-07
1802,7.161088433349505e-08,2.663029761151847e-07
1803,4.290746247193056e-08,2.1453732079734777e-07
1804,1.1864884319479074e-07,2.9909397269989313e-07
1805,5.1171799242411e-08,1.8762992226584174e-07
1806,1.613734639249742e-07,2.132435161783519e-07
1807,7.686778946691675e-08,2.0782771947835954e-07
1808,7.93125889408941e-08,2.1754310530752718e-07
1809,7.228897924704825e-08,1.2650571079575457e-07
1810,4.680253340438867e-08,2.5507381451461697e-07
1811,1.2033968488367464e-07,2.7076427855377005e-07
1812,8.801787032552966e-08,1.5469807657098045e-07
1813,3.738464204872116e-08,2.5306526652002503e-07
1814,6.293354060105116e-08,2.6432089050842933e-07
1815,4.315557666778602e-08,1.1598061133710758e-07
1816,4.4034475621401725e-08,1.1819779999200364e-07
1817,6.538868291272593e-08,2.0862103866647885e-07
1818,8.821671082515081e-08,1.4901471678818723e-07
1819,1.3870406911919986e-07,1.366338624464447e-07
1820,9.849179338772274e-08,3.690475729456466e-07
1821,8.678109963966563e-08,2.8598317314276755e-07
1822,9.825103575167304e-08,2.887377377192024e-07
1823,6.226093063332883e-08,2.085246993965839e-07
1824,6.821101017351339e-08,2.501070444083098e-07
1825,5.3713204550831506e-08,2.069279130267887e-07
1826,6.253668771716292e-08,2.087492347868647e-07
1827,3.8712546668318026e-08,1.4194601050121491e-07
1828,7.796455747666187e-08,1.825287885282023e-07
1829,4.029392802751275e-08,1.208817836939602e-07
1830,8.036363396968227e-08,1.1167414371016093e-07
1831,9.822459645647541e-08,1.0134284256224646e-07
1832,1.1500473662273691e-07,1.569476442142559e-07
1833,1.042526562855528e-07,1.7143770048022589e-07
1834,9.241185949804276e-08,1.745557325349978e-07
1835,7.865611451052246e-08,1.3537926690787572e-07
1836,1.1290860368884381e-07,9.409050355513315e-08
1837,5.0096812920230605e-08,1.3776624463446296e-07
1838,6.627769821854201e-08,1.2813688599067063e-07
1839,5.523265422802126e-08,1.55909893884143e-07
1840,5.6690230731959446e-08,1.3057861281140504e-07
1841,9.759233554618163e-08,1.2712685837357185e-07
1842,9.324488292605793e-08,1.7441489141845068e-07
1843,8.44688284873385e-08,1.252265136031383e-07
1844,7.354671988091255e-08,1.075758018220796e-07
1845,3.9061594403477784e-08,8.202935086742968e-08
1846,6.088681048233013e-08,1.0128287364352673e-07
1847,5.8786138623645456e-08,9.384209143092903e-08
1848,5.3098462293732496e-08,5.3902985408527115e-08
1849,7.960444037280467e-08,9.720121596501485e-08
1850,8.554135177973876e-08,7.400005497260054e-08
1851,6.513933392682247e-08,6.965393595237401e-08
1852,7.877760155317048e-08,9.375185072713066e-08
1853,8.360704462084811e-08,8.957898112171847e-08
1854,4.9358813924982314e-08,9.040456472320102e-08
1855,8.384960636931282e-08,1.5018631316365827e-07
1856,9.16362518088576e-08,1.0457922527962182e-07
1857,9.763017866371015e-08,1.440045194200934e-07
1858,7.732008361349685e-08,7.193704099073273e-08
1859,1.0591720789321357e-07,1.145739001451318e-07
1860,1.0664838567819857e-07,1.0298663610797121e-07
1861,7.215424258077974e-08,1.1601271054928475e-07
1862,7.951656066929047e-08,1.7755686698706086e-07
1863,7.541877578010059e-08,1.223682115636393e-07
1864,8.198985135265957e-08,8.10309011001209e-08
1865,7.578019589615792e-08,9.413688517589947e-08
1866,7.68766869052584e-08,6.714545897068547e-08
1867,7.4248015735634e-08,8.24977970381724e-08
1868,4.791677987725507e-08,9.632754771615737e-08
1869,6.299739396808945e-08,1.0890247592598712e-07
1870,6.651496553544689e-08,8.314370392170645e-08
1871,6.797553542270407e-08,4.673317932635257e-08
1872,5.0797650197331734e-08,7.075387031818536e-08
1873,4.250063090349698e-08,5.8662843027690315e-08
1874,4.480956938834879e-08,5.317402251847625e-08
1875,5.4926659998066896e-08,7.83849240515444e-08
1876,5.441413430951059e-08,6.287855569553358e-08
