year,six_DET mines_NOUN
1800,0.0
1801,2.6193008650921e-08
1802,0.0
1803,7.801356893821776e-09
1804,5.9324420931261557e-08
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,2.039466551195801e-08
1809,4.743964154840796e-08
1810,2.106114038724627e-08
1811,1.504245972228091e-08
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,1.2454987263765815e-08
1818,3.5763532135746345e-09
1819,1.5526575580793178e-08
1820,2.8479554714522237e-08
1821,2.2681422962023134e-08
1822,6.015369535816717e-09
1823,1.3835761869529506e-08
1824,2.6947560627377243e-08
1825,7.044354433105582e-09
1826,1.7615968683770689e-09
1827,4.516463647519231e-08
1828,1.8344602503717056e-09
1829,1.457439946506156e-08
1830,1.5655253093882493e-08
1831,1.091384405071949e-08
1832,2.705993873419743e-09
1833,3.4750886612755494e-09
1834,1.120143711119681e-08
1835,5.294161553592858e-09
1836,4.70452493628315e-09
1837,7.653680245134353e-09
1838,1.1993107174035345e-08
1839,2.7965900706306e-09
1840,1.9109065441114126e-09
1841,1.926164561183441e-09
1842,6.037438549100216e-09
1843,5.906910960362666e-09
1844,4.390849017710252e-09
1845,1.618266037839433e-08
1846,2.9272506640865004e-09
1847,5.9325460100012606e-09
1848,2.413566457803995e-09
1849,3.3517659758786067e-09
1850,1.8330290174617403e-08
1851,1.5478653025979838e-08
1852,5.859490670445666e-09
1853,8.957897534855874e-09
1854,2.0782657816909023e-09
1855,7.960405667972736e-09
1856,1.65670055451983e-08
1857,5.857811125054013e-09
1858,2.446837954472869e-09
1859,1.1202780925145817e-08
1860,5.492620580582752e-09
1861,1.980704722459592e-08
1862,1.1294965851504912e-08
1863,1.2486552236623538e-08
1864,1.5822602006387854e-08
1865,1.788600934027329e-08
1866,4.865612801552288e-09
1867,1.9896527092555516e-08
1868,2.1241459036147603e-08
1869,1.611561317726995e-08
1870,1.9495765002375265e-08
1871,1.0621177271019633e-08
1872,9.071008721939222e-09
1873,3.412022708815243e-08
1874,1.6728905150031892e-08
1875,1.8881038954532414e-08
1876,6.408775865551775e-08
1877,1.4843558382438005e-08
1878,2.6571990829893366e-08
1879,4.032154754529671e-08
1880,1.4119261981804243e-08
1881,6.2752567586699115e-09
