year,nos_DET êtres_NOUN
1800,1.2576657937302116e-08
1801,4.7623651688866175e-09
1802,2.6854081625060644e-08
1803,5.851017448321727e-09
1804,2.4718509905596875e-08
1805,1.7625841763901917e-07
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,0.0
1809,1.129515236897305e-08
1810,0.0
1811,0.0
1812,1.600324850414836e-08
1813,0.0
1814,0.0
1815,0.0
1816,1.8540831092650478e-08
1817,0.0
1818,1.3113295338484932e-08
1819,0.0
1820,2.0173017922786585e-08
1821,3.94459531705138e-09
1822,1.303330066093622e-08
1823,1.9765373782121287e-09
1824,3.03160057057994e-08
1825,1.0566531427613768e-08
1826,1.7615968683770689e-09
1827,1.566936447261469e-08
1828,1.0089530988466322e-08
1829,2.571952872898464e-09
1830,9.39315247805439e-09
1831,1.5591206103948707e-09
1832,8.117981842303834e-09
1833,1.3900353756923778e-08
1834,1.3068343518440884e-08
1835,3.781543966852041e-09
1836,1.008112526790228e-08
1837,5.5663127440652715e-09
1838,3.787297142565649e-09
1839,5.5931801412612e-09
1840,5.095750932326837e-09
1841,1.540931604537832e-08
1842,2.0124795163667386e-09
1843,1.0632439872981791e-08
1844,2.7442805805577564e-09
1845,7.254296274794569e-09
1846,5.854501328173001e-09
1847,4.314578916364553e-09
1848,4.02261068899179e-09
1849,0.0
1850,1.9009188889640427e-08
1851,9.029214709244116e-09
1852,7.161600201754936e-09
1853,7.166318205520383e-09
1854,6.754364012540037e-09
1855,8.491099379170919e-09
1856,9.836659486950339e-09
1857,5.369660049936442e-09
1858,6.8511465389775594e-09
1859,2.1387128512628806e-08
1860,1.2816115280145368e-08
1861,8.017138064531082e-09
1862,1.5361153349324752e-08
1863,3.496234635136375e-09
1864,3.835782358407869e-09
1865,8.001635798393636e-09
1866,8.271541673821048e-09
1867,7.76449837758264e-09
1868,2.9639245502366407e-09
1869,7.81363052038131e-09
1870,6.307453670473251e-09
1871,1.0621177271019633e-09
1872,6.652073114565837e-09
1873,1.1972008939764578e-09
1874,1.3144140165177731e-08
1875,4.577221712764867e-09
1876,3.627608879952504e-09
1877,2.4739263970730008e-09
1878,3.6234530931267273e-09
1879,7.94212251520321e-09
1880,1.5402831010646878e-08
1881,7.669758161910067e-09
1882,2.6621540527571597e-09
1883,6.951272890631799e-09
1884,7.922036360241691e-09
1885,8.379326343899152e-09
1886,5.808117542471791e-09
1887,7.834709769838355e-09
1888,1.268122939990235e-08
1889,1.2530273152400184e-08
1890,1.3108773178061028e-08
1891,3.633305567518619e-08
1892,1.3790727226847821e-08
1893,1.6011883485766987e-08
1894,2.2055387294273032e-08
1895,1.3842813118003505e-08
1896,2.5946927162401323e-08
1897,1.9228155068162778e-08
1898,1.4145887239358501e-08
1899,2.2110313580014918e-08
1900,2.3359739032002835e-08
1901,2.1796081439706683e-08
1902,2.9952730795645977e-08
1903,2.3220947387159185e-08
1904,1.8811187274536678e-08
1905,4.6446831825086576e-08
1906,3.189394293112713e-08
1907,2.8799923057487575e-08
1908,3.14328898465277e-08
1909,3.740668930163338e-08
1910,3.366815093386322e-08
1911,3.245428259468497e-08
1912,3.2298409891051705e-08
1913,3.712092722096827e-08
1914,3.48230655977666e-08
1915,6.125996065975414e-08
1916,4.6147340393432046e-08
1917,4.276905585243185e-08
1918,4.5945505178224266e-08
1919,2.6702760891339494e-08
1920,5.3762843954530126e-08
1921,5.376650502597613e-08
1922,5.828569182853016e-08
1923,5.201814401445404e-08
1924,7.73497492723152e-08
1925,3.0794897964980805e-08
1926,5.01576231659584e-08
1927,2.8987984457273797e-08
1928,3.6563331917705e-08
1929,5.458799190449781e-08
1930,3.151081084951102e-08
1931,2.5091784650044247e-08
1932,2.191907289006423e-08
1933,2.7529588830788043e-08
1934,2.2765002327673756e-08
1935,3.949533677882755e-08
1936,3.8799087942464894e-08
1937,3.399601977704947e-08
1938,3.111651503129309e-08
1939,4.435274725267391e-08
1940,3.0429394115571995e-08
1941,5.9030050625352715e-08
1942,8.495793002438745e-08
1943,6.67744117777147e-08
1944,6.747690939334916e-08
1945,6.753362669087437e-08
1946,3.897909017780421e-08
1947,4.529931052488223e-08
1948,4.02259852094744e-08
1949,4.0249735766551e-08
1950,4.573205392155444e-08
1951,1.7058242818279723e-08
1952,4.5342655297098133e-08
1953,4.74048422738349e-08
1954,4.9839933069506515e-08
1955,2.815682265122632e-08
1956,1.9186511268642903e-08
1957,7.156380449346855e-08
1958,3.8879544250747244e-08
1959,2.7127618040800883e-08
1960,3.6680417148104993e-08
1961,3.5435612832923624e-08
1962,4.5662087444497956e-08
1963,3.103705381590771e-08
1964,3.346182525509889e-08
1965,2.4624196015565758e-08
1966,3.600398423841966e-08
1967,3.204718129756756e-08
1968,4.132102504605939e-08
1969,2.5888019672404283e-08
1970,3.632992645608013e-08
1971,3.031654582930088e-08
1972,3.0780881121739156e-08
1973,1.929621262775072e-08
1974,3.937900339145983e-08
1975,3.541117621352896e-08
1976,2.513951885552146e-08
1977,2.6445518497286713e-08
1978,2.4950483012986524e-08
1979,2.3407893623428322e-08
1980,3.4679419391725474e-08
1981,3.226030309555483e-08
1982,4.096951378151914e-08
1983,4.2312618742101904e-08
1984,2.3775934387959552e-08
1985,2.9476233787129047e-08
1986,3.177077201321765e-08
1987,3.2998411836349106e-08
1988,2.938311283173789e-08
1989,2.57941739079115e-08
1990,3.378163487832708e-08
1991,3.282420435457567e-08
1992,3.912060414501539e-08
1993,2.6588195312093887e-08
1994,3.692448635739254e-08
1995,4.066837977489968e-08
1996,4.163711841975726e-08
1997,3.4523239378358994e-08
1998,4.863491831486044e-08
1999,2.605014595702393e-08
