year,des_DET arrêts_NOUN,des_DET marais_NOUN
1800,9.24384380596166e-07,2.119166890857116e-06
1801,6.667311218677696e-07,2.4311873438875864e-06
1802,6.131681686838419e-07,2.5847054416772153e-06
1803,9.36162850351252e-07,2.9567143613462576e-06
1804,1.0060433499603505e-06,2.5212879506408825e-06
1805,1.2338089296903831e-06,2.1691156906200604e-06
1806,8.846724277589146e-07,2.5877387663797435e-06
1807,2.7729342662041745e-06,2.6362803513535482e-06
1808,1.8649789410574158e-06,2.0122737520722467e-06
1809,2.3584277517585406e-06,3.271076154831576e-06
1810,1.8042377831761769e-06,2.0405904694875687e-06
1811,1.2309746715288838e-06,2.3215530795539507e-06
1812,2.7258869081947523e-06,2.4645003655621167e-06
1813,2.2660844596344987e-06,2.151054816934561e-06
1814,3.536865165187919e-06,2.1806472574326108e-06
1815,1.6965536406843285e-06,2.3250065943614118e-06
1816,1.2051540245749948e-06,1.740520525927991e-06
1817,1.3996292160811663e-06,1.9040562246885884e-06
1818,1.4484230934641573e-06,1.8418219305260664e-06
1819,2.373495844310014e-06,1.7834858780929608e-06
1820,1.4583905443288359e-06,1.8393045992937118e-06
1821,1.5166969404845076e-06,1.6419378172649601e-06
1822,1.874790228839629e-06,1.5910652564343764e-06
1823,1.5703589859583644e-06,1.8253323190720039e-06
1824,1.8198025024673825e-06,1.7254860411597406e-06
1825,2.362500310937321e-06,1.7126586833171586e-06
1826,2.3455662017113355e-06,2.068114675068955e-06
1827,2.8647283549787517e-06,2.0167393159908897e-06
1828,2.6168576034990565e-06,1.6766966357550928e-06
1829,2.645682187107923e-06,1.8132266994541624e-06
1830,2.573723800303185e-06,1.8201841633924687e-06
1831,1.997233466610737e-06,2.2700795678787244e-06
1832,2.6721690389308606e-06,1.5370044961215967e-06
1833,1.7155353924103167e-06,1.8209463839014006e-06
1834,1.8818414135868267e-06,1.6932839521643928e-06
1835,1.7803509066993684e-06,1.7213588208164765e-06
1836,1.4873020437455864e-06,1.551821172895984e-06
1837,1.479247581315235e-06,1.4270634434154772e-06
1838,1.7036525310487605e-06,1.5938209170229811e-06
1839,1.989773842581144e-06,1.5500099985743532e-06
1840,1.6548450758602229e-06,1.4949659501439783e-06
1841,1.6109156737442731e-06,1.4658112377219368e-06
1842,1.8548353115654947e-06,1.4751474939345144e-06
1843,1.6001822560340884e-06,1.2156423334630517e-06
1844,1.8200068661045066e-06,1.4500779066395353e-06
1845,1.9692624553258042e-06,1.4687159861637156e-06
1846,1.8107972117320514e-06,1.4688943732465987e-06
1847,2.675578329558448e-06,1.3817438819785366e-06
1848,1.6428343050378658e-06,1.3902142779187443e-06
1849,2.019439100164888e-06,1.4043899723148456e-06
1850,1.8757996258500498e-06,1.2654688923419144e-06
1851,1.940636111363858e-06,1.2647348892613763e-06
1852,1.8821986600414675e-06,1.132183811591858e-06
1853,1.595102972373752e-06,1.48820543444117e-06
1854,1.782632531366346e-06,1.3976337758236923e-06
1855,1.7417368205485673e-06,1.2816253551761747e-06
1856,1.6623954115502215e-06,1.0954932525564232e-06
1857,1.563547362026796e-06,1.2418559602878076e-06
1858,1.5219332301086297e-06,1.0942259480728467e-06
1859,1.6045438329115314e-06,1.120787382902222e-06
1860,1.3726974215089172e-06,9.282529029874809e-07
1861,1.2794409824934405e-06,1.126643761395485e-06
1862,1.7209009337548764e-06,1.1394361036920486e-06
1863,1.919932293148463e-06,1.0698477606041479e-06
1864,1.6503454070004864e-06,9.685350725874287e-07
1865,1.5325485653860937e-06,1.176711085904003e-06
1866,1.3171213781859592e-06,1.057784208668977e-06
1867,1.637823912048475e-06,1.1389549001705745e-06
1868,1.5837236286841971e-06,1.1188814852403084e-06
1869,1.6291419306924126e-06,1.0875597311610363e-06
1870,1.358396191086797e-06,1.121006540927283e-06
1871,1.3722560747719825e-06,1.0196330593181813e-06
1872,1.4803886090319907e-06,8.321138702527264e-07
1873,1.2690329622699892e-06,1.0810723800602773e-06
1874,1.4004484065743839e-06,8.806574038899839e-07
