year,aux_ADP in_ADJ,aux_ADP mines_NOUN
1800,3.144164395507687e-08,1.4777573156266044e-06
1801,4.0480102825313224e-08,1.5620557451967443e-06
1802,2.2378401354217203e-08,1.2509526357007417e-06
1803,1.3652374342143503e-08,1.4471517575387338e-06
1804,7.4155526164076946e-09,1.4040113924806974e-06
1805,1.7057265822018053e-08,2.089515057868141e-06
1806,2.0171682990621775e-08,9.797675168954356e-07
1807,2.2775640928784924e-08,1.2612011133228407e-06
1808,1.3596443970698147e-08,1.3913694068001803e-06
1809,1.8072244145628247e-08,1.3328279599988946e-06
1810,1.1700633351097167e-08,1.989107751398933e-06
1811,1.504245972228091e-08,1.8828146499672016e-06
1812,2.1337665856435706e-08,1.3496073818508592e-06
1813,1.4378708002027452e-08,1.6736816537132881e-06
1814,1.5733386149463513e-08,1.2397908459860218e-06
1815,3.506390555685357e-08,1.1193477775783833e-06
1816,1.8540831092650478e-08,9.108183416373095e-07
1817,1.5568733857662664e-08,2.0379473273379745e-06
1818,8.344824387052086e-09,1.2421866300016404e-06
1819,1.449147024601416e-08,2.852749370063634e-06
1820,1.6613073583471305e-08,1.1724083153197284e-06
1821,1.2819934447350079e-08,6.478998018089044e-07
1822,1.5038423839541792e-08,1.1308894869443975e-06
1823,3.360113609574e-08,1.0554709741761314e-06
1824,1.8526447931321854e-08,1.2210613569152429e-06
1825,4.138558296062911e-08,1.1182912302842851e-06
1826,1.4973572604048968e-08,1.16177308662202e-06
1827,3.6869092667757286e-08,1.627770370049575e-06
1828,1.0089530988466322e-08,1.6280834405080213e-06
1829,2.2290258527846163e-08,1.208817813846963e-06
1830,1.3567886369969528e-08,1.06142619404892e-06
1831,1.870944643656003e-08,1.1911681001564034e-06
1832,2.3000948701223933e-08,8.036801586452924e-07
1833,1.1583628278799551e-08,1.6437168746108455e-06
1834,1.8669062740173104e-08,1.1108091868550218e-06
1835,1.5882484660778573e-08,9.416044406407309e-07
1836,1.5457725766054864e-08,1.1694104999904198e-06
1837,1.0436836284100082e-08,9.998488774698444e-07
1838,9.468243078458727e-09,1.2472831727450284e-06
1839,9.788065469251706e-09,1.0186579171289623e-06
1840,1.4013314952876499e-08,1.2013232275620567e-06
1841,1.0272877659645019e-08,1.0182990268781111e-06
1842,2.4820581145945653e-08,1.0344144971696778e-06
1843,1.3585895075607368e-08,1.3515012273757065e-06
1844,8.781698035420504e-09,1.0752091306187594e-06
1845,2.0646844234306627e-08,9.832361627104547e-07
1846,7.610851504580296e-09,1.035661320258896e-06
1847,1.1865092020002521e-08,1.0743301004367822e-06
1848,1.609044275596716e-08,1.044269783534446e-06
1849,2.1786478399121734e-08,1.2409913541233664e-06
1850,2.5798184921654865e-08,1.3489735133376257e-06
1851,1.6768540334055615e-08,1.5149731869001926e-06
1852,2.3437962681782665e-08,1.3665634424064876e-06
1853,1.0749477752369785e-08,1.3616004057581677e-06
1854,2.0782657372819813e-08,1.6766409345336797e-06
1855,8.491099379170919e-09,1.453570082077249e-06
1856,1.2425253714809514e-08,1.0903160365671738e-06
1857,6.345961978126979e-09,1.3399742009312376e-06
1858,1.565976326389773e-08,1.138268995504177e-06
1859,1.0693564256314403e-08,1.264895860941806e-06
1860,2.654766717569146e-08,8.609683064264573e-07
1861,1.3676294763342867e-08,1.1841784761656982e-06
1862,1.0391368654438793e-08,1.3093124078267238e-06
1863,6.99246927027275e-09,1.0243967736300874e-06
1864,1.1986819536957682e-08,1.00881076559034e-06
1865,1.1767110841276462e-08,1.097165405639089e-06
1866,1.5083399418358567e-08,9.556063993443331e-07
1867,1.2132028714972876e-08,1.3306408579438767e-06
1868,1.2349684830326169e-08,1.0457713930378532e-06
1869,1.1720445947105418e-08,9.56681397212833e-07
1870,1.3761717099214366e-08,1.0068989233502634e-06
1871,1.6993883633631413e-08,1.073800966366889e-06
1872,1.0280476914203973e-08,1.2614750062311941e-06
1873,1.97538145840781e-08,1.2432930809325171e-06
1874,1.2546679251101978e-08,1.3275581203231468e-06
1875,1.602027666081085e-08,1.4252324262997718e-06
1876,9.673623679873344e-09,1.3506796854301228e-06
1877,1.2369632429454214e-08,1.5517703459977383e-06
1878,1.268208649207736e-08,1.4475695735427507e-06
1879,1.1607718342077078e-08,1.4980065188296976e-06
1880,1.2193908105473383e-08,1.2553306802942643e-06
1881,1.5339516323820135e-08,1.3052534288959805e-06
