year,jeunes_ADJ mères_NOUN
1800,1.1004575384276905e-07
1801,4.0480102825313224e-08
1802,4.2518962573012686e-08
1803,3.90067853572873e-08
1804,6.921182982289054e-08
1805,6.538618890772341e-08
1806,2.881669125542885e-08
1807,8.540865348294346e-09
1808,3.3991110370834576e-08
1809,6.09938268780752e-08
1810,5.3822915901946544e-08
1811,2.757784400841956e-08
1812,5.3344164641089264e-09
1813,2.8757416004054903e-08
1814,3.1466772298927026e-08
1815,3.506390555685357e-08
1816,3.476405652236281e-08
1817,6.227493865029743e-08
1818,5.364529798157491e-08
1819,3.2088255608186955e-08
1820,3.9159388620646496e-08
1821,1.1833785507064931e-08
1822,4.210758675071702e-08
1823,3.360113609574e-08
1824,9.094801978193345e-08
1825,7.308518079618409e-08
1826,7.222546827279075e-08
1827,4.147772969531616e-08
1828,7.796455747666187e-08
1829,5.744027831156018e-08
1830,4.696576283436116e-08
1831,7.483778574624012e-08
1832,1.9347855717555262e-07
1833,1.1815301148576651e-07
1834,1.0454674459481339e-07
1835,8.773182003096736e-08
1836,1.0551577389605882e-07
1837,8.55820559975129e-08
1838,1.0162580466044346e-07
1839,6.082583414723786e-08
1840,7.579929639511818e-08
1841,5.264849622932388e-08
1842,1.274570404774522e-07
1843,6.970154808882967e-08
1844,9.824524416224278e-08
1845,6.640470928687137e-08
1846,7.435216375917264e-08
1847,4.96176593145492e-08
1848,1.1665571569841049e-07
1849,4.022119171054328e-08
1850,6.653215933738466e-08
1851,3.353708066811123e-08
1852,8.528814676722618e-08
1853,9.614810592140088e-08
1854,6.182840506241405e-08
1855,7.482781327894372e-08
1856,7.610468344410037e-08
1857,1.0299984248840488e-07
1858,9.64054152063909e-08
1859,1.4207164111823545e-07
1860,1.281611484438283e-07
1861,1.5326882368826844e-07
1862,1.454791560551172e-07
1863,1.268633713635836e-07
1864,1.81240720542597e-07
1865,9.131277778351432e-08
1866,1.372102904628747e-07
1867,1.1209994887906305e-07
1868,1.0670128280931834e-07
1869,1.3527348730058009e-07
1870,1.1468097627087559e-07
1871,5.3105885911008954e-08
1872,2.08028467341137e-07
1873,2.1489756141246374e-07
1874,2.491412094407508e-07
1875,1.8709393145854847e-07
1876,1.5780098294726486e-07
1877,1.7441181399124872e-07
1878,1.6305539402017288e-07
1879,1.3562701894898055e-07
1880,1.83550397991894e-07
1881,1.052848617177915e-07
1882,1.4242523604934831e-07
1883,1.636708781838081e-07
1884,1.082678284802796e-07
1885,1.2955727868302347e-07
1886,1.4842966322703433e-07
1887,1.2274378025090016e-07
1888,1.0208389666921391e-07
1889,1.3657998465532728e-07
1890,1.343649185248097e-07
1891,1.485193219519232e-07
1892,1.2348968714270825e-07
1893,1.2070496779870155e-07
1894,1.3296248368988017e-07
1895,1.1916856834659484e-07
1896,1.3563166589847242e-07
1897,1.6256530777081224e-07
1898,1.3240549856519124e-07
1899,1.077877822552864e-07
1900,1.1991332071747962e-07
1901,1.626322970738059e-07
1902,1.5025467947626936e-07
1903,1.663267807927582e-07
1904,1.1017981904615226e-07
1905,1.790783447086497e-07
1906,1.6770042038372068e-07
1907,1.8205666013626498e-07
1908,1.640403983760308e-07
1909,2.1563855057138426e-07
1910,2.1697252350350027e-07
1911,1.542908536489307e-07
1912,2.1410720663084248e-07
1913,1.8030165371829554e-07
1914,1.299168295720854e-07
1915,1.4843760343108414e-07
1916,1.6481193343409473e-07
1917,2.1055535204261844e-07
1918,1.608092752292123e-07
1919,2.7439388960992517e-07
1920,1.923346890642108e-07
1921,1.8401776380461143e-07
1922,1.5493664040633348e-07
1923,1.5817762744063657e-07
1924,1.6630195520672686e-07
1925,2.4415955390821864e-07
1926,1.3263904463656218e-07
1927,1.9734128064996526e-07
1928,1.7938884322443727e-07
1929,1.8047458638648095e-07
1930,1.4179864449292978e-07
1931,1.710803489984869e-07
1932,1.260346744746954e-07
1933,1.4682447613267868e-07
1934,1.1382500986201194e-07
1935,1.1968284230334802e-07
1936,1.2730950649242345e-07
1937,1.233929558530633e-07
1938,1.1668692923016977e-07
1939,1.4223466848761745e-07
1940,1.141102288215734e-07
1941,1.3576911328527785e-07
1942,1.8812113466992741e-07
1943,1.1032293656398906e-07
1944,1.9279116258985596e-07
1945,1.1328221205531008e-07
1946,1.8375857280261698e-07
1947,1.3947419108539805e-07
1948,1.2937546500779717e-07
1949,2.1401078320604228e-07
1950,9.571825221321717e-08
1951,9.701875569589902e-08
1952,8.646739502182754e-08
1953,9.373229659104254e-08
1954,1.1433867186383395e-07
1955,9.104039833118804e-08
1956,1.0727003996180429e-07
1957,7.686482988988885e-08
1958,1.025758177286562e-07
1959,7.905762799964577e-08
1960,1.1765416779718763e-07
1961,1.2367723911665962e-07
1962,1.0971584885055563e-07
1963,1.0345685419466122e-07
1964,1.1620379325449903e-07
1965,1.2804581928094194e-07
1966,1.229674573277606e-07
1967,1.074813127388552e-07
1968,1.356407632879808e-07
1969,1.0900218450071719e-07
1970,1.2370570279252036e-07
1971,1.0276794970565106e-07
1972,1.6313866524342302e-07
1973,1.8469233253881612e-07
1974,1.7776806737757056e-07
1975,1.6563292204452296e-07
1976,1.4626629285530157e-07
1977,1.5162097399823438e-07
1978,1.9841575338297446e-07
1979,1.5683288268064643e-07
1980,2.1660424043279392e-07
1981,2.2076167560669546e-07
1982,1.620158156523388e-07
1983,1.5725136748301338e-07
1984,1.8034916959841496e-07
1985,1.7384963058031389e-07
1986,1.8642849863859112e-07
1987,1.7049179135142367e-07
1988,2.326662946749991e-07
1989,1.5696029720402294e-07
1990,2.332022634998765e-07
1991,2.0046210735813474e-07
1992,2.6282432941115985e-07
1993,2.9523976385892325e-07
1994,2.12052043480071e-07
1995,1.9629272163257383e-07
1996,2.2900414808901814e-07
1997,2.737884737813445e-07
1998,2.961008154223066e-07
1999,3.002622293024615e-07
2000,2.5845485251974054e-07
2001,2.300136127675323e-07
2002,2.7251198425615186e-07
2003,2.4334829779038003e-07
2004,2.290491494250091e-07
2005,2.3194310416752018e-07
2006,2.384258197540845e-07
2007,2.484566219429496e-07
2008,2.8311973598871276e-07
2009,2.5462148589561195e-07
2010,3.079913173387183e-07
2011,3.399511001589417e-07
2012,2.862976671569317e-07
2013,3.056880962803987e-07
2014,2.847560542085237e-07
2015,2.8017514086542405e-07
2016,2.3551136218991076e-07
2017,2.1986443360377805e-07
2018,2.2691092693705173e-07
2019,1.9336486900556338e-07
