year,plusieurs_DET archers_NOUN,plusieurs_DET marchés_NOUN
1800,6.288328968651058e-09,5.345079756580162e-08
1801,0.0,1.262026785298076e-07
1802,0.0,9.398928568771225e-08
1803,1.950339223455444e-09,3.510610468993036e-08
1804,9.887403784603066e-09,2.9662210465630778e-08
1805,8.528632911009026e-09,2.842877711017877e-09
1806,6.051504897186533e-08,1.556101381083863e-07
1807,2.8469550272802735e-08,5.693910054560547e-08
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,1.581321384946932e-08,4.518061036407062e-09
1810,3.2761775514700275e-08,2.8081521108447305e-08
1811,2.5070767684098882e-09,5.0141537144554604e-08
1812,4.000812436899537e-08,3.200649700829672e-08
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,6.293354282149721e-09,5.349351184236184e-08
1815,5.394447111228828e-09,4.045835311217161e-08
1816,4.6352077731626196e-09,1.274682119856152e-07
1817,9.341240669868967e-09,2.80237220096069e-08
1818,1.9073883805731384e-08,4.6492591998514854e-08
1819,2.2772310259711048e-08,4.243930362690662e-08
1820,5.6959108540866055e-08,3.20394981656591e-08
1821,1.4792232216898071e-08,2.465372084259343e-08
1822,1.2030739071633434e-08,7.619468078701175e-08
1823,3.8542477320824275e-08,7.016707892493201e-08
1824,2.6947560627377243e-08,6.063201229977722e-08
1825,4.931047992151605e-08,2.113306396545056e-08
1826,1.4092774947016551e-08,3.435113749006291e-08
1827,5.530363722527909e-09,5.1616730445402936e-08
1828,2.0179062865111064e-08,2.2930752852090563e-08
1829,2.4862211178700022e-08,5.1439056569790864e-08
1830,1.3567886814058738e-08,4.905312778191728e-08
1831,3.741889287312006e-08,1.4032085715598441e-08
1832,5.411987746839486e-09,7.035584026482411e-08
1833,9.266902800675325e-09,6.95017737806225e-08
1834,2.8937045648547155e-08,5.0406466556296436e-08
1835,4.0084366048631637e-08,3.100866052818674e-08
1836,3.4947900573456536e-08,6.183089862332736e-08
1837,4.6617869564613557e-08,5.705470584871364e-08
1838,2.903594542580379e-08,3.724175390296125e-08
1839,3.216078514611809e-08,5.453350482298447e-08
1840,1.2739377552861697e-08,6.369688509977323e-08
1841,3.14606891649305e-08,4.943822418113086e-08
1842,2.3478928135034494e-08,6.775347838328116e-08
1843,1.6539351221922516e-08,4.84366691200222e-08
1844,1.3721403568922597e-08,4.720162705140751e-08
1845,7.812319346989227e-09,5.133809788393506e-08
1846,1.9905304959877412e-08,4.8006910446929396e-08
1847,2.1572894581822766e-08,7.2269194184571e-08
1848,1.126331028444838e-08,4.585776469667735e-08
1849,5.865590457787562e-09,3.854530916669319e-08
1850,2.3761486112050534e-08,4.61651739058766e-08
1851,1.80584280862206e-08,6.126966511921239e-08
1852,1.3672145415810633e-08,6.315229006403911e-08
1853,2.329053483407506e-08,5.3150191803297275e-08
1854,2.9615287389095357e-08,6.338710845099627e-08
1855,1.8574279891936385e-08,3.980202833986368e-08
1856,1.6049286344355096e-08,3.7793483009807005e-08
1857,3.954022465002538e-08,2.7336449992532152e-08
1858,1.1255455234504552e-08,3.0830157982109085e-08
1859,2.851617142418661e-08,4.022816901816384e-08
1860,2.1512764902809067e-08,4.577183884690861e-08
1861,8.488735048217677e-09,6.130752816524421e-08
1862,1.9427341513278407e-08,3.975828066771214e-08
1863,8.490855463172409e-09,3.49623441309177e-08
1864,1.0068929134909865e-08,3.931677028390368e-08
1865,3.435996376310868e-08,3.859612285328495e-08
1866,1.7516206540779677e-08,1.6543083347642096e-08
1867,1.7955402498159856e-08,5.095452237924292e-08
1868,9.385760613156435e-09,2.5687345583946808e-08
1869,5.371871281134588e-09,3.4184633235234685e-08
1870,6.880858549607183e-09,4.18585548445094e-08
1871,2.6552943177549082e-08,3.186353136896969e-08
1872,3.0236697590169115e-09,3.9912441018863376e-08
1873,7.183205197325293e-09,4.4895035244962855e-08
1874,2.4495896866483235e-08,4.899179328887726e-08
1875,2.2313955128083762e-08,2.460256709468922e-08
1876,9.673623679873344e-09,3.506688472931785e-08
1877,2.040989244278535e-08,6.865145962819952e-08
1878,1.7513356986853523e-08,2.0532901601200138e-08
1879,1.9549840413191077e-08,4.765273842188833e-08
1880,1.5402831232691483e-08,4.8133845131914654e-08
1881,1.045876096839038e-08,2.928453102235551e-08
1882,3.3276925659464496e-09,2.5290463057103807e-08
1883,1.2006744043446815e-08,3.665216508075275e-08
1884,6.601696966868076e-09,4.291103117282091e-08
1885,1.7403215979427955e-08,6.38117918505543e-08
1886,2.0005737511041843e-08,5.549978965291302e-08
1887,1.50165264667379e-08,4.831404387672933e-08
1888,6.974675947901687e-09,7.989174344302796e-08
1889,5.012109283164534e-09,4.510898587994916e-08
1890,5.898947996740844e-09,9.11059725439145e-08
1891,8.92390783491237e-09,7.45783754751983e-08
1892,1.3790726782758611e-08,4.8894396975640575e-08
1893,4.310891532632866e-09,6.343168923450548e-08
1894,6.301539290376468e-09,3.906954404442331e-08
1895,1.2037228991346183e-09,5.777869915846168e-08
1896,1.0614652157237003e-08,3.3023363599227196e-08
1897,8.740070223112184e-09,5.535377756160642e-08
1898,7.355861253444118e-09,6.167606869666997e-08
1899,1.6029977345510815e-08,4.256235186517188e-08
1900,6.22926377147337e-09,6.748368708286989e-08
1901,8.38310842965484e-09,3.968004613774667e-08
1902,3.437198747846537e-09,3.093478850857423e-08
1903,6.480264325148255e-09,8.154332586940427e-08
1904,2.6873125946735854e-09,3.439760121182189e-08
1905,7.741138674521864e-09,5.0575438503841497e-08
1906,5.658602808544799e-09,5.349951859301427e-08
1907,2.5714216866923323e-09,4.011417997773492e-08
1908,3.437972351250096e-09,5.206072550834051e-08
1909,1.4852655716435237e-08,6.271121399947788e-08
1910,1.2825961848150769e-08,5.664799807014731e-08
1911,1.0108710868372839e-08,8.40619098774198e-08
1912,6.7722475405318505e-09,6.042928646365908e-08
1913,6.3635876568213234e-09,5.2499598890420884e-08
1914,6.696743715117748e-10,4.5537857262800685e-08
1915,1.1780761921542648e-09,4.947920118070215e-08
1916,2.197492410260793e-09,6.152978926365904e-08
1917,7.676497326691845e-09,6.908847183240141e-08
1918,0.0,5.628324206696789e-08
1919,8.287063701928332e-09,3.130668307926854e-08
1920,1.514446346106979e-09,4.0132827727745735e-08
1921,3.0290989716519334e-09,2.120369263503008e-08
1922,5.902348387820666e-09,4.3529817694842876e-08
1923,4.246379248229459e-09,3.8217411901797504e-08
1924,2.578324886925998e-09,5.6723148622594977e-08
1925,5.499089184013428e-09,3.2994533549768335e-08
1926,1.0031524944054127e-08,3.232380052509143e-08
1927,1.2264147142282411e-08,3.34476758512281e-08
1928,3.4278122562625413e-09,4.913197837463912e-08
1929,6.684243603061191e-09,4.567566480595531e-08
1930,3.1510811737689437e-09,3.9913694793725085e-08
1931,0.0,6.044839029328841e-08
1932,3.2878609834696704e-09,6.027745080849911e-08
1933,1.1470662197865522e-09,4.244144902187941e-08
1934,4.7926320689839486e-09,4.912447870708547e-08
1935,3.590485242455088e-09,6.702239030431656e-08
1936,3.6374143697059935e-09,5.577368522580173e-08
1937,0.0,3.5255132035949543e-08
1938,0.0,6.352954784460962e-08
1939,9.176430282309411e-09,5.6587985852729616e-08
