year,vos_DET ondes_NOUN,vos_DET mondes_NOUN
1905,2.37394921498435e-08,5.160759042333041e-10
1906,8.230695236477459e-09,0.0
1907,6.1714118260169926e-09,1.028568674676933e-09
1908,1.5225306349009315e-08,9.822778146428846e-10
1909,8.801573692096554e-09,3.300590190047359e-09
1910,2.2445432179551972e-08,5.344150677544235e-10
1911,7.980561100850991e-09,4.25629931299909e-09
1912,1.40654377034366e-08,1.5628263128064646e-09
1913,1.2196876397752021e-08,5.30298971401777e-10
1914,2.0090231700464756e-09,6.696743715117748e-10
1915,1.767114277129167e-08,0.0
1916,2.197492410260793e-09,0.0
1917,5.483212106582869e-09,2.1932848870420685e-09
1918,1.2635013924011673e-08,0.0
1919,1.012863304339362e-08,0.0
1920,5.300562211374427e-09,3.028892692213958e-09
1921,6.815472630705699e-09,6.8154727417280014e-09
1922,2.5822775029382683e-08,1.4755870969551665e-09
1923,1.3800733000834953e-08,1.0615948120573648e-09
1924,1.8048273875415077e-08,3.867487219366694e-09
1925,7.698724324711748e-09,0.0
1926,8.916910765321973e-09,2.229227691330493e-09
1927,2.7873062080630007e-08,1.1149224876660924e-09
1928,9.140832868403947e-09,0.0
1929,1.5596569369336066e-08,3.342121912552898e-09
1930,8.402882833991043e-09,2.100720708497761e-09
1931,5.7026783295555106e-09,1.1405356659111021e-09
1932,8.767629289252454e-09,4.38381475564853e-09
1933,1.3764795081527836e-08,1.1470662197865522e-09
1934,5.990790086229936e-09,0.0
1935,1.0771455727365264e-08,0.0
1936,9.699771652549316e-09,2.424942913137329e-09
1937,3.777335333410292e-09,1.2591118148108649e-09
1938,1.0372171566075394e-08,1.2965214457594243e-09
1939,1.3764645423464117e-08,0.0
1940,2.5357829169792012e-09,0.0
1941,5.9030051957620344e-09,0.0
1942,3.034211770724937e-09,0.0
1943,5.806470415592457e-09,8.709705845433291e-09
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,4.357008087652048e-09,4.357008087652048e-09
1946,2.7842208538686464e-09,4.1763312808029696e-09
1947,3.5762612871081956e-09,0.0
1948,1.195907639583993e-08,2.174377566888097e-09
1949,6.871905600114303e-09,4.908504047662632e-09
1950,9.571825110299415e-09,4.2541445921528975e-09
1951,6.396840945832594e-09,1.0661401761424827e-09
1952,9.490323193972472e-09,6.326882129314981e-09
1953,1.0773827385790469e-09,1.0773827385790469e-09
1954,4.886268278880834e-09,3.9090144454689835e-09
1955,9.385607846468247e-10,1.8771215692936494e-09
1956,6.104799110673298e-09,0.0
1957,8.835037701437898e-10,7.951533931294108e-09
1958,1.4062814024384807e-08,3.3088973783179654e-09
1959,4.650448914844674e-09,0.0
1960,1.2457499920515147e-08,5.536666680683311e-09
1961,5.55852741612739e-09,4.168895617606694e-09
1962,8.244543714397423e-09,5.07356523460345e-09
1963,8.405868889838075e-09,5.172842487688456e-09
1964,8.517555549758526e-09,4.258777774879263e-09
1965,1.3132904541635071e-08,3.830430195250756e-09
1966,1.1632057428379028e-08,4.985167390003653e-09
1967,3.944268467392931e-09,1.9721342336964653e-09
1968,1.527081389118834e-08,5.838840522187638e-09
1969,7.72098829315837e-09,1.8167030935156703e-09
1970,9.197450273612517e-09,9.197450023812337e-10
1971,1.1818313772060662e-08,3.083038491169532e-09
1972,5.643161493651405e-09,3.0780880067027283e-09
1973,7.718485517393958e-09,4.9618833486420044e-09
1974,6.1881286761433785e-09,2.2502286700643026e-09
1975,5.711480177694739e-09,6.282628195464213e-09
1976,1.1427053969725876e-08,5.713526984862938e-09
1977,5.876781838942691e-10,1.1753563677885381e-09
1978,5.346532216954358e-09,3.5643548113029055e-09
1979,1.1118749476679568e-08,1.7555920051037788e-09
1980,4.548120546843393e-09,7.95921106799824e-09
1981,4.427884725544118e-09,2.5302198114474095e-09
1982,1.6760255405756652e-08,2.483000915987077e-09
1983,4.4207211225000265e-09,2.5261264191556165e-09
1984,2.8995041922996734e-09,2.8995041922996734e-09
1985,6.015557829641693e-09,2.4062232206745193e-09
1986,8.991728306373403e-09,1.7983456945813714e-09
1987,9.166225112267057e-09,1.2221633705067347e-09
1988,2.398621523624911e-09,2.398621523624911e-09
1989,4.390497743145261e-09,7.683371272548811e-09
1990,5.993515905799995e-09,5.44865097484859e-10
1991,9.37834432335194e-09,5.2753188484189195e-09
1992,1.1570883029499157e-08,6.060938528840154e-09
1993,4.985286850001103e-09,6.64704896680135e-09
1994,6.85740436656701e-09,2.1099706426497278e-09
1995,1.084490158786977e-08,1.0844901643380922e-09
1996,2.135236876199542e-09,6.4057106285986265e-09
1997,3.835915585170824e-09,9.58978896292706e-10
1998,6.6753808036779105e-09,4.291316191284977e-09
1999,6.398281460207045e-09,4.570201023179621e-09
2000,6.185243983658495e-09,2.6508187866980393e-09
2001,5.695575122643959e-09,4.8193330159929104e-09
2002,3.943099347036849e-09,4.3812213301741565e-09
2003,5.833692029444393e-09,3.333538389771462e-09
2004,3.0833537945085254e-09,3.9643119897903034e-09
2005,6.7556242822064405e-09,5.404499625605297e-09
2006,2.0589450144825605e-09,3.706100981659688e-09
2007,4.7933754743212376e-09,4.393927360846206e-09
2008,5.5346714711301814e-09,4.257439817356712e-09
2009,5.721831008997924e-09,8.105927040702454e-09
2010,1.0864724231396394e-08,1.0392344984566648e-08
2011,1.1471915833949353e-08,1.0707121411712706e-08
2012,1.974466595777713e-08,6.808505315092361e-09
2013,9.204112638716566e-09,7.530637446961919e-09
2014,2.0138640005606945e-08,1.0610681222544827e-08
2015,1.8840890292359802e-08,1.0639562300629457e-08
2016,2.6720287094050832e-08,8.69962796246071e-09
2017,1.1320251097624023e-08,9.559323388419472e-09
2018,3.175203966421236e-08,1.0067720546125258e-08
2019,2.3469087173655367e-08,1.8877308605169674e-08
