year,des_DET effets_NOUN,des_DET méfaits_NOUN
1800,1.2447747252508634e-05,2.829747991484055e-08
1801,1.1865432838931156e-05,4.7623651688866175e-09
1802,1.1932163317851519e-05,1.1189200677108602e-08
1803,1.2493872986851784e-05,1.950339223455444e-09
1804,1.5243904840644973e-05,0.0
1805,1.4438975711072999e-05,8.528632911009026e-09
1806,1.3471803242737224e-05,2.305335300434308e-08
1807,1.4098121482675197e-05,1.9928686256776018e-08
1808,1.294834680720669e-05,2.2660739951163578e-09
1809,1.2060963570093008e-05,2.259030518203531e-09
1810,1.1405777456729993e-05,0.0
1811,1.1700527579705522e-05,2.5070767684098882e-09
1812,1.3650772075379791e-05,3.7340914360584065e-08
1813,1.4772684551189741e-05,0.0
1814,1.0428087932723429e-05,6.293354282149721e-09
1815,1.4341137273277127e-05,2.6972236000233352e-08
1816,1.2494202337620663e-05,3.244645441213834e-08
1817,1.1267092418165703e-05,6.22749374290521e-09
1818,1.0819660758443206e-05,3.5763532135746345e-09
1819,9.967025931700846e-06,3.2088255608186955e-08
1820,1.0881563127895788e-05,9.493184904840746e-09
1821,1.0863415070616611e-05,1.1833785507064931e-08
1822,9.627598842598672e-06,3.709477880420309e-08
1823,9.691950651813386e-06,9.882686669016039e-09
1824,1.1155448021327175e-05,1.6842225392110777e-08
1825,9.475536842273868e-06,2.0252519661312363e-08
1826,1.072812511893062e-05,3.3470339388941284e-08
1827,1.1065336252613633e-05,3.96342727526644e-08
1828,1.0351859060619972e-05,2.7516904310687096e-08
1829,1.025523317821353e-05,6.429882210001736e-08
1830,1.0960765422396435e-05,2.922314124020886e-08
1831,9.948748811439145e-06,3.897801548191637e-08
1832,1.1131105424055932e-05,5.817886972181441e-08
1833,1.0109032217542335e-05,5.21263281427764e-08
1834,1.055735464206009e-05,2.9870498963191494e-08
1835,1.0303950830348185e-05,3.403389570166837e-08
1836,9.345203380917155e-06,8.535352824523557e-08
1837,1.003258273613028e-05,5.775049416456568e-08
1838,8.909616553864907e-06,8.647661520200245e-08
1839,9.865670961062278e-06,4.61437359433603e-08
1840,9.562813147567795e-06,5.541629088945399e-08
1841,1.060738793512428e-05,5.585877360658742e-08
1842,1.0002694068589335e-05,9.32448815937903e-08
1843,9.62590192443713e-06,5.61156552891795e-08
1844,9.966129312033445e-06,5.817874892954933e-08
1845,9.096329648627943e-06,6.19405288171393e-08
1846,9.319780218675078e-06,7.727941664370519e-08
1847,9.994182534001084e-06,1.0948243733821528e-07
1848,9.42336791354137e-06,1.0700144670305889e-07
1849,9.399189934811147e-06,5.1952373070207614e-08
1850,9.50527348209107e-06,8.350465208195601e-08
1851,1.023525899768174e-05,6.642922145694286e-08
1852,9.050309188296524e-06,1.0156450813703088e-07
1853,9.40937547966314e-06,7.285756664643372e-08
1854,9.28153474433202e-06,8.884586205626377e-08
1855,9.54081181703259e-06,8.650307137259006e-08
1856,9.77867469487137e-06,1.0509694392535351e-07
1857,8.7735360239094e-06,1.0544059514394633e-07
1858,9.187876486294044e-06,9.493731312204545e-08
1859,9.527965914912784e-06,1.0540799144642676e-07
1860,8.441700344974379e-06,1.1351416029370398e-07
1861,8.998058831366507e-06,1.2025707629703675e-07
1862,8.203307629628398e-06,1.1566044877397985e-07
1863,8.424926164707358e-06,1.113800467966719e-07
1864,9.254783520873389e-06,1.3521132302685146e-07
1865,8.018580274438136e-06,9.790236377149597e-08
1866,8.315332252095686e-06,1.1336878336098977e-07
1867,9.148520263124738e-06,9.171813708519494e-08
1868,9.340807793023487e-06,1.2250887948539457e-07
1869,8.323958525124908e-06,1.3771524498551457e-07
1870,8.474350522647e-06,1.1296076340983063e-07
1871,7.850112041296597e-06,1.0621177182201791e-07
1872,8.293925532143476e-06,9.675743040116203e-08
1873,8.74555271934696e-06,1.2031868834583292e-07
1874,8.463034134820191e-06,1.1530995891462226e-07
1875,9.084641106937852e-06,9.783811333319292e-08
1876,8.182072065210377e-06,7.557518522105511e-08
1877,7.759470292967308e-06,1.1812998290672283e-07
1878,7.785592941900177e-06,1.3044431401709744e-07
1879,8.265917273320156e-06,1.2340836663682353e-07
1880,7.70719151432786e-06,8.984984845028521e-08
1881,7.630712076434065e-06,1.3038588519975747e-07
1882,7.5458757606838844e-06,1.0249292770048157e-07
1883,7.482097146294109e-06,1.251229084786587e-07
1884,7.582708917652781e-06,8.648222760143653e-08
1885,7.012851796162067e-06,1.121540622595063e-07
1886,7.1388218714218965e-06,1.219704677257738e-07
1887,7.911097640089793e-06,1.325371670191089e-07
1888,7.175673488291068e-06,1.0905856995258034e-07
1889,7.404138642641556e-06,1.184110858254428e-07
1890,7.287166909009102e-06,1.2715510122607299e-07
1891,7.753601380500186e-06,1.4915674739768292e-07
1892,6.775008216663991e-06,1.410415213509708e-07
1893,7.57115732596958e-06,1.3363764150842172e-07
1894,7.212741820694646e-06,1.2035940444299342e-07
1895,7.186827730265577e-06,1.0652947923794898e-07
1896,7.209117910633722e-06,1.539124512284218e-07
1897,6.765979648548637e-06,1.5440791556464717e-07
1898,6.8228444405349364e-06,1.4372221812664066e-07
1899,6.717665883115842e-06,1.442698032150247e-07
1900,6.927979313786636e-06,1.4067753351110213e-07
1901,6.368368048015327e-06,1.8778163035637618e-07
1902,6.509563149847963e-06,1.2668532467507987e-07
1903,6.2615553844125316e-06,1.468859958109192e-07
1904,6.4468628409031226e-06,1.4027771566560432e-07
1905,6.211489591123609e-06,1.6875682673500592e-07
1906,6.074767298969164e-06,1.4660926561660403e-07
1907,6.047469454983911e-06,1.9439947562815973e-07
1908,6.097980602248754e-06,1.4783280932739729e-07
1909,6.134146971703558e-06,1.7438118016244175e-07
1910,6.297547017197758e-06,1.7956346076708485e-07
1911,6.175890149506813e-06,1.473743598268129e-07
1912,6.155452346945367e-06,1.2919364134056366e-07
1913,6.436238479068379e-06,1.4265041725636252e-07
