year,vingt - trois mois
1800,1.3779073881892145e-08
1801,2.614982896886886e-08
1802,1.2317521225213568e-08
1803,2.999998116592906e-08
1804,2.7184054118833956e-08
1805,3.7466822533360755e-08
1806,0.0
1807,2.4919588170746465e-08
1808,3.237192558458446e-08
1809,7.412877423007558e-09
1810,7.692871228925924e-09
1811,8.277909913090298e-09
1812,2.336733473384811e-08
1813,9.755903107588892e-08
1814,6.878757563555382e-09
1815,2.0694923108521834e-08
1816,5.0662816164503965e-09
1817,4.606533821061021e-08
1818,5.864952967726822e-08
1819,1.243669967010419e-08
1820,3.237181545046042e-08
1821,1.9440578924445617e-08
1822,2.9604859008713902e-08
1823,5.1820186475204366e-08
1824,6.063775259690374e-08
1825,2.4987832247802544e-08
1826,1.2493768686283602e-08
1827,2.6157701782381082e-08
1828,3.1071635930857155e-08
1829,1.498479029748978e-08
1830,2.6252017448769038e-08
1831,3.080606703065314e-08
1832,2.6687290599625157e-08
1833,5.1962496083746146e-08
1834,2.8640482430120073e-08
1835,5.4777395064320444e-08
1836,2.5702213191092227e-08
1837,2.505026031052182e-08
1838,2.8905421167735312e-08
1839,2.3691994144314776e-08
1840,2.8530010354188562e-08
1841,3.4396972381500746e-08
1842,2.127210407820712e-08
1843,4.2597576133118764e-08
1844,5.3855764292620734e-08
1845,1.4640971102153344e-08
1846,2.8829720444267792e-08
1847,2.591863890177848e-08
1848,2.114163955013737e-08
1849,4.5871058063085e-09
1850,3.1206279782480806e-08
1851,2.682256033947894e-08
1852,2.710742263989374e-08
1853,2.7455576478985222e-08
1854,2.614264649203335e-08
1855,3.9560958509099464e-08
1856,4.366777872633065e-08
1857,2.4608607374076996e-08
1858,4.985718782268833e-08
1859,2.8986153921550795e-08
1860,3.863846331775278e-08
1861,2.1688144613563054e-08
1862,2.6240751793693562e-08
1863,3.9474815749507286e-08
1864,8.924217476113938e-09
1865,1.9606501200364335e-08
1866,2.402687826474903e-08
1867,2.1293327656657368e-08
1868,4.5443254270693956e-08
1869,1.660766812960901e-08
1870,1.3823234445986543e-08
1871,1.0498433233863125e-08
1872,9.950267276792601e-09
1873,3.149003902080949e-08
1874,2.884272154446421e-08
1875,2.4519184682603168e-08
1876,2.390699294085863e-08
1877,1.7699656074121606e-08
1878,2.7916717826315107e-08
1879,2.6210064008047596e-08
1880,2.402774296195176e-08
1881,1.6905663313693253e-08
1882,2.56467169168495e-08
1883,2.368647189499029e-08
1884,2.7644400935056268e-08
1885,2.4857293112745538e-08
1886,1.8489803021992657e-08
1887,1.368498592224654e-08
1888,2.5859371532988007e-08
1889,2.6273435316248595e-08
1890,2.674720533946129e-08
1891,3.02169902433036e-08
1892,3.873625553652005e-08
1893,3.600259135261297e-08
1894,1.809290495202731e-08
1895,1.5940698427918676e-08
1896,3.577394735998496e-08
1897,2.7699918803136825e-08
1898,2.6843148148714135e-08
1899,3.78225445407665e-08
1900,3.3842425750663097e-08
1901,4.255468888381131e-08
1902,2.4872901960293348e-08
1903,2.4440067858400027e-08
1904,5.81652221942619e-08
1905,2.5070741982435862e-08
1906,3.575663853894184e-08
1907,3.2397030058639587e-08
1908,2.4954375676955465e-08
1909,2.244444119448019e-08
1910,4.777670215005969e-08
