year,des_DET amants_NOUN,des_DET mamans_NOUN
1800,8.489244329723533e-08,1.2576657937302116e-08
1801,1.9049460520115247e-07,4.7623651688866175e-09
1802,7.608656460433849e-08,6.713520406265161e-09
1803,9.751695984050457e-08,1.1702034896643454e-08
1804,4.449331569844617e-08,7.4155526164076946e-09
1805,9.097208630848286e-08,5.685755422035754e-09
1806,1.06621760309622e-07,2.881669125542885e-09
1807,6.832692145408714e-08,0.0
1808,9.970725800556579e-08,1.3596443970698147e-08
1809,7.228897747069141e-08,2.259030518203531e-09
1810,3.252776288320547e-07,1.6380887313260928e-08
1811,1.2033968843638831e-07,0.0
1812,2.2404549326893175e-07,2.6672082320544632e-09
1813,2.214321075388881e-07,5.751483289628823e-09
1814,1.32160433263806e-07,6.293354282149721e-09
1815,8.361393355471591e-08,2.4275012222574333e-08
1816,1.6686747628114063e-07,4.6352077731626196e-09
1817,2.1796227489545572e-07,4.670620223912181e-09
1818,2.527289577614056e-07,8.34482416500748e-09
1819,1.2835302509728308e-07,7.24573512300708e-09
1820,2.456361549718622e-07,1.6613074471649725e-08
1821,2.771078122520976e-07,5.9168929755770705e-09
1822,1.804610860745015e-07,4.010246357211145e-09
1823,2.7770349930733573e-07,3.9530747564242574e-09
1824,2.517912642829856e-07,5.052667617633233e-09
1825,2.844158064618796e-07,4.402721520690989e-09
1826,2.2019960255192927e-07,0.0
1827,1.3180700486614683e-07,3.6869092223668076e-09
1828,1.4400512299284074e-07,4.586150570418113e-09
1829,2.434782029325788e-07,1.371708191477694e-08
1830,1.5550885379411739e-07,8.349468672008697e-09
1831,1.3564349443662138e-07,3.274153215215847e-08
1832,1.9347856250462314e-07,5.411987746839486e-09
1833,1.9692167896323554e-07,9.266902800675325e-09
1834,1.185485452026569e-07,6.534171426153534e-09
1835,1.701694856137692e-07,7.563087933704082e-09
1836,1.8683685354403679e-07,4.032449929525228e-09
1837,2.713577504920295e-07,6.262101948095733e-09
1838,2.5122403934929594e-07,4.418513332993257e-09
1839,2.8105730276450913e-07,5.593180252283503e-09
1840,2.458699781549001e-07,3.184844277193122e-09
1841,2.1444632336553582e-07,8.988767952189392e-09
1842,2.7168472715999314e-07,2.683306021822318e-09
1843,2.2328123483461582e-07,6.4976020675011625e-09
1844,2.305195767604573e-07,1.6465684371524958e-09
1845,3.119347544711104e-07,8.928364547688972e-09
1846,2.698925105626415e-07,3.5127007969038004e-09
1847,1.8336960572185035e-07,3.775256551818984e-09
1848,1.9228079878308435e-07,8.04522137798358e-09
1849,1.6423652970942726e-07,4.189707469848258e-09
1850,1.9280749263828056e-07,0.0
1851,2.3346968114346112e-07,3.2247193804124663e-09
1852,2.64979205022442e-07,7.812654745364966e-09
1853,3.1113763743206846e-07,5.971931837933653e-09
1854,2.8628112547224305e-07,1.558699391779328e-09
1855,4.4153717482231514e-07,1.1675261646360013e-08
1856,2.1122931470607398e-07,3.6240324075009767e-09
1857,3.6269611158878945e-07,7.810414315301273e-09
1858,3.5528088249137113e-07,9.297984493450429e-09
1859,3.1673317102409726e-07,4.582956014687056e-09
1860,2.9431291315162866e-07,4.577183992937606e-09
1861,2.607928000220028e-07,1.4147891413962554e-08
1862,3.081266526372417e-07,7.68057684119583e-09
1863,3.7309816774966365e-07,5.993545049154392e-09
1864,2.128859244443504e-07,8.151037400594419e-09
1865,2.83822727598082e-07,5.177528628053096e-09
1866,3.0750674095969543e-07,8.27154178484335e-09
1867,2.440964141925406e-07,1.164674756637396e-08
1868,2.4798168629658335e-07,6.915823802522425e-09
1869,3.066850124966436e-07,1.172044605812772e-08
1870,3.2741417754778013e-07,8.601073187008978e-09
1871,1.5294495891993165e-07,1.8056001360733376e-08
1872,2.4491724193165254e-07,6.65207322558814e-09
1873,2.0831296021484036e-07,1.077480804578812e-08
1874,2.604929547622703e-07,6.5720701658555924e-09
1875,3.650334203797456e-07,1.1443054226401017e-08
1876,3.2588020859591893e-07,1.2092029377797076e-08
1877,3.754183182103077e-07,2.0409893108919164e-08
1878,2.463948169939556e-07,9.662541988753048e-09
1879,3.5556273569881114e-07,2.016077305100339e-08
1880,3.452801404790762e-07,6.417846254436199e-09
1881,2.482212748677881e-07,1.3945015031602281e-08
1882,2.6288770005322704e-07,2.9283694580328756e-08
1883,2.8752990921532273e-07,3.286056271534221e-08
1884,2.416221134282637e-07,2.5746619058963915e-08
1885,2.4106677853907854e-07,2.6427106281090573e-08
1886,2.7749895803452773e-07,2.1296431063078103e-08
1887,2.1349583168017716e-07,1.4363634504022116e-08
1888,1.9338874768237702e-07,1.8387783073947617e-08
1889,2.267979564152256e-07,1.3156787215251597e-08
1890,2.4382317231896877e-07,3.146105531648402e-08
1891,2.1927317561676318e-07,1.9122659011827636e-08
1892,2.7079972797494634e-07,1.880553779365357e-08
1893,2.223188335648274e-07,9.853466598208627e-09
1894,2.4008864851765566e-07,2.2055387960406847e-08
1895,2.43152031176308e-07,1.2639090440913492e-08
1896,1.9460196248877182e-07,1.7101384197637515e-08
1897,2.0043894410903818e-07,1.3984112090525969e-08
1898,2.433092634035461e-07,1.867257115595322e-08
