year,ses_DET arbres_NOUN,ses_DET marbres_NOUN
1800,3.8673223556884295e-07,1.351990706055517e-07
1801,3.5003385256970887e-07,3.333655484993869e-08
1802,4.4756802708434407e-07,1.5217312920867698e-07
1803,4.349256506053223e-07,1.2482170808070236e-07
1804,6.550405196037445e-07,1.310080950389647e-07
1805,7.675769744253103e-07,4.5486043376286034e-08
1806,5.24463793283303e-07,1.2679343797117326e-07
1807,3.729511099948013e-07,4.27043254092041e-08
1808,4.6681125454028916e-07,8.112544662708387e-07
1809,8.584316084636612e-07,8.132509776714869e-08
1810,5.124877402451489e-07,8.190443967492911e-08
1811,4.337242813789999e-07,1.6045290962551917e-07
1812,3.81410766081558e-07,8.001624784981232e-08
1813,4.4286420575190277e-07,7.476928409744232e-08
1814,2.7061423679697327e-07,9.125363931161701e-08
1815,4.0997797068342834e-07,2.0229176178609976e-07
1816,2.4103081841531093e-07,1.3905622608945123e-07
1817,2.864646959643835e-07,7.005930058312515e-08
1818,3.3260085530173455e-07,7.629553477883633e-08
1819,2.970751222797219e-07,5.796588098405664e-08
1820,3.773541017437765e-07,6.170570276964327e-08
1821,2.9288620950751465e-07,9.664258726616026e-08
1822,2.90742860897808e-07,9.123310462655354e-08
1823,3.449057599524963e-07,8.202630330522709e-08
1824,3.208443812852124e-07,8.58953468352297e-08
1825,3.8567841187386875e-07,9.950150836601779e-08
1826,2.87140279553455e-07,7.839105720108819e-08
1827,3.7975164879355816e-07,1.3365045958835253e-07
1828,3.210305408174463e-07,4.4027046897099353e-08
1829,3.6521729995797614e-07,1.028781094203346e-07
1830,3.5172137913264123e-07,1.2211097999426102e-07
1831,2.8531907236839515e-07,6.392394680254654e-08
1832,4.0454607797002495e-07,1.204167290325131e-07
1833,5.027294971426954e-07,1.332117278707301e-07
1834,4.387229637359269e-07,1.8855752159652184e-07
1835,3.80423315959888e-07,1.3991712677352552e-07
1836,4.0324499117616597e-07,1.4113574731133838e-07
1837,3.8825030834743757e-07,5.4967337348443834e-08
1838,4.7593700003289996e-07,1.0351945789466299e-07
1839,3.5516693053239123e-07,8.809258966735456e-08
1840,4.121188439398793e-07,1.0637380265521301e-07
1841,4.0642072107743843e-07,1.1878014438693185e-07
1842,4.635411130493594e-07,1.5563175370658655e-07
1843,3.886747617087849e-07,1.1223130785831259e-07
1844,4.034092500049269e-07,6.421616849383582e-08
1845,3.7889749116004623e-07,1.1997489934856276e-07
1846,3.471719356440417e-07,4.5665109471570986e-08
1847,3.4678429283729884e-07,1.1217905182547838e-07
1848,3.7490731941147715e-07,7.160247550430654e-08
1849,4.5919194491261806e-07,5.9493846737979084e-08
1850,4.032663758479771e-07,1.4867901931836514e-07
1851,4.424314994366796e-07,6.320450296470881e-08
1852,2.760471240481621e-07,8.59392006447024e-08
1853,3.642878332321686e-07,1.2421617956448472e-07
1854,4.7436417194290925e-07,1.0287415896925722e-07
1855,6.06052232399179e-07,1.6186157481001828e-07
1856,4.302244303033831e-07,1.0613237733103631e-07
1857,3.6660133950761065e-07,1.1276286310257788e-07
1858,4.3504778446390446e-07,9.93416200412156e-08
1859,4.0737387063671804e-07,7.841946803033295e-08
1860,4.114888465522881e-07,1.1259872412239247e-07
1861,5.008353376467767e-07,9.290448899079706e-08
1862,3.8402883095756124e-07,1.6309930161995112e-07
1863,4.180497512606962e-07,9.639618553380913e-08
1864,4.785138472129802e-07,1.1938872290784275e-07
1865,4.11378201725654e-07,9.696099168010619e-08
1866,3.7562532462231957e-07,1.0120474702723925e-07
1867,4.0666560607860447e-07,1.1258522647494829e-07
1868,3.976598517141383e-07,1.2942470561938535e-07
1869,4.0435538295469087e-07,1.4211040433309563e-07
1870,4.334940779671115e-07,9.862563565832261e-08
1871,3.01641435385136e-07,7.965883241922711e-08
1872,3.5497882366897215e-07,8.103434856465697e-08
1873,3.3282184297434014e-07,8.739566847992819e-08
1874,3.309933376272056e-07,7.050038952627347e-08
1875,4.102335067202034e-07,9.783811627528394e-08
1876,4.963778099664751e-07,1.1547887956986358e-07
1877,4.001575906187327e-07,1.02667943813195e-07
1878,4.323987550236552e-07,1.9204302459385758e-07
1879,3.751125809969835e-07,9.286174673661662e-08
1880,3.6774259726257696e-07,9.305876824683423e-08
1881,3.6814840997934084e-07,7.530308443470801e-08
1882,4.266101898409147e-07,7.187815964648792e-08
1883,4.1897217606390313e-07,1.0932456417922509e-07
1884,4.2184844950554634e-07,7.65796857038481e-08
1885,2.9778838261940166e-07,7.348024411157894e-08
1886,2.884698240279704e-07,9.615661461515046e-08
1887,3.5125613973008285e-07,7.834709869758427e-08
1888,3.804368731152863e-07,8.496423387072127e-08
1889,3.715226082334766e-07,8.583237454118375e-08
1890,3.5655862618000356e-07,9.438316644905242e-08
1891,3.2572265507013753e-07,8.159001652074949e-08
1892,3.397533760995941e-07,4.764069272411575e-08
1893,4.187723168236346e-07,1.1639406993779744e-07
1894,3.925859051179259e-07,9.893416774708896e-08
1895,3.4907964785446666e-07,7.342709551494409e-08
1896,3.9804945561883187e-07,8.78657289149487e-08
1897,3.967991979436647e-07,8.740070156498803e-08
1898,4.0796739986248554e-07,8.487532121570496e-08
1899,4.4220628403479623e-07,8.014988672755408e-08
1900,4.1995620980728177e-07,1.1264585353387702e-07
1901,3.1688150459174835e-07,9.27730678945693e-08
1902,3.957688825551031e-07,6.285163545172168e-08
1903,4.039364784880206e-07,8.802359285908778e-08
1904,3.6439958606138134e-07,9.459340688522389e-08
1905,4.0202311701875715e-07,1.1405277433595984e-07
1906,3.595784887622244e-07,1.1934507959665552e-07
1907,4.6799874198200087e-07,8.588548716659261e-08
