year,nouveaux_ADJ arbres_NOUN,nouveaux_ADJ marbres_NOUN
1800,1.4148740490327327e-07,0.0
1801,4.286128785224719e-08,0.0
1802,6.937304419807333e-08,0.0
1803,1.2677205063482688e-07,0.0
1804,1.0628959046243835e-07,2.4718509461507665e-09
1805,1.7910129201936797e-07,0.0
1806,6.051504897186533e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,5.211970233176544e-08,4.5321479902327155e-09
1809,1.6942729175184468e-07,0.0
1810,3.510190182964834e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,2.400487453257938e-08,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,4.8550024445148665e-08,0.0
1816,6.721051448721482e-08,2.3176038865813098e-09
1817,8.2514293731073e-08,1.556873407970727e-09
1818,5.0068944545955674e-08,1.3113295338484932e-08
1819,5.900098543065724e-08,9.315945348475907e-09
1820,1.779972080839798e-08,1.1866481131050932e-09
1821,1.972297702934611e-08,2.9584463767662328e-09
1822,4.0102463572111446e-08,7.017931125119503e-09
1823,2.668325471688604e-08,9.882686891060644e-10
1824,1.2631669044083083e-08,1.6842225392110777e-09
1825,2.8177417732422327e-08,1.7610886082763955e-09
1826,2.2019960965735663e-08,4.403992281964975e-09
1827,3.041700225026034e-08,5.530363722527909e-09
1828,1.6510142586412258e-08,0.0
1829,5.3153691226270894e-08,9.430493719264632e-09
1830,3.861629238599562e-08,1.1480519646056564e-08
1831,4.8332740476553226e-08,1.7150327380477393e-08
1832,6.22378593106987e-08,4.058990921151917e-09
1833,5.6759780875381693e-08,1.2741991461950875e-08
1834,3.733812548034621e-08,9.334530925997342e-10
1835,5.8235777089521434e-08,9.832014313815307e-09
1836,2.755507466645213e-08,1.1425274948351216e-08
1837,4.453050195252217e-08,6.957891152126194e-09
1838,3.976661844262708e-08,5.049729523420865e-09
1839,1.957613093850341e-08,6.9914749545318955e-09
1840,1.7835128929277744e-08,1.2739377330817092e-09
1841,1.7977535904378783e-08,4.494383976094696e-09
1842,4.092041550052272e-08,4.024959032733477e-09
1843,4.548321541619771e-08,1.063243981747064e-08
1844,2.305195678786731e-08,1.3172547497219966e-08
1845,3.5155437672074186e-08,7.812318791877715e-09
1846,4.6836010625384006e-08,1.7563503984519002e-09
1847,3.5055954583640414e-08,3.235934187273415e-09
1848,2.976732105253177e-08,2.413566457803995e-09
1849,2.6814127807028854e-08,8.379414495607307e-09
1850,4.5486274302675156e-08,4.073397619208663e-09
1851,3.676180071465751e-08,3.8696632564949596e-09
1852,2.7344290387532055e-08,6.510545436100301e-09
1853,4.120633079196523e-08,1.3138249599364826e-08
1854,3.3771819119010615e-08,3.63696517347023e-09
1855,2.7596072982305486e-08,4.2455496895854594e-09
1856,2.329735160344626e-08,1.0354378465748937e-09
1857,3.905207179855097e-08,1.9526036343364694e-09
1858,3.6213201326518174e-08,2.4468380654951716e-09
1859,4.124660435422811e-08,0.0
1860,3.020941363729435e-08,1.8308735638683515e-09
1861,1.5091083938045813e-08,3.3011746669586728e-09
1862,1.490935552794781e-08,4.517986429419807e-09
1863,2.7969877081091e-08,1.4983863039219614e-09
1864,1.3904711160250827e-08,4.315255264231155e-09
1865,2.729969672543575e-08,9.41368871743009e-10
1866,3.259960479340407e-08,4.865612801552288e-09
1867,2.9602150064533816e-08,0.0
1868,1.9265508299781686e-08,0.0
1869,2.2952539424636598e-08,4.395167341186834e-09
1870,2.9243649279919737e-08,0.0
1871,1.6993884077720622e-08,2.1242354542039266e-09
1872,1.7537283625301825e-08,6.047339295989218e-10
1873,1.855661402316855e-08,0.0
1874,3.7042575229406793e-08,5.974609140757536e-10
1875,1.2587359599081083e-08,3.432916173551348e-09
1876,1.7533442031592017e-08,8.464420275799966e-09
1877,2.4120781816350245e-08,6.184816214727107e-09
1878,1.4493812372506909e-08,1.2078177347163432e-09
1879,2.3215436684154156e-08,6.720257683667796e-09
1880,2.1820676820993867e-08,0.0
1881,2.091752193678076e-08,0.0
1882,9.317538740560849e-09,0.0
1883,2.0853818227806187e-08,1.2638677882037541e-09
1884,1.5183903911974994e-08,1.9805090900604227e-09
1885,1.6758653131887513e-08,6.445635580831777e-09
1886,1.7424351739236954e-08,1.2906927748801422e-09
1887,2.285123557044244e-08,0.0
1888,1.6485598663962264e-08,0.0
1889,3.00726554769426e-08,0.0
1890,1.5075089621063853e-08,3.9326319978272295e-09
1891,2.4859458491732767e-08,3.1871101313640793e-09
1892,1.7551833764173352e-08,1.8805537127519756e-09
1893,2.278614097406262e-08,1.2316833108982905e-09
1894,1.6384001710889606e-08,1.2603078580752936e-09
1895,2.7083764564395096e-08,1.8055843487019274e-09
1896,2.1229304536518612e-08,2.358811590497112e-09
1897,2.7385553380554484e-08,2.330685422435863e-09
1898,2.2067583316243145e-08,0.0
1899,2.1004797901014172e-08,0.0
1900,1.8168686111152965e-08,1.5573159428683425e-09
1901,2.51493244007861e-08,1.676621730339889e-09
1902,2.0623192042990013e-08,3.928227076954727e-09
1903,2.1060859722865644e-08,1.6200660812870638e-09
1904,2.3110889202371254e-08,4.299700151477737e-09
1905,2.0126959654476195e-08,1.5482277682110634e-09
1906,1.594697174311932e-08,0.0
1907,2.5199932807140613e-08,0.0
1908,2.0627833663411366e-08,0.0
1909,2.640472018811124e-08,4.400786846048277e-09
1910,3.473697773870299e-08,0.0
1911,3.6178544604581475e-08,0.0
1912,1.9274857876450113e-08,0.0
1913,2.0151361468379037e-08,0.0
1914,1.7411533548283842e-08,0.0
1915,2.3561523843085297e-09,0.0
1916,7.69122365795738e-09,0.0
1917,1.864292187292449e-08,0.0
1918,2.2972752589112133e-08,0.0
1919,2.301962176431971e-08,0.0
1920,1.9687803387569147e-08,7.572231730534895e-10
1921,1.8931868628335735e-08,3.0290989716519334e-09
1922,3.3938504784281065e-08,5.164555005876537e-09
1923,1.1677542488541803e-08,0.0
1924,1.675911143195208e-08,0.0
1925,1.7597084678300234e-08,0.0
1926,2.452150482668003e-08,1.1146138456652466e-09
1927,1.7838759802657478e-08,0.0
1928,1.3711249025050165e-08,0.0
1929,2.0052731031228177e-08,1.1140406375176326e-09
1930,1.6805765667982087e-08,0.0
1931,7.983749661377715e-09,0.0
1932,1.4247397928102146e-08,0.0
1933,3.0970788600370724e-08,0.0
1934,4.553000465534751e-08,0.0
1935,3.111753699158726e-08,0.0
1936,2.182448710641438e-08,0.0
1937,2.6441348666139675e-08,0.0
1938,2.074434313215079e-08,1.4261735792331365e-08
1939,2.2941076593951948e-08,0.0
1940,3.0429394115571995e-08,5.0715658339584024e-09
1941,3.246652724442356e-08,0.0
1942,4.247896612241675e-08,3.034211770724937e-09
1943,3.4838823381733164e-08,5.806470415592457e-09
1944,1.927911696952833e-08,0.0
1945,3.921307367704685e-08,0.0
1946,2.3665876369705074e-08,0.0
1947,2.7418003867296648e-08,1.1920870957027319e-09
1948,2.6092530802657166e-08,1.0871887834440486e-09
1949,4.0249734212238764e-08,0.0
1950,2.6588404367089424e-08,0.0
1951,3.3050344683260846e-08,0.0
1952,4.007025466989944e-08,0.0
1953,2.370242058180594e-08,0.0
1954,3.615838295445428e-08,1.9545072227344917e-09
1955,1.9709776921672528e-08,9.385607846468247e-10
1956,2.52913103793162e-08,0.0
1957,2.03205861026845e-08,0.0
1958,1.8198935691771112e-08,0.0
1959,1.7826719656000023e-08,1.5501495642666896e-09
1960,6.2287499602575735e-09,0.0
1961,2.153929301584867e-08,1.3896318540318475e-09
1962,1.331810839388936e-08,1.2683912808952869e-09
1963,2.198458126656533e-08,7.1126584622049904e-09
1964,9.125952438182594e-09,6.083968329129164e-10
1965,2.188817305182056e-08,5.472043373977442e-10
1966,1.163205709531212e-08,5.539074754423723e-10
1967,2.3172576746333107e-08,4.930335584241163e-10
