year,vingt - deux eaux,vingt - deux mots
1800,0.0,0.0
1801,0.0,7.844948690660658e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,4.107911166784106e-08
1807,0.0,3.114948521343308e-09
1808,0.0,0.0
1809,0.0,7.412877423007558e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.920916841731014e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,6.824494303003803e-09
1818,0.0,2.606645788105766e-09
1819,0.0,1.582852604542495e-08
1820,0.0,0.0
1821,0.0,8.640257398440099e-09
1822,0.0,2.1929524862684957e-09
1823,0.0,4.31834878966697e-09
1824,0.0,9.187538507759996e-10
1825,0.0,1.633819834978567e-08
1826,0.0,0.0
1827,0.0,6.036392719011019e-09
1828,0.0,0.0
1829,0.0,1.8730987871862226e-09
1830,1.141392091952298e-09,1.141392091952298e-09
1831,0.0,1.711448205377053e-09
1832,0.0,1.7791526474297825e-08
1833,0.0,1.3941157561703221e-08
1834,0.0,3.068623133373194e-09
1835,0.0,2.489881634204494e-09
1836,0.0,5.140442738138518e-09
1837,0.0,4.5545927029877475e-09
1838,0.0,4.129345754222413e-09
1839,0.0,7.642578792044219e-10
1840,0.0,6.958539300327971e-10
1841,0.0,3.5098950412759677e-09
1842,0.0,5.134645597593135e-09
1843,0.0,3.227089262480831e-09
1844,2.9919868804739735e-09,5.98397387197025e-10
1845,0.0,1.0370687419936075e-08
1846,0.0,5.125283752960286e-09
1847,0.0,2.35623986988287e-09
1848,0.0,5.2854098875343425e-09
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,7.05856872951216e-10
1852,0.0,0.0
1853,0.0,6.537042018806005e-10
1854,0.0,1.7049551770398352e-09
1855,0.0,1.1635575836166367e-09
1856,0.0,0.0
1857,0.0,3.2098184110651573e-09
1858,0.0,1.0721975529648375e-09
1859,0.0,0.0
1860,0.0,1.0035964281840393e-09
