year,trois_DET airs_NOUN,trois_DET mers_NOUN
1800,4.087413785214267e-08,1.5720821977538435e-08
1801,8.096020565062645e-08,4.524246932646747e-08
1802,1.7902721083373763e-08,6.937304419807333e-08
1803,2.145373123596528e-08,3.510610468993036e-08
1804,1.1123329102247226e-07,4.449331569844617e-08
1805,0.0,8.528632911009026e-09
1806,1.613734639249742e-07,8.645007376628655e-09
1807,2.2775641372874134e-08,0.0
1808,1.5862518409903714e-08,2.039466551195801e-08
1809,8.132509776714869e-08,1.129515236897305e-08
1810,2.106114083133548e-08,9.360507036149102e-09
1811,8.524060923775778e-08,3.760615285841595e-08
1812,7.20146218213813e-08,7.734903562095496e-08
1813,1.552900432688631e-07,5.751483289628823e-09
1814,4.090680105761635e-08,2.2026739543434815e-08
1815,1.0788894222457657e-08,2.6972236000233352e-08
1816,1.3905623319487859e-08,1.3905623319487859e-08
1817,1.5568734412774177e-08,2.1796227933634782e-08
1818,1.1921177378582115e-08,3.099506074022429e-08
1819,2.5877625819958894e-08,2.6912729822470283e-08
1820,3.441279616822612e-08,1.779972080839798e-08
1821,4.5362847478358503e-08,1.0847637454958203e-08
1822,3.308453244699194e-08,1.7043547018147365e-08
1823,7.906149623870817e-09,6.917880934764753e-09
1824,3.452656205382709e-08,6.736890156844311e-09
1825,1.8491430608946757e-08,4.578830314905247e-08
1826,2.2019961409824873e-08,7.927186018719112e-09
1827,1.1982455361270183e-08,2.5808365222701468e-08
1828,1.7427372434042354e-08,2.935136400594729e-08
1829,4.972442174677738e-08,5.658296231558779e-08
1830,5.0096812920230605e-08,1.982998876215447e-08
1831,4.989186042081428e-08,1.2472964883158966e-08
1832,3.5177921020590475e-08,1.6235963684607668e-08
1833,4.2859427118457916e-08,2.89590715851773e-08
1834,2.0535967593104942e-08,1.6802156110884425e-08
1835,3.327758690829796e-08,2.8739734148075513e-08
1836,2.419469957715137e-08,1.8818100855355624e-08
1837,1.87863058442872e-08,3.6181031504156635e-08
1838,1.704283669745621e-08,4.670999942391063e-08
1839,4.824117816326634e-08,2.7965900040172187e-08
1840,2.9300568360479673e-08,5.286841542329057e-08
1841,2.8892467973662406e-08,5.008027770259105e-08
1842,2.68330611064016e-08,2.95163662400455e-08
1843,1.8311423488626133e-08,3.9576302679478204e-08
1844,1.866110915793584e-08,4.610391357573462e-08
1845,1.3950569588416784e-08,3.069125203980505e-08
1846,1.2294452567118697e-08,2.985795788390533e-08
1847,2.6966118227278457e-08,2.3730183151826623e-08
1848,2.654923214606697e-08,5.229394162142853e-08
1849,2.011059585527164e-08,4.4410899846525353e-08
1850,2.5798184921654865e-08,3.59816780814981e-08
1851,5.0305621446256055e-08,4.6435957301582675e-08
1852,3.971432693816723e-08,4.948014620254071e-08
1853,1.7318602552052198e-08,4.299791100947914e-08
1854,2.1821789930598356e-08,5.8191442442456776e-08
1855,2.865746040470185e-08,6.633671034705912e-08
1856,2.536822751864065e-08,5.0218733782525504e-08
1857,2.2454941239757886e-08,4.246912799210634e-08
1858,2.0553438895287712e-08,3.131952697188467e-08
1859,1.6804171831807935e-08,5.244938683368616e-08
1860,2.883625790928157e-08,4.8975867888989555e-08
1861,3.065376513733398e-08,4.4801653942272424e-08
1862,2.936691112509493e-08,4.111367604697769e-08
1863,1.7481173175681874e-08,7.34209285591092e-08
1864,2.205574833880064e-08,4.027571520737183e-08
1865,1.788600795249451e-08,3.9066808066312575e-08
1866,1.5569961597794446e-08,3.2113046444237625e-08
1867,3.930777303651212e-08,3.494024269912188e-08
1868,1.4819621863004784e-08,4.050696911228613e-08
1869,1.2697150109097777e-08,1.6115613732381462e-08
1870,2.752343331025031e-08,4.185855573268782e-08
1871,1.0621176826930423e-08,1.6993883633631413e-08
1872,1.0885210954825197e-08,2.6003559860932057e-08
1873,1.8556614689302364e-08,2.1549615425442425e-08
1874,1.0156835816843568e-08,4.421210775262807e-08
1875,3.2612703648737806e-08,2.0597497041308088e-08
1876,1.9951849505872588e-08,3.7485290205196975e-08
