year,moins_ADV hérité_VERB,moins_ADV mérité_VERB
1800,4.4018303668735825e-08,2.829747991484055e-08
1801,2.3811825844433088e-09,1.904946067554647e-08
1802,1.1189200677108602e-08,4.699464284385613e-08
1803,0.0,4.290746247193056e-08
1804,1.730295728918918e-08,2.4718509905596875e-08
1805,0.0,3.695740957709859e-08
1806,0.0,6.627838899930794e-08
1807,2.8469551160981155e-09,4.839823830593559e-08
1808,2.4926814390369145e-08,3.6257183921861724e-08
1809,1.3554183553310395e-08,3.6144488291256494e-08
1810,2.3401267590372754e-09,4.212228077449254e-08
1811,5.0141535368197765e-09,3.5099073869560016e-08
1812,1.0668832928217853e-08,4.267533171287141e-08
1813,8.627225156487839e-09,5.7514832008109806e-08
1814,0.0,6.293354282149721e-09
1815,5.394447111228828e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,3.9399267848239106e-08
1817,0.0,8.251429051142622e-08
1818,1.5497530370112145e-08,3.695565098382758e-08
1819,7.24573512300708e-09,4.45095160728215e-08
1820,8.306536791735653e-09,6.882559233645225e-08
1821,9.861488514673056e-09,8.57949515875589e-08
1822,3.107940926838637e-08,7.017931125119503e-08
1823,9.882686891060644e-10,5.138997138942614e-08
1824,7.57900142644985e-09,8.42111234078402e-08
1825,0.0,3.610231757988913e-08
1826,0.0,4.668231667892542e-08
1827,7.373818444733615e-09,5.069500019772022e-08
1828,7.337841001486822e-09,7.154395120778645e-08
1829,1.714635211591542e-09,3.086343269842473e-08
1830,3.1310507520032616e-09,2.5048406016026092e-08
1831,0.0,2.182768810143898e-08
1832,4.058990921151917e-09,2.976593194148336e-08
1833,5.791814139399776e-09,2.89590715851773e-08
1834,3.733812370398937e-09,4.85395617033646e-08
1835,3.025235173481633e-09,4.386591001548368e-08
1836,6.72075017860152e-09,2.352262562510532e-08
1837,2.7831563720326358e-09,3.6181031504156635e-08
1838,5.680945491803868e-09,3.66105403770689e-08
1839,1.3982949909063791e-08,4.4046291947097416e-08
1840,5.095750932326837e-09,3.9492068282243054e-08
1841,1.1556987367100646e-08,2.8250413564023802e-08
1842,2.0124795163667386e-09,6.03743828264669e-08
1843,4.7255288571079745e-09,4.134837894298471e-08
1844,3.841992946007622e-09,2.030767731753258e-08
1845,8.928364714222425e-09,2.287893430263921e-08
1846,1.0538101946622191e-08,1.9905304071698993e-08
1847,2.1572894581822766e-09,3.937053350000497e-08
1848,4.02261068899179e-09,2.494018680465615e-08
1849,8.379414939696517e-10,1.0893239199560867e-08
1850,6.788996032014438e-10,2.0366988096043315e-08
1851,2.579775504329973e-09,3.418202609850596e-08
1852,9.114764054629632e-09,3.5156944022674e-08
1853,6.569124799682413e-09,5.3747385209135246e-08
1854,8.313063126763609e-09,3.533051895487915e-08
1855,3.714855978387277e-09,3.02495415382964e-08
1856,1.0354378465748937e-09,2.4332790005132665e-08
1857,4.881508974818871e-09,1.8549734193129552e-08
1858,9.787352039936081e-10,2.7893953813418193e-08
1859,1.476730293603623e-08,3.971895168319861e-08
1860,9.154367819341758e-10,3.753290656050012e-08
