year,beaux_ADJ effets_NOUN
1800,2.703981465401739e-07
1801,2.45261816189668e-07
1802,1.8350289110458107e-07
1803,1.9893460034836608e-07
1804,2.076354803648428e-07
1805,1.8194417350514414e-07
1806,4.0919701405073283e-07
1807,1.9074599322266295e-07
1808,1.8128591250388126e-07
1809,1.8975856619363185e-07
1810,2.1529166360778618e-07
1811,1.6546707115594472e-07
1812,1.3869482984318893e-07
1813,2.386865673997818e-07
1814,1.1642705288750221e-07
1815,1.726223075593225e-07
1816,1.4600904307826568e-07
1817,2.2263289167767653e-07
1818,1.740491910595665e-07
1819,1.511253344688157e-07
1820,3.1090181096260494e-07
1821,1.518669137112738e-07
1822,2.3560197348615475e-07
1823,1.640526079427218e-07
1824,2.837915076270292e-07
1825,1.2767893053933221e-07
1826,1.3652375230321923e-07
1827,9.8624823863247e-08
1828,1.3575005652910477e-07
1829,1.9632572900718515e-07
1830,2.3169775431597373e-07
1831,8.107426907599802e-08
1832,1.9212556878756004e-07
1833,1.4132027104096778e-07
1834,1.6708810335330782e-07
1835,1.2403464211274695e-07
1836,1.7473949753821216e-07
1837,1.30808345488731e-07
1838,1.5401674602344428e-07
1839,1.782826188900799e-07
1840,1.5096162542249658e-07
1841,1.7656508077834587e-07
1842,1.596567074102495e-07
1843,1.789794055184757e-07
1844,1.6026598359530908e-07
1845,1.5122417096335994e-07
1846,1.1533367683114193e-07
1847,1.0301057074002529e-07
1848,1.4481399546184548e-07
1849,1.1479798445179767e-07
1850,1.5003681141934067e-07
1851,1.064157402197452e-07
1852,1.3737250981193938e-07
1853,1.3616003968763835e-07
1854,2.15100513401012e-07
1855,1.6876060726644937e-07
1856,1.4289042837845045e-07
1857,1.5523198726441478e-07
1858,1.6393815371884557e-07
1859,1.6193111207485344e-07
1860,1.5379337980903074e-07
1861,1.7779183281163569e-07
1862,1.6129210678172967e-07
1863,1.8579989102818217e-07
1864,1.879533328974503e-07
1865,1.6850502504439646e-07
1866,1.0266442984629975e-07
1867,1.567458127738064e-07
1868,1.4177437890339206e-07
1869,1.367385351613848e-07
1870,1.6858103890626808e-07
1871,9.877695106297324e-08
1872,1.040142336705685e-07
1873,1.1133968058629762e-07
1874,1.1530995891462226e-07
1875,1.4361033606746787e-07
1876,1.2152489148320456e-07
1877,1.323550691267883e-07
1878,1.6909447708712833e-07
1879,1.435691387996485e-07
1880,1.6493865473421465e-07
1881,1.6455118156954995e-07
1882,1.2312462160934956e-07
1883,1.1627583518247775e-07
1884,1.5910089246062853e-07
1885,1.3987029490181158e-07
1886,1.1938908528463799e-07
1887,7.899998877292091e-08
1888,1.2744635569106322e-07
1889,1.3094135908886528e-07
1890,1.2060071696851082e-07
1891,1.497941752859333e-07
1892,1.1534062593909766e-07
1893,9.976634629538239e-08
1894,1.2098955437522818e-07
1895,8.305688226073471e-08
1896,1.2147879147050844e-07
1897,1.3401441378846357e-07
1898,9.845537363162293e-08
1899,1.0281296169978305e-07
1900,1.199133237150818e-07
1901,1.0618603596412868e-07
1902,1.2570326646255126e-07
1903,7.560308290521789e-08
1904,1.0695504215618712e-07
1905,9.444188719953672e-08
1906,1.388929860013377e-07
1907,9.977116377513084e-08
1908,1.1689105861023563e-07
