year,premiers_ADJ effets_NOUN,premiers_ADJ méfaits_NOUN
1800,6.602745195039006e-07,0.0
1801,6.833994135035937e-07,0.0
1802,4.498058672197658e-07,0.0
1803,5.499956401422423e-07,0.0
1804,3.5100282502753544e-07,2.4718509461507665e-09
1805,4.5201755560775325e-07,0.0
1806,4.610670600868616e-07,0.0
1807,4.156554398448975e-07,0.0
1808,4.894719722869922e-07,0.0
1809,3.0271009365812063e-07,2.259030518203531e-09
1810,3.9548142671819164e-07,0.0
1811,2.7577843297876825e-07,0.0
1812,5.841185966026785e-07,0.0
1813,4.3711271757729264e-07,0.0
1814,4.877349635279415e-07,0.0
1815,4.072807513466614e-07,0.0
1816,3.3141734512298626e-07,0.0
1817,5.122113657662908e-07,0.0
1818,3.3021660295062816e-07,0.0
1819,3.5711122237103154e-07,0.0
1820,3.548077724957466e-07,0.0
1821,2.3766186840745718e-07,0.0
1822,2.4261991882212897e-07,0.0
1823,4.012370773409657e-07,8.894418535021487e-09
1824,3.0400216122217216e-07,0.0
1825,2.9938505541338145e-07,0.0
1826,4.4039920510385855e-07,0.0
1827,3.7422129750552813e-07,4.608636583469661e-09
1828,3.0268593320670334e-07,0.0
1829,4.4837711055123464e-07,0.0
1830,3.068429847985499e-07,5.218417697960831e-09
1831,3.3053356851553417e-07,0.0
1832,2.963063217009676e-07,0.0
1833,3.069661573817939e-07,0.0
1834,3.295089334720558e-07,0.0
1835,3.1613706141797593e-07,0.0
1836,2.641254770452406e-07,0.0
1837,3.9242504001890666e-07,6.957890930081589e-10
1838,3.111895949814425e-07,2.5248647617104325e-09
1839,4.103996027460255e-07,1.3982950353153e-09
1840,3.407783406572662e-07,0.0
1841,4.1219920987600744e-07,0.0
1842,3.186425825418837e-07,6.708265054555795e-10
1843,3.3669392518476116e-07,0.0
1844,2.95833452845784e-07,0.0
1845,4.224232625915647e-07,5.580227835366713e-09
1846,3.5888093563585244e-07,0.0
1847,3.279080047491334e-07,0.0
1848,2.622742405478107e-07,4.82713291560799e-09
1849,3.2093159552104567e-07,0.0
1850,3.414865066275752e-07,0.0
1851,3.3730564563683174e-07,2.579775504329973e-09
1852,3.2487622725341225e-07,6.510545436100301e-10
1853,3.8757837472758183e-07,0.0
1854,2.8316371808445595e-07,0.0
1855,2.7489933174251746e-07,8.491099379170919e-09
1856,3.1321994242716755e-07,1.0354378465748937e-09
1857,3.080232355845425e-07,0.0
1858,3.6555758775591585e-07,0.0
1859,3.2691753748537167e-07,6.619825576592575e-09
1860,2.888202914608229e-07,1.8308735638683515e-09
1861,2.9286133695904937e-07,1.4147891747029462e-09
1862,2.6430219446371694e-07,6.325180823552046e-09
1863,3.0666971273518584e-07,3.496234635136375e-09
1864,2.943962940094025e-07,1.9178911792039344e-09
1865,3.3465662419018827e-07,2.3534221238463715e-09
1866,3.352407418333314e-07,0.0
1867,3.6541671200041037e-07,5.338092634588065e-09
1868,2.845367328419002e-07,2.4699371437009177e-09
1869,2.58338162417715e-07,2.441759683335931e-09
1870,2.6147263421094635e-07,1.0321287824410774e-08
1871,1.741873032479191e-07,8.496941816815706e-09
