year,autres_ADJ auteurs_NOUN,autres_ADJ moteurs_NOUN
1800,2.3707000309514115e-06,0.0
1801,2.450236934237182e-06,4.7623651688866175e-09
1802,3.750620180653641e-06,3.1329761895904085e-08
1803,3.4950078315887367e-06,5.851017448321727e-09
1804,3.448232064329204e-06,4.943701892301533e-09
1805,3.1499084798269905e-06,0.0
1806,4.437770257936791e-06,2.881669125542885e-09
1807,2.616351821416174e-06,0.0
1808,4.103860192117281e-06,1.3596443970698147e-08
1809,3.548937002051389e-06,2.259030518203531e-09
1810,3.5452919746603584e-06,6.084329839950442e-08
1811,4.427497515280265e-06,1.253538335355131e-07
1812,4.192851520201657e-06,2.9339290108509886e-08
1813,5.05555362906307e-06,0.0
1814,3.354357886564685e-06,6.293354282149721e-09
1815,3.7059851365484064e-06,2.4275012222574333e-08
1816,3.640955810624291e-06,0.0
1817,4.502478077483829e-06,2.0239355080775567e-08
1818,3.24971301779442e-06,6.675859509641668e-08
1819,4.287404863134725e-06,8.280840013696888e-09
1820,2.944073912658496e-06,1.542642635854463e-08
1821,3.737504130185698e-06,0.0
1822,3.0838793918519514e-06,9.825103575167304e-08
1823,2.5477565941400826e-06,3.656594316225892e-08
1824,3.173075356244226e-06,2.5263338088166165e-08
1825,2.881140972021967e-06,9.421824387345623e-08
1826,3.1761592254042625e-06,2.290075862276808e-08
1827,2.8260158160264837e-06,1.8434546333878643e-08
1828,3.2240639029623708e-06,1.559291185060374e-08
1829,2.858296966223861e-06,4.8009784592295546e-08
1830,3.218720166842104e-06,4.0703660886265425e-08
1831,2.5725489649630617e-06,1.4032085715598441e-08
1832,2.998241143359337e-06,6.764984572527055e-09
1833,2.7233111268287757e-06,1.853380560135065e-08
1834,2.615535549921333e-06,2.8937046536725575e-08
1835,2.411868763374514e-06,3.781543966852041e-08
1836,2.7716373551811557e-06,3.5619976301859424e-08
1837,2.6015554794867057e-06,3.75726116885744e-08
1838,2.5021408873726614e-06,5.1759727170974656e-08
1839,2.8294500680203782e-06,5.942753844578874e-08
1840,2.2803485535405343e-06,3.567025785855549e-08
1841,3.0420558232435724e-06,3.017657945747487e-08
1842,2.5350534542667447e-06,2.817471278504513e-08
1843,2.7289929676044267e-06,2.9534556134080958e-08
1844,2.4418609427812044e-06,4.8299337862545144e-08
1845,2.226511014669086e-06,4.687391452762313e-08
1846,2.6731652269518236e-06,2.8101606375230404e-08
1847,2.728971139731584e-06,3.182001862001016e-08
1848,2.280820353917079e-06,6.355725190587691e-08
1849,2.3965126274561044e-06,6.284561493430374e-08
1850,2.678258852029103e-06,4.6844071732721204e-08
1851,2.260528390252148e-06,3.9341575330809064e-08
1852,2.589243877082481e-06,2.539112742283578e-08
1853,2.8999700134590967e-06,3.762317035693741e-08
1854,2.3364902972389245e-06,6.130884155908234e-08
1855,2.424208787488169e-06,4.6701046585440054e-08
1856,2.214801497757435e-06,5.5913645269356493e-08
1857,2.14639953810547e-06,2.538384707984065e-08
1858,1.946704287547618e-06,8.514996352460003e-08
1859,2.360222424613312e-06,2.189634606963864e-08
1860,2.132052259185002e-06,4.668727626722102e-08
1861,1.9967390016972786e-06,3.489813238388706e-08
1862,2.0032750853715697e-06,4.201727324404381e-08
1863,1.9054479025726323e-06,3.5461809488879226e-08
1864,2.0775555640284438e-06,2.8768367243969806e-08
1865,1.9716972019523382e-06,2.729969672543575e-08
1866,2.345225311728427e-06,4.4277076227672296e-08
1867,2.0430336462595733e-06,7.036576477048584e-08
1868,2.143905248885858e-06,4.841076517436704e-08
1869,2.1931884930381784e-06,4.0533208789383934e-08
1870,2.3515333396062488e-06,3.7844721134661086e-08
1871,1.7301897514698794e-06,3.186353225714811e-08
1872,1.6497141359650414e-06,3.8702971494330995e-08
1873,2.2441531655204017e-06,5.327543917132971e-08
1874,2.296042339366977e-06,3.943242177228967e-08
1875,1.979648459382588e-06,8.467860368455149e-08
1876,2.2479082417703466e-06,3.808989390563511e-08
1877,2.4442392714263406e-06,2.535774612510977e-08
1878,2.331088126084069e-06,5.978697881214856e-08
1879,2.1565917904808884e-06,4.093248051617593e-08
1880,2.246888016088633e-06,6.28948910730287e-08
1881,2.2939550490264082e-06,5.2991058208107233e-08
1882,2.073817995551508e-06,6.522277584686265e-08
1883,2.3255167889146833e-06,8.46791406994285e-08
1884,2.1673370156349847e-06,5.413391512831822e-08
1885,2.2276117306319065e-06,7.090199005688191e-08
1886,2.153520881620352e-06,5.420909543474295e-08
1887,2.415049266346614e-06,5.941321279401279e-08
1888,2.284523588969023e-06,5.2627100899371726e-08
1889,2.2673530111205764e-06,7.580815264418561e-08
