year,derniers_ADJ effets_NOUN,derniers_ADJ méfaits_NOUN
1800,6.917161954334006e-08,0.0
1801,1.04772034603684e-07,0.0
1802,9.175144555229053e-08,0.0
1803,8.191424427650418e-08,0.0
1804,7.909923027682453e-08,0.0
1805,1.250866148438945e-07,0.0
1806,1.0374009207225754e-07,0.0
1807,1.1103124819555887e-07,0.0
1808,6.118399653587403e-08,0.0
1809,8.358412628695078e-08,0.0
1810,1.2168659679900884e-07,0.0
1811,7.019814773912003e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,4.026038169513413e-08,0.0
1814,1.195737269199526e-07,0.0
1815,1.6183341244868643e-07,0.0
1816,1.3905622608945123e-07,0.0
1817,1.0742426326260102e-07,0.0
1818,5.96058882251782e-08,0.0
1819,7.866798057420965e-08,0.0
1820,9.374520004712394e-08,0.0
1821,5.9168929311681495e-08,0.0
1822,8.622029668003961e-08,0.0
1823,5.138997138942614e-08,0.0
1824,7.326367779114662e-08,0.0
1825,4.3146670236637874e-08,0.0
1826,9.248383747717526e-08,0.0
1827,6.175572764277604e-08,0.0
1828,9.264024214417077e-08,0.0
1829,8.830371456269859e-08,0.0
1830,1.2837307394875097e-07,0.0
1831,6.392394169552063e-08,0.0
1832,1.352997003323253e-07,0.0
1833,8.108539617524002e-08,0.0
1834,5.507373401769655e-08,0.0
1835,9.000074641107858e-08,2.2689263801112247e-09
1836,4.099657502365517e-08,0.0
1837,6.470838798122713e-08,1.3915781860163179e-09
1838,5.23909449157145e-08,0.0
1839,1.0836786401569043e-07,0.0
1840,9.17235141173478e-08,9.554533164646273e-09
1841,1.0208672307499e-07,0.0
1842,1.0330727917562399e-07,6.708265054555795e-10
1843,1.1518476839000868e-07,0.0
1844,9.165897552065871e-08,5.488561272137815e-10
1845,6.807878349945895e-08,0.0
1846,1.1591912851827146e-07,5.854501328173001e-10
1847,5.986478157637976e-08,5.393223645455691e-10
1848,3.942158599556933e-08,0.0
1849,6.787325901314034e-08,8.379414939696517e-10
1850,4.616517301769818e-08,0.0
1851,6.384944128967618e-08,2.579775504329973e-09
1852,7.747549091163819e-08,3.906327261660181e-09
1853,8.062107781370287e-08,0.0
1854,1.3093074358039303e-07,0.0
1855,8.066544410212373e-08,5.306937111981824e-10
1856,5.850223772085883e-08,5.177189232874468e-10
1857,6.785297301803439e-08,3.4170564155999728e-09
1858,7.53626139271546e-08,7.34051397444091e-09
1859,6.823512421760825e-08,5.092173349652285e-10
1860,5.6757080812985805e-08,1.8308735638683515e-09
1861,4.998921454557603e-08,3.3011746669586728e-09
1862,6.505900529418795e-08,1.3553959066214816e-09
1863,8.440909482487768e-08,4.994620828036034e-10
1864,6.32904075814622e-08,1.4384183844029508e-09
1865,8.048704103202908e-08,9.41368871743009e-10
1866,8.222885838904403e-08,0.0
1867,5.677789260971622e-08,5.82337378318698e-09
1868,9.33636172817387e-08,1.4819622196071691e-09
1869,7.032267745898935e-08,4.883519144627257e-10
1870,6.708837219093766e-08,5.734048791339319e-10
1871,1.1577083114389097e-07,9.559059321873065e-09
1872,5.1402384571019866e-08,6.047339295989218e-10
1873,5.5071240012694034e-08,3.591602570907071e-09
1874,3.1665429389704514e-08,1.7923826867161097e-09
1875,5.778742462325681e-08,5.721527140956084e-10
1876,5.8041742079240066e-08,6.04601479992084e-10
1877,7.174386240649255e-08,2.4739263970730008e-09
1878,4.5293166550663955e-08,6.039088673581716e-10
1879,3.4823152361695975e-08,6.10932526790009e-10
1880,5.968597349692573e-08,1.9253538763308597e-09
1881,4.811030152040985e-08,0.0
1882,4.791877472598571e-08,3.9932310791357395e-09
1883,3.4124429504345244e-08,0.0
1884,4.7532218161450146e-08,2.6406787867472303e-09
1885,5.349877696403382e-08,1.933690763067375e-09
