year,autres_ADJ effets_NOUN,autres_ADJ méfaits_NOUN
1800,2.2323568744653244e-06,3.144164484325529e-09
1801,1.8739906644249515e-06,0.0
1802,2.1796563487441745e-06,0.0
1803,2.12586985703922e-06,3.900678446910888e-09
1804,3.408682470507074e-06,0.0
1805,2.1179439446683546e-06,0.0
1806,2.4667087927809916e-06,2.881669125542885e-09
1807,3.2028245868787053e-06,0.0
1808,3.052401620795564e-06,0.0
1809,2.676951226021629e-06,6.7770917766551975e-09
1810,2.0546312793356947e-06,1.1700633351097167e-08
1811,2.065831267827889e-06,0.0
1812,2.323138350135423e-06,2.6672082320544632e-09
1813,1.9037409657585158e-06,3.4508900625951355e-08
1814,1.8848596630149927e-06,1.2586708564299443e-08
1815,1.9716705281780378e-06,5.394447111228828e-09
1816,1.617687548360891e-06,1.622322720606917e-08
1817,1.7530394238463032e-06,1.0898113522728181e-08
1818,1.9634178247684986e-06,2.5034472272977837e-08
1819,1.531955367894966e-06,2.173720581311045e-08
1820,1.6767337545076089e-06,0.0
1821,1.6103810001055763e-06,1.0847637454958203e-08
1822,1.6762830057359679e-06,7.017931125119503e-09
1823,1.4942623041136471e-06,4.5460360809101985e-08
1824,1.787802229813451e-06,4.884245186076441e-08
1825,1.8376959358690215e-06,3.0819052199149155e-08
1826,1.8805046435588224e-06,2.025836387531399e-08
1827,2.558715003431189e-06,5.530363722527909e-08
1828,1.6079043563266282e-06,1.559291185060374e-08
1829,1.967543818537365e-06,3.0006116702452346e-08
1830,2.0779740468324093e-06,2.922314124020886e-08
1831,1.3517575752075572e-06,2.0268567268999504e-08
1832,1.378703843979423e-06,2.1647950987357945e-08
1833,1.5811652893660266e-06,5.444305273272221e-08
1834,2.05826415289323e-06,2.5203233278148218e-08
1835,1.8113595601221277e-06,2.949604294144592e-08
1836,1.512840834383411e-06,5.779845224651581e-08
1837,1.6963337889919217e-06,7.792837664055696e-08
1838,1.3173482003026038e-06,7.258986300939796e-08
1839,1.5472134693439443e-06,3.915226187700682e-08
1840,1.4274472390773951e-06,3.630722389402763e-08
1841,1.501766310862962e-06,4.365973182984817e-08
1842,1.4154439105240613e-06,5.0311989241436095e-08
1843,1.2050098359139838e-06,4.6073907356003474e-08
1844,1.3342692843920645e-06,7.958414016684401e-08
1845,1.4385827427076947e-06,4.798996044996784e-08
1846,1.1545076141761257e-06,6.14722637237719e-08
1847,1.6767531780814693e-06,5.069630049092666e-08
1848,1.0804732996638755e-06,4.103063133698015e-08
1849,1.1798215888703112e-06,6.284561493430374e-08
1850,1.5356708864544544e-06,2.7155984128057753e-08
1851,1.4291956553780238e-06,2.5152811389261842e-08
1852,1.1751534068071834e-06,4.427170807730363e-08
1853,1.2218573033351277e-06,5.6733352238325097e-08
1854,1.1253809706346374e-06,4.72805474771576e-08
1855,9.923971937553233e-07,3.078023524949458e-08
1856,1.0696073502458603e-06,6.005539177067476e-08
1857,1.0641689520696218e-06,4.930324237761852e-08
1858,1.0447998697316052e-06,6.802209640000001e-08
1859,1.1650892703940485e-06,8.147477359443656e-08
1860,1.0788422972751732e-06,5.126446112058147e-08
1861,1.153524755714841e-06,7.309743921268819e-08
1862,1.0603713820334093e-06,4.427626620895353e-08
1863,1.1562547221899422e-06,5.893652499366908e-08
1864,1.087923733322782e-06,7.240038968348017e-08
1865,1.0665708869428414e-06,5.742350239756888e-08
1866,9.706897623473765e-07,6.957826315101556e-08
1867,8.769030337418826e-07,1.0530600746960772e-07
1868,9.430219760631076e-07,5.631456545529545e-08
1869,8.995442053461034e-07,5.860222884734867e-08
1870,8.268498090657772e-07,8.658413719331293e-08
1871,8.284518411283415e-07,7.222400455475508e-08
1872,8.847257249033902e-07,7.680120717168393e-08
1873,7.584267773808051e-07,5.806424496768159e-08
1874,1.047348961780159e-06,4.421210775262807e-08
1875,8.570847427336048e-07,5.378235456987568e-08
1876,8.276994094558177e-07,4.53451107773617e-08
1877,8.516491458721021e-07,8.16395697711414e-08
1878,9.239805824901026e-07,5.6163525385954927e-08
1879,9.163988066163142e-07,6.59807142255886e-08
1880,1.010810773527382e-06,7.637237331437063e-08
1881,8.360036451993125e-07,5.0899306103247e-08
1882,7.021431542852952e-07,9.184431348785438e-08
1883,7.671677734188975e-07,6.635305993540896e-08
1884,8.945299407869811e-07,5.743476449993068e-08
1885,8.669379740755545e-07,7.799219048365558e-08
1886,7.769970784554658e-07,5.808117364836107e-08
1887,8.232973889299444e-07,7.247106026397887e-08
1888,7.824318448701462e-07,6.404020780337305e-08
1889,8.332631820096026e-07,6.077182490571431e-08
1890,8.147102334987721e-07,6.88210590737981e-08
1891,8.739055488149461e-07,6.374219907456791e-08
1892,8.12399192362534e-07,5.7043461509920235e-08
1893,8.369287920473312e-07,6.404753349897874e-08
1894,7.675275117691172e-07,4.222031435574536e-08
1895,8.991810211966822e-07,4.935263930860856e-08
1896,9.612157698679624e-07,7.784078093209246e-08
1897,7.901023426626352e-07,3.787363667129284e-08
1898,8.03486410294596e-07,7.978280081033517e-08
1899,8.291367432633479e-07,5.140648084989152e-08
1900,7.729478266327305e-07,5.0353214930964896e-08
1901,7.880121959402686e-07,5.979950401524547e-08
1902,6.530677745253399e-07,6.285163323127563e-08
1903,7.79251774218892e-07,7.34429974613704e-08
1904,8.411288359155833e-07,6.933266405440008e-08
1905,8.561699491593799e-07,5.728442431518488e-08
1906,7.525942029573685e-07,9.310974036225161e-08
1907,9.071975775043484e-07,5.862841589987511e-08
1908,7.514425064414354e-07,8.39847515976544e-08
1909,7.734382996282818e-07,6.711199773690169e-08
1910,8.133797330112102e-07,6.038889921455848e-08
1911,6.166313490929554e-07,8.35298763490755e-08
1912,7.017090459804365e-07,8.751827351716202e-08
1913,7.196157150168858e-07,4.9848104310967756e-08
1914,1.206753211135947e-06,7.634287868540923e-08
1915,9.283240327562226e-07,5.419150639340842e-08
1916,7.998872517678279e-07,2.5271162940043723e-08
1917,6.470190214713512e-07,6.141197417264266e-08
1918,7.316821886149683e-07,4.824278221349232e-08
1919,6.233713200076707e-07,7.550436009751138e-08
1920,6.269807677483641e-07,6.96645301445642e-08
1921,6.868482156363598e-07,5.5281056177136634e-08
1922,5.260468025625187e-07,3.6151885041135756e-08
1923,5.902467319351956e-07,4.777176698667063e-08
1924,6.974369091139465e-07,6.83256118350073e-08
1925,6.642899732511864e-07,2.74954441437103e-08
1926,7.412181988186717e-07,7.467912865877224e-08
1927,6.901370426248832e-07,5.2401357919507063e-08
1928,6.787068291824738e-07,5.3702393643106916e-08
1929,5.993538572113266e-07,4.121950425428622e-08
1930,6.501730371866188e-07,5.566909777598994e-08
1931,6.546674526930474e-07,5.47457119637329e-08
1932,6.005826280741644e-07,3.1782654730250215e-08
1933,4.771795616420604e-07,4.3588517684156614e-08
1934,7.224892701884755e-07,5.152079296522061e-08
1935,6.27138081021883e-07,5.6250936353308134e-08
1936,4.655890406546348e-07,5.698615979099486e-08
1937,5.603047368296643e-07,5.414180748175568e-08
1938,5.095329376203495e-07,3.241303758727554e-08
1939,4.6340972392755475e-07,2.7529290846928234e-08
