year,trois_DET eaux_NOUN,trois_DET maux_NOUN
1800,9.432493897065797e-09,0.0
1801,8.096020565062645e-08,9.52473055981784e-09
1802,1.1189200677108602e-08,0.0
1803,2.3404069793286908e-08,1.755305234496518e-08
1804,1.730295728918918e-08,0.0
1805,2.842877755426798e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,5.421673421324158e-08,0.0
1810,9.594519667643908e-08,2.3401266702194334e-08
1811,7.019814773912003e-08,7.521229861140455e-09
1812,1.600324850414836e-08,2.400487275622254e-08
1813,3.738464116054274e-08,8.627225156487839e-09
1814,4.090680150170556e-08,0.0
1815,3.506390555685357e-08,0.0
1816,2.3176038865813098e-09,1.3905623319487859e-08
1817,2.1796227045456362e-08,1.556873407970727e-09
1818,2.6226590676969863e-08,3.5763532135746345e-09
1819,1.2421260464634543e-08,3.1053151161586356e-09
1820,3.5599443393152796e-09,2.3732962262101864e-08
1821,5.9168927535324656e-09,3.747365440176509e-08
1822,2.7069162911175226e-08,1.2030739071633434e-08
1823,7.609668595254249e-08,1.1859224713361982e-08
1824,5.221090049190025e-08,8.421112696055388e-10
1825,3.874394849390228e-08,8.805443041381977e-10
1826,2.906634755106552e-08,1.8496766784892316e-08
1827,2.949527377893446e-08,1.7512819638909605e-08
1828,4.219258542548232e-08,0.0
1829,2.8291481157793896e-08,3.429270423183084e-09
1830,5.844628248041772e-08,1.0436835840010872e-09
1831,4.053713453799901e-08,3.1182412207897414e-08
1832,3.111892965534935e-08,6.764984572527055e-09
1833,5.21263281427764e-08,1.0425265539737438e-08
1834,3.733812370398937e-09,1.0267983796552471e-08
1835,6.806779140333674e-09,1.739510224751939e-08
1836,1.6129799718100912e-08,2.0162250202737653e-09
1837,5.5663127440652715e-09,9.741046969047318e-09
1838,1.2624323364462953e-08,3.1560809521380406e-09
1839,1.8876983531868063e-08,3.4957375882882502e-09
1840,5.732719632334238e-09,5.732719965401145e-09
1841,0.0,1.3483152372373297e-08
1842,1.8783142152756227e-08,1.0062397137744483e-08
1843,4.843666989717832e-08,8.860366440543999e-09
1844,1.8112252364588244e-08,1.0428266250528395e-08
1845,1.5066614622583074e-08,1.3950570143528296e-08
1846,1.6978054517835517e-08,9.367202569166011e-09
1847,2.9662729161827883e-08,2.1572894581822766e-09
1848,2.333114323960217e-08,1.528592186161859e-08
