year,aux_ADP arrêts_NOUN,aux_ADP marais_NOUN
1800,1.5406405964313308e-06,2.578214832738013e-07
1801,7.429289894389512e-07,8.810375540235782e-08
1802,7.452007366737234e-07,2.0588129245879827e-07
1803,6.943207870868662e-07,1.033679772888263e-07
1804,8.08295241183643e-07,2.2246658382130136e-07
1805,9.040351187650231e-07,4.7476056752593365e-07
1806,9.480691414154307e-07,2.3341519295172475e-07
1807,1.2384254635122716e-06,2.2206249639111775e-07
1808,8.973652754207251e-07,9.290903379977067e-08
1809,1.2763522434511287e-06,2.41716264781644e-07
1810,1.0296557384492644e-06,1.1232608709832448e-07
1811,8.223211671598563e-07,1.805095251050659e-07
1812,1.6590035016861293e-06,2.613863925304827e-07
1813,1.2682021193199944e-06,3.5371623496871507e-07
1814,1.0289634775340062e-06,2.2026740564839997e-07
1815,1.0519171578238229e-06,3.64125166463225e-07
1816,9.015479118801295e-07,1.2746821553832888e-07
1817,7.940054640442895e-07,1.712560671052188e-07
1818,7.05733718353585e-07,2.5630532229925507e-07
1819,8.65347798750804e-07,2.18407158136813e-07
1820,8.46080126848392e-07,1.1747816319740423e-07
1821,7.267916668496355e-07,1.567976566363427e-07
1822,1.0005565229675994e-06,3.26835092323563e-07
1823,1.0238464103196065e-06,1.9172413279200384e-07
1824,8.555850286029454e-07,2.0379092902089724e-07
1825,1.1191718609637746e-06,1.6290069515534356e-07
1826,1.3590719785128158e-06,2.1491481572155635e-07
1827,1.8287069636357955e-06,2.3043182828530462e-07
1828,1.3318181153465503e-06,2.623278062552359e-07
1829,1.3828532452464515e-06,1.714635168292844e-07
1830,1.4747248719970685e-06,1.2419835004884305e-07
1831,1.0508472891856968e-06,2.3854545849744113e-07
1832,1.384115915215034e-06,2.097145253010524e-07
1833,1.0865443691443488e-06,3.034910716070982e-07
1834,9.829260996241374e-07,1.4375177026515473e-07
1835,8.463095468869142e-07,2.1706062369730716e-07
1836,8.38749601328459e-07,1.6801874858085597e-07
1837,7.646722348653157e-07,1.9134200357484588e-07
1838,6.962314502700906e-07,1.33817835701322e-07
1839,9.655226751448254e-07,1.6360052068620234e-07
1840,8.853867399238879e-07,1.273937728640817e-07
1841,7.492780316198377e-07,1.483146725433926e-07
1842,9.223864507745816e-07,1.3684860267204613e-07
1843,8.80129743308089e-07,1.1223131168858202e-07
1844,8.880492181617683e-07,1.838668000075927e-07
1845,9.910485054831497e-07,1.1941688110583826e-07
1846,7.587433739075777e-07,1.0596647759264499e-07
1847,1.150374608016591e-06,1.6179671025184916e-07
1848,7.844091260977848e-07,2.123938589448926e-07
1849,9.049768010527259e-07,1.4496387756857132e-07
1850,7.888813300382935e-07,1.4053221786269887e-07
1851,8.14564133477802e-07,1.7606968105710052e-07
1852,8.047034327773872e-07,1.7318051392933853e-07
1853,6.545237365429557e-07,1.9587936606058065e-07
1854,9.305435177964227e-07,2.3016793565533433e-07
1855,8.883812760984711e-07,1.9635667669604118e-07
1856,7.884859201112704e-07,2.28314044781186e-07
1857,8.615863791305856e-07,1.6548315739939312e-07
1858,8.128395894146934e-07,1.2283126599177407e-07
1859,8.783998834971385e-07,1.303596337542956e-07
1860,1.0138462140929505e-06,1.4784303692394474e-07
1861,8.012422245684547e-07,2.1504794567306362e-07
1862,6.840230932780855e-07,1.5090074712009738e-07
1863,9.374903262582279e-07,2.142692266393631e-07
1864,7.618822603916442e-07,1.4480078469603086e-07
1865,6.46249740832161e-07,1.6662228641273202e-07
1866,7.001617214896783e-07,1.294253024752834e-07
1867,7.924641050038872e-07,1.3636400453265196e-07
1868,6.505814074131422e-07,1.4276236048882396e-07
1869,6.451128795603722e-07,1.128092902424882e-07
1870,6.926731170864286e-07,1.6227357368947537e-07
1871,6.67009915744643e-07,1.688767246044165e-07
1872,6.25294886091865e-07,1.8504858079193554e-07
1873,5.213809917137269e-07,1.4845291590459553e-07
1874,5.496640209656789e-07,1.23076950409029e-07
1875,6.568313422050664e-07,1.5905845440755684e-07
1876,8.047245927400581e-07,1.239433027322434e-07
1877,6.296142913697622e-07,1.707009148477212e-07
1878,6.075323391030452e-07,1.2017786760187832e-07
1879,7.092926583851522e-07,1.8389068467961067e-07
1880,7.033959263935685e-07,1.6686400616805486e-07
1881,6.491404356268049e-07,1.3875289517351064e-07
1882,6.575520279383795e-07,1.158036990744904e-07
1883,6.704818567015991e-07,1.244909753062018e-07
1884,6.872366764554272e-07,1.267525835402239e-07
1885,7.264231651760156e-07,1.4631593098224371e-07
1886,6.079162897520973e-07,1.497203666600555e-07
1887,8.121982411068984e-07,1.2666114113102367e-07
1888,7.976493385797312e-07,1.711965920137004e-07
1889,5.507055185205445e-07,1.2968832957538368e-07
1890,6.633039184578138e-07,1.1142456868284967e-07
1891,6.348722934035322e-07,1.153733817371716e-07
1892,7.691464851689034e-07,1.2975820418148487e-07
1893,7.507109742732609e-07,1.5519209939363066e-07
1894,7.284579481847686e-07,1.0145478412937337e-07
1895,7.709844958014855e-07,9.750155816057315e-08
1896,7.206169172491173e-07,8.255840411308668e-08
1897,7.28339222710872e-07,1.2818770134259694e-07
1898,7.293619477266589e-07,1.6975064065505308e-07
1899,7.418010241622142e-07,1.4316428398331027e-07
1900,6.717222591490213e-07,1.2614259026211272e-07
1901,6.896503994546777e-07,1.3636522760984704e-07
1902,7.07571903291182e-07,9.034922010542346e-08
1903,7.549507685666867e-07,1.3068532389581833e-07
1904,6.035704114282225e-07,1.504895106307913e-07
1905,6.729630079860272e-07,1.3417974076279648e-07
1906,6.939505192704587e-07,1.3066228765623578e-07
1907,6.387411470853976e-07,1.2085682188356373e-07
1908,6.168704640430178e-07,1.311340882548251e-07
1909,5.522987667205825e-07,1.0836937924807444e-07
1910,6.284721170146668e-07,7.107720523258365e-08
1911,6.565341532649427e-07,1.1545211986430104e-07
1912,6.584708422963104e-07,9.116487365012915e-08
1913,7.604487137768956e-07,1.1931726739966564e-07
1914,7.828493480133147e-07,1.359438961401338e-07
1915,8.588175717250124e-07,2.450398479680871e-07
1916,5.55965605997244e-07,1.9118183236521702e-07
1917,5.932835787092472e-07,2.0726542704352369e-07
1918,6.260075338104798e-07,2.5614618959224345e-07
1919,7.080835615624892e-07,2.1546365647218124e-07
1920,6.436396731146488e-07,1.6431743432576695e-07
1921,6.512562649163556e-07,1.5145494902668588e-07
1922,7.451714623130101e-07,1.475587159127656e-07
1923,6.81543887992575e-07,1.401305214088211e-07
1924,5.994605434267442e-07,1.4696451300366675e-07
1925,5.312120023859279e-07,1.1328123550313762e-07
1926,5.528484692263191e-07,1.3821211664044597e-07
