year,quels_DET auteurs_NOUN
1800,6.60274537267469e-08
1801,1.1905912700171939e-08
1802,4.2518962573012686e-08
1803,2.925508790774245e-08
1804,7.415552971679062e-08
1805,5.970043215342002e-08
1806,7.492339904047185e-08
1807,2.8469550272802735e-08
1808,2.4926814390369145e-08
1809,2.0331274441787173e-08
1810,7.956430980726736e-08
1811,9.27618422075227e-08
1812,3.200649700829672e-08
1813,3.738464116054274e-08
1814,2.2026739099345605e-08
1815,8.90083740046066e-08
1816,4.4034472068688046e-08
1817,5.1376821907922476e-08
1818,4.887682791832049e-08
1819,1.6561680027393777e-08
1820,5.814575843032799e-08
1821,6.903041960271139e-08
1822,3.0076847679083585e-08
1823,6.917880845946911e-08
1824,3.03160057057994e-08
1825,1.8491429720768338e-08
1826,5.108630762862276e-08
1827,3.3182182335167454e-08
1828,2.8434133714227983e-08
1829,2.7434162941375462e-08
1830,2.7135773628117477e-08
1831,4.677361609140007e-09
1832,2.8412935226818092e-08
1833,2.6642345218874652e-08
1834,2.2402874444438226e-08
1835,2.571449897459388e-08
1836,3.9652424621561266e-08
1837,5.287997062453087e-08
1838,4.418513288584336e-08
1839,2.9364196407755117e-08
1840,3.3759349093998026e-08
1841,4.49438415373038e-08
1842,2.750388627958955e-08
1843,3.839492279666956e-08
1844,5.0494763037534085e-08
1845,1.2834524221183585e-08
1846,3.6297908678761814e-08
1847,1.240441438454809e-08
1848,2.0113055110293487e-08
1849,2.513824437500034e-08
1850,1.6972490968214515e-08
1851,4.127640895745799e-08
1852,2.604218107826739e-08
1853,2.7470885566316383e-08
1854,4.468271530555512e-08
1855,4.617035287424187e-08
1856,3.779348189958398e-08
1857,1.9037886156425543e-08
1858,3.474509924217273e-08
1859,3.360834321952666e-08
1860,4.348324655900626e-08
1861,2.3108221558487685e-08
1862,3.07223065876272e-08
1863,4.345320103738004e-08
1864,3.8357823917145595e-08
1865,3.624270106250549e-08
1866,2.968023871119385e-08
1867,3.591080499631971e-08
1868,3.260316916442463e-08
1869,5.567211758261692e-08
1870,6.422134646300037e-08
1871,2.5490825672491724e-08
1872,3.567930284553711e-08
1873,2.334541759907438e-08
1874,1.1949218503559678e-08
1875,1.830888685105947e-08
1876,4.41359064851099e-08
1877,3.154256233983688e-08
1878,2.7175899530718084e-08
1879,2.443730151568957e-08
1880,3.7223507831640745e-08
1881,3.9743291324612073e-08
1882,2.994923420374107e-08
1883,5.181857787306399e-08
1884,2.3105939384038265e-08
1885,4.640857520499253e-08
1886,6.96974105096615e-08
1887,3.852065610931987e-08
1888,5.389522428345117e-08
1889,7.01695306304373e-08
1890,4.784702234417182e-08
1891,2.103492668936724e-08
1892,4.387958618679022e-08
1893,4.12613916367377e-08
1894,3.591877417719047e-08
1895,3.490796363081472e-08
1896,4.009979637231709e-08
1897,2.0976169246011978e-08
1898,2.6028432298375037e-08
1899,5.30647525920358e-08
1900,2.8550792841031125e-08
1901,4.2474415984372627e-08
1902,2.7988617201657462e-08
1903,2.8621167658116065e-08
1904,2.364835083312755e-08
1905,4.1286071894575116e-08
1906,3.549487281873098e-08
1907,5.0399863837924386e-08
1908,2.7503779476134582e-08
1909,3.190570518896152e-08
1910,3.420256566855073e-08
1911,5.107559175598908e-08
1912,3.4903121726159725e-08
1913,2.9696742620544114e-08
1914,3.080502164465315e-08
1915,2.3561524065129902e-08
1916,2.4172416068779512e-08
1917,4.386569596448453e-08
1918,3.445912799548978e-08
1919,3.314825391953491e-08
1920,3.483226640454973e-08
1921,3.1048264403921166e-08
1922,2.951174238319254e-08
1923,3.1847844361720945e-08
1924,3.480738630656788e-08
1925,6.488924952918751e-08
1926,4.2355325469145555e-08
1927,2.4528295394787847e-08
1928,2.8565103837863148e-08
1929,5.570203143179242e-08
1930,3.991369423861357e-08
1931,2.3951248984133144e-08
1932,4.712600820688806e-08
1933,4.3588516795978194e-08
1934,4.193553237996639e-08
1935,3.949533766700597e-08
1936,4.00115567344983e-08
1937,2.3923124703451037e-08
1938,3.241303669909712e-08
1939,3.364691103513451e-08
1940,4.564409250562562e-08
1941,2.6563522936839945e-08
1942,4.551317678291866e-08
1943,4.645176332473966e-08
1944,1.6065930807940276e-08
1945,1.5249528306782167e-08
1946,1.5313214696277555e-08
1947,1.549713246618012e-08
1948,3.4790041070209554e-08
1949,3.337782761292374e-08
1950,2.8715476219076663e-08
1951,4.157946698057913e-08
1952,2.0035128001083535e-08
1953,3.3398865451061965e-08
1954,2.834035517373934e-08
1955,4.1296675856727916e-08
1956,2.0058624983221307e-08
1957,3.3573143820575524e-08
1958,2.9780077070995503e-08
1959,4.5729412256889646e-08
1960,3.8756666320693967e-08
1961,3.335116449676434e-08
1962,3.868593489997352e-08
1963,3.81497122781127e-08
1964,4.1370986192390546e-08
1965,2.9001830270658502e-08
1966,3.4342264143560897e-08
1967,3.007504689733764e-08
1968,4.9854715911124003e-08
1969,3.905911816204366e-08
1970,4.598724956395017e-08
1971,4.778709827846228e-08
1972,2.975485280387602e-08
1973,3.087394118139741e-08
1974,2.418995759256859e-08
1975,3.084199384773001e-08
1976,5.0850389676782015e-08
1977,2.1744093636755224e-08
1978,4.099008155122874e-08
1979,3.2185852649746494e-08
1980,3.9227538550790086e-08
1981,2.9097527720622907e-08
1982,3.103751122779386e-08
1983,3.220811262139023e-08
1984,3.421415017967888e-08
1985,4.752291005161169e-08
1986,4.1961398355994106e-08
1987,4.1553553487005956e-08
1988,3.7778288053402775e-08
1989,4.006329135108899e-08
1990,3.105731050112581e-08
1991,3.634108391992186e-08
1992,4.187557633983374e-08
1993,4.099013484193392e-08
1994,4.0616934704473806e-08
1995,3.687266580953974e-08
1996,4.5907594170557786e-08
1997,3.020783534424254e-08
1998,3.6237781664283375e-08
1999,4.067479064673307e-08
2000,3.578605589638073e-08
2001,4.074526804842549e-08
2002,3.9430994469569214e-08
2003,3.2501999314149543e-08
2004,3.347641364115361e-08
2005,3.783149615799175e-08
2006,3.541385407146436e-08
2007,4.753430449255802e-08
2008,3.874270149140102e-08
2009,3.528462499957641e-08
2010,3.542844861925687e-08
2011,2.2943831279320648e-08
2012,1.5659562757619483e-08
2013,4.574165224369153e-08
2014,2.1221362889178863e-08
2015,1.8397575463069415e-08
2016,2.4441812129794016e-08
2017,2.4652991648110856e-08
2018,3.949643945233561e-08
2019,2.3724185727047598e-08
