year,plusieurs_DET airs_NOUN,plusieurs_DET mers_NOUN
1800,1.7292904752608251e-07,8.489243796816481e-08
1801,1.5477686554632442e-07,3.095537381980762e-08
1802,8.503792514602537e-08,1.3427040812530322e-07
1803,6.436119459607426e-08,4.6808139586573816e-08
1804,3.213406074564773e-08,6.426812149129546e-08
1805,5.970043259750923e-08,3.695740957709859e-08
1806,7.492339904047185e-08,1.4408345627714425e-08
1807,1.5088861937684328e-07,8.540865792383556e-09
1808,5.4385776326881796e-08,4.5321478125970316e-08
1809,9.26202483597649e-08,3.162642681076022e-08
1810,1.7082924808065059e-07,5.616304221689461e-08
1811,1.3287506828163487e-07,2.757784400841956e-08
1812,1.0135391326215881e-07,6.401299401659344e-08
1813,3.3358602280486593e-07,2.8757417114277928e-08
1814,1.0069366851439554e-07,1.8880061958270744e-08
1815,4.315557666778602e-08,5.394447111228828e-09
1816,3.476405652236281e-08,3.0128852301913867e-08
1817,7.784366895524641e-08,8.407116069975018e-08
1818,9.65615398751396e-08,4.2916237674717195e-08
1819,5.796588153916815e-08,4.6579724966022695e-08
1820,1.008650931666466e-07,2.3732961373923445e-08
1821,7.001656587846128e-08,4.043210211079895e-08
1822,7.719724237631453e-08,3.709477880420309e-08
1823,6.917880579493385e-08,1.680056804787e-08
1824,7.747423769188799e-08,5.642145595174952e-08
1825,9.509878795554982e-08,5.195211372210906e-08
1826,5.6371100232155413e-08,1.4092774947016551e-08
1827,5.438191230666689e-08,2.212145555624545e-08
1828,7.979901983645732e-08,1.9261833017480967e-08
1829,4.2865879568143583e-08,6.086954873474326e-08
1830,1.565525344915386e-07,2.0873670791843324e-08
1831,8.886987146183856e-08,4.053713453799901e-08
1832,6.088486359523415e-08,1.352996914505411e-08
1833,7.29768601104297e-08,7.645194699534841e-08
1834,4.480574888887645e-08,4.573920264761e-08
1835,8.168134968400409e-08,1.5882484660778573e-08
1836,7.056787687531596e-08,2.419469957715137e-08
1837,1.0506415115685286e-07,2.7135774960385106e-08
1838,6.249040174211018e-08,1.009945904684173e-08
1839,8.040196608494199e-08,1.7478688718597368e-08
1840,6.624476167615967e-08,1.8472096741106725e-08
1841,6.741575875324202e-08,7.961480008589206e-08
1842,4.494537408916699e-08,5.366612043644636e-09
1843,4.961805233349992e-08,2.7171790151214736e-08
1844,6.421616793872431e-08,1.756339607084101e-08
1845,3.5713458523822794e-08,4.296775557577348e-08
1846,4.156696142842975e-08,3.2785209214125643e-08
1847,2.9662729161827883e-08,1.7258315665458213e-08
1848,4.505324158188273e-08,2.172209789819135e-08
1849,5.195237151589538e-08,2.4300303991253713e-08
1850,2.2403686905647646e-08,2.7155984128057753e-08
1851,2.3217978650791338e-08,5.8044946626978344e-09
1852,3.841221940525941e-08,3.1250618093281446e-08
1853,5.076142151061447e-08,2.6276500753041887e-08
1854,4.0006614743237634e-08,3.429138506483298e-08
1855,4.086341576226005e-08,1.539011762474729e-08
1856,5.539592551340178e-08,1.5531567143511893e-08
1857,7.908045018822918e-08,2.636014961865385e-08
1858,3.083015964744362e-08,6.361778659424999e-09
1859,3.05530396538245e-08,2.3933214521321133e-08
1860,7.00309170653668e-08,7.323494255473406e-09
1861,8.630213921279051e-08,2.1221836732365773e-08
1862,8.674533980013166e-08,1.7620147146901743e-08
1863,6.992469181454908e-08,2.3974179974572962e-08
1864,4.650886165080692e-08,1.4384183621984903e-08
1865,6.730787305286867e-08,1.3649848362717876e-08
1866,3.60055367742973e-08,7.784980660119345e-09
1867,5.5322049163919473e-08,1.0190904120577216e-08
1868,5.433861449688493e-08,1.7289560005906424e-08
1869,4.737013536981749e-08,1.0743741896135361e-08
1870,4.529898367522378e-08,1.6055336615750093e-08
1871,1.1683294554032386e-08,3.18635318130589e-09
1872,2.9027227954614432e-08,1.1489944995446422e-08
1873,7.961385639632113e-08,1.496501056408306e-08
1874,3.106796664376077e-08,1.1949218670093131e-08
1875,6.40811045893308e-08,1.94531928343622e-08
1876,2.8416269337583344e-08,7.255217759905008e-09
1877,4.391219254884504e-08,1.9791411176584006e-08
1878,1.1293095963926802e-07,9.662541877730746e-09
1879,5.9260456652943105e-08,1.221865097988939e-08
1880,8.407378393471276e-08,1.9253538763308597e-09
1881,9.064259814950404e-08,8.367009307619355e-09
1882,3.860123354293421e-08,5.324308105514319e-09
1883,8.973460996486438e-08,1.0742875922176154e-08
1884,4.027034972153842e-08,2.5086448474098688e-08
1885,5.4787904435471546e-08,9.66845359329227e-09
1886,3.420335914494643e-08,7.744156815814307e-09
1887,3.7867763591492576e-08,5.876032105334161e-09
1888,3.931181136174189e-08,6.974675947901687e-09
1889,3.9470360035931407e-08,1.1277245803853475e-08
1890,3.21164943528629e-08,6.554386366985909e-09
1891,3.505821177807178e-08,5.099376032546843e-09
1892,3.3223115813996174e-08,2.5074049503359674e-09
1893,3.941386639283451e-08,4.926733243593162e-09
1894,3.150769734006076e-08,1.1972924873759894e-08
1895,2.407445731655855e-08,1.2639090662958097e-08
1896,3.1843957581934035e-08,8.845543852942228e-09
1897,2.0976168801922768e-08,9.322741689743452e-09
1898,2.037007762467624e-08,1.0185039034382726e-08
1899,3.427098604902312e-08,6.080336234504102e-09
1900,3.737558218475101e-08,4.671947717582725e-09
1901,1.1177477665658131e-08,1.676621730339889e-09
1902,2.2587305914534284e-08,2.9461704187383475e-09
1903,2.6461079549733313e-08,8.640352433531007e-09
1904,3.6009986992269205e-08,1.1286712897629059e-08
1905,2.0126960098565405e-08,5.160758931310738e-09
1906,2.572092172581364e-08,8.230695236477459e-09
1907,1.954280415272791e-08,1.8514235478050978e-08
1908,2.8486056846688257e-08,1.080505640516094e-08
1909,3.355599975662926e-08,1.4302557360679202e-08
