year,quelques_DET eaux_NOUN,quelques_DET maux_NOUN
1800,7.074370231840987e-07,1.540640592878617e-07
1801,4.5242469548512076e-07,3.2384083148429e-07
1802,2.215461734067503e-07,1.7007585029205075e-07
1803,3.58862413563088e-07,1.4627543620804317e-07
1804,1.9527622896475805e-07,2.175228850376243e-07
1805,2.4164460610265337e-07,2.4733036241286754e-07
1806,1.671368039524168e-07,1.4408345627714425e-07
1807,5.209927849136875e-07,8.825560593450632e-08
1808,3.8296650961555656e-07,1.1783584596969376e-07
1809,2.6882463544097845e-07,1.3780086316472762e-07
1810,1.8955026881428694e-07,2.0827127933387146e-07
1811,1.6546706893549867e-07,1.328750656170996e-07
1812,2.827240734859515e-07,1.493636587746039e-07
1813,2.5594101771275746e-07,2.3868655318892706e-07
1814,1.2272040805783035e-07,8.181360300341112e-08
1815,1.3755840200246894e-07,1.6992508999891243e-07
1816,2.827476599520651e-07,1.8309070171085295e-07
1817,3.0826092256575066e-07,1.992797935557178e-07
1818,1.4663048819585356e-07,1.2636448087910424e-07
1819,2.411794675083456e-07,1.2628281353954662e-07
1820,1.6494408328071586e-07,1.4833100969724455e-07
1821,2.2188348380858258e-07,1.7060375068211897e-07
1822,9.223566621585633e-08,1.2933044502005941e-07
1823,1.1661570775700625e-07,1.7492356496617845e-07
1824,1.7515914407795208e-07,1.8358025499765063e-07
1825,1.0654586324321258e-07,1.0038204756313007e-07
1826,1.2771577084791375e-07,1.1890778495171617e-07
1827,2.3135354698666788e-07,6.083400339029765e-08
1828,1.797770985412228e-07,1.07315923258966e-07
1829,1.6803425140210493e-07,1.1573787439544958e-07
1830,1.5863990387998683e-07,1.2419834582999556e-07
1831,1.8709446880649239e-07,7.483778574624012e-08
1832,2.597754102939831e-07,1.055337577327009e-07
1833,2.0618858442844612e-07,1.0656938087549861e-07
1834,1.54953209374753e-07,1.306834382930333e-07
1835,1.4218605315363675e-07,9.680752555141225e-08
1836,1.5726554947192994e-07,8.602559997683557e-08
1837,1.315041417981888e-07,1.5307359824134892e-07
1838,8.39517539930057e-08,1.0667553862475643e-07
1839,1.2514740621583087e-07,9.788065158389259e-08
1840,1.1338045879938363e-07,8.599079714954883e-08
1841,1.585875448739671e-07,1.0850727338862498e-07
1842,6.708265187782558e-08,1.0263645400243604e-07
1843,9.982679527453797e-08,1.0041748588207611e-07
1844,1.158086453401097e-07,9.001240552919398e-08
1845,8.705155485344562e-08,7.756516584578321e-08
1846,1.042101231973902e-07,7.201036433812646e-08
1847,1.429204301572895e-07,8.844887133818702e-08
1848,1.5044565060406967e-07,9.573813641861051e-08
1849,1.080944542763973e-07,5.781796419412899e-08
1850,1.7108270089494226e-07,7.46789554639804e-08
1851,1.0706068653831835e-07,5.933483571141096e-08
1852,8.593920131083621e-08,6.640756344822307e-08
1853,1.3616004856942254e-07,5.6136158832487126e-08
1854,1.3560684219982022e-07,8.884585867008354e-08
1855,9.287139945968192e-08,1.1462984517152108e-07
1856,1.0561466279312981e-07,8.231731207786197e-08
1857,1.2740739041561255e-07,6.101886196319128e-08
1858,2.1091743818146824e-07,6.361778925878525e-08
1859,1.3341493776408697e-07,7.892869025027949e-08
1860,1.1122556919929139e-07,9.840945103256615e-08
1861,1.4289369998365942e-07,1.0233641312140662e-07
1862,1.897554264829182e-07,1.0797987304300705e-07
1863,8.940371343246767e-08,5.244352019317944e-08
1864,1.3377291452343343e-07,6.233146621070773e-08
1865,7.578019678433634e-08,7.813361957431653e-08
1866,9.244664234131506e-08,8.660790662418094e-08
