year,tes_DET oies_NOUN,tes_DET mois_NOUN
1800,0.0,9.432493452976587e-09
1801,0.0,1.1905913144261149e-08
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,0.0,1.5602713565598947e-08
1804,0.0,4.943701892301533e-09
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,6.7770915546105925e-09
1810,0.0,7.020380277111826e-09
1811,0.0,0.0
1812,0.0,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,5.394447111228828e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,1.556873407970727e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,9.315945015409e-09
1820,0.0,5.933240565525466e-09
1821,8.875339574387908e-09,5.9168927535324656e-09
1822,1.0025615893027862e-09,7.017931125119503e-09
1823,0.0,6.917880934764753e-09
1824,0.0,1.3473780313688621e-08
1825,0.0,7.924898959288385e-09
1826,0.0,0.0
1827,0.0,1.2904182611350734e-08
1828,9.172301140836225e-09,1.8344602503717056e-09
1829,0.0,7.715858174606183e-09
1830,0.0,4.174734336004349e-09
1831,0.0,4.677361609140007e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,3.475088550253247e-09
1834,9.334530925997342e-10,4.667265462998671e-09
1835,7.563087933704082e-10,7.563087933704082e-10
1836,3.36037508930076e-09,6.720749901045764e-09
1837,0.0,4.174734558048954e-09
1838,0.0,2.5248647617104325e-09
1839,2.7965900706306e-09,2.7965900706306e-09
1840,0.0,5.095750932326837e-09
1841,0.0,7.0626033910059505e-09
1842,0.0,5.366612043644636e-09
1843,0.0,5.906911015873817e-09
1844,1.097712254427563e-09,6.037417232818143e-09
1845,5.580227946389016e-10,1.339254718235594e-08
1846,5.854501328173001e-10,4.6836010625384006e-09
1847,5.3932236454556914e-09,6.47186837454683e-09
1848,1.6090443422100975e-09,4.022610855525244e-09
1849,0.0,1.6758829879393033e-09
1850,6.788996032014438e-10,3.394498016007219e-09
1851,3.2247193804124663e-09,2.579775504329973e-09
1852,0.0,5.208436348880241e-09
1853,5.971931837933653e-10,2.9859659189668264e-09
1854,2.0782657816909023e-09,2.597832227113628e-09
1855,5.306937111981824e-10,9.021793090369101e-09
1856,3.6240324075009767e-09,5.177189343896771e-09
1857,4.881509085841174e-10,8.786716299002961e-09
1858,0.0,5.8724113904951025e-09
1859,1.5276520048956854e-09,7.1290429115578036e-09
1860,1.373155145145688e-09,5.034902439415845e-09
1861,1.4147891747029462e-09,7.073945429425521e-09
1862,9.035972525772706e-10,5.873382225018986e-09
1863,1.4983863039219614e-09,4.495158911765884e-09
1864,4.794727948009836e-10,1.9178911792039344e-09
1865,4.706844358715045e-10,6.589582268734517e-09
1866,0.0,9.244664589402873e-09
1867,4.85281148598915e-10,7.279217228983725e-09
1868,0.0,1.975949626142892e-09
1869,0.0,3.4184632902167778e-09
1870,2.8670243956696595e-09,2.8670243956696595e-09
1871,0.0,4.248470908407853e-09
1872,0.0,1.0280476914203973e-08
1873,5.986004469882289e-10,1.7958012854535355e-09
1874,0.0,2.3898436007918633e-09
1875,1.1443054281912168e-09,5.721527251978387e-09
1876,6.04601479992084e-10,3.02300739996042e-09
1877,3.710889595609501e-09,1.1751150386096754e-08
1878,0.0,6.6429977074733415e-09
