year,vingt - trois mètres
1800,3.100291579016812e-08
1801,1.5689897381321316e-08
1802,2.9562052361598035e-08
1803,5.999996233185811e-08
1804,1.2504665392043535e-07
1805,4.37112923634686e-08
1806,2.211952221387037e-08
1807,3.4264434844999414e-08
1808,7.470443819102002e-09
1809,8.64835740799208e-08
1810,0.0
1811,5.5186069047863384e-09
1812,2.920916841731014e-09
1813,5.979424599900085e-08
1814,3.439378781777691e-09
1815,1.1825670220844131e-08
1816,5.0662816164503965e-09
1817,5.800820090939851e-08
1818,7.819937586361903e-09
1819,1.9220353308924132e-08
1820,7.769235921273321e-09
1821,6.372189886860724e-08
1822,1.3157714917610974e-08
1823,1.0795871752122821e-08
1824,1.5618815463191993e-08
1825,8.649633898016873e-09
1826,1.8260124079461093e-08
1827,0.0
1828,1.3030040713069013e-08
1829,2.3413734950850085e-08
1830,3.766593903442583e-08
1831,6.845792821508212e-09
1832,1.3343645299812579e-08
1833,3.168445061874081e-08
1834,5.11437159289585e-09
1835,1.8259132872344708e-08
1836,1.5421328214415553e-08
1837,2.2772963292894133e-08
1838,1.858205678217928e-08
1839,2.6749026105221674e-08
1840,2.6442450007380103e-08
1841,1.7549476538647468e-08
1842,3.007435367408107e-08
1843,1.871711674539256e-08
1844,3.051826524824719e-08
1845,3.7822509568741225e-08
1846,2.0501135011841143e-08
1847,1.884991895906296e-08
1848,1.4975327644606296e-08
1849,4.5871058063085e-09
1850,2.0804186817713344e-08
1851,2.7528418655720088e-08
1852,5.2788138305004395e-08
1853,3.791484459725325e-08
1854,2.159609913121585e-08
1855,2.0944035838965647e-08
1856,4.02650961461859e-08
1857,2.460860848430002e-08
1858,2.0371754061443426e-08
1859,1.8952485802969932e-08
1860,2.2580920244763547e-08
1861,2.375368168827663e-08
1862,3.71331374537931e-08
1863,3.563698613984201e-08
1864,3.8321640971616944e-08
1865,2.5798026770385007e-08
1866,2.1357225321594342e-08
1867,4.8442319711128334e-08
1868,8.655858252382131e-09
1869,5.571605043996897e-08
1870,2.9531454615039365e-08
1871,3.616127131067515e-08
1872,9.950267276792601e-09
1873,1.0496679081484217e-08
1874,1.7698942755828284e-08
1875,2.766267037657144e-08
1876,1.9258409977851443e-08
1877,1.633814505908049e-08
1878,9.970256620306372e-09
1879,1.2769005408586054e-08
1880,2.332104465097018e-08
1881,2.07478603186928e-08
1882,1.758631995585347e-08
1883,1.6023202320525343e-08
1884,2.837188617377251e-08
1885,1.9175626420064873e-08
1886,3.129043646410423e-08
1887,2.1607872824347396e-08
1888,2.3762666501170315e-08
1889,2.6964842803067768e-08
1890,2.530141074430503e-08
1891,2.529794507211136e-08
1892,2.1443284481392766e-08
1893,1.2906589574868121e-08
1894,2.2964071533237984e-08
1895,1.2619719491624437e-08
1896,2.4066110160259058e-08
1897,1.6748787246001484e-08
1898,2.0600555927785535e-08
1899,1.464098442482964e-08
1900,1.3192810399687005e-08
1901,6.784080852639818e-09
1902,8.651444005636222e-09
1903,1.669077853705403e-08
1904,2.2553861001028963e-08
1905,1.994263604254698e-08
1906,1.3621577199529611e-08
1907,9.093903408086135e-09
1908,1.301967422762118e-08
1909,1.6378375988779226e-08
1910,1.0617045020921978e-08
1911,5.284629178703426e-09
1912,1.3219760397475966e-08
1913,2.2819291345399506e-08
1914,7.386593559033372e-09
1915,1.558571582904733e-08
1916,1.2093360979292811e-08
1917,6.0305116456049745e-09
1918,8.846387622440943e-09
1919,5.067473107800424e-09
1920,8.343376545205672e-10
1921,8.356959568800448e-09
1922,7.329497897501369e-09
