year,aux_ADP auteurs_NOUN,aux_ADP moteurs_NOUN
1800,2.3486909599412797e-06,3.144164484325529e-09
1801,2.424043929138975e-06,1.904946067554647e-08
1802,2.18636984072873e-06,0.0
1803,2.3248042513301925e-06,1.950339223455444e-09
1804,2.847572311948099e-06,1.2359254952798437e-08
1805,2.626818988993307e-06,0.0
1806,2.630963879646231e-06,2.0171682990621775e-08
1807,2.9722210417304495e-06,0.0
1808,2.8824461928422807e-06,4.5321479902327155e-09
1809,4.213091941096536e-06,2.4849335034105025e-08
1810,4.146704707608251e-06,4.44624070894406e-08
1811,3.126324788382817e-06,1.7549536934780008e-08
1812,2.9525994973411684e-06,1.0135391192989118e-07
1813,3.4077539012855596e-06,2.8757416448144113e-09
1814,2.6620889701511885e-06,3.1466771410748606e-09
1815,2.8024152758376886e-06,2.4275012222574333e-08
1816,2.1345132310557346e-06,2.3176038865813098e-09
1817,3.26943408168745e-06,0.0
1818,3.234215381731076e-06,4.172412104708201e-08
1819,2.8382579912999972e-06,1.3456364911235141e-08
1820,2.5821462283914798e-06,2.0173018810965004e-08
1821,2.9752111103675816e-06,7.88919063410276e-09
1822,2.6788445808278993e-06,7.017931125119503e-08
1823,2.3016778056828002e-06,1.1859224713361982e-08
1824,2.6720189714168896e-06,2.7789671008804362e-08
1825,3.008819880356839e-06,2.289415235168235e-08
1826,3.0986489107931448e-06,3.170874407487645e-08
1827,2.84168526398787e-06,2.8573547083965423e-08
1828,2.844330698081876e-06,2.0179061976932644e-08
1829,2.956031180278984e-06,3.600733933240008e-08
1830,2.777242000817637e-06,3.235419043789989e-08
1831,2.4727652467859684e-06,3.274153215215847e-08
1832,2.9251792854623204e-06,1.8941957335982806e-08
1833,2.235640282677309e-06,1.6217079235048004e-08
1834,2.5287244709293333e-06,1.8669062740173104e-08
1835,2.311279658329113e-06,2.4201881387853064e-08
1836,2.463154838316939e-06,9.409050427677812e-09
1837,2.639128052539519e-06,1.3219993100221927e-08
1838,2.4415443165004547e-06,2.7142295522253335e-08
1839,3.0468849738785053e-06,3.216078425793967e-08
1840,2.2822594996085854e-06,1.7835128929277744e-08
1841,2.6850734191619097e-06,4.751206006403663e-08
1842,2.2928849254810757e-06,2.5491406319133603e-08
1843,2.5470600104604557e-06,1.7130041385371442e-08
1844,2.189935926877329e-06,3.677336124496833e-08
1845,2.2192565900525096e-06,4.575786860527842e-08
1846,2.2937937025346855e-06,3.1614305839866574e-08
1847,2.1152222258180586e-06,3.883121024728098e-08
1848,2.036245581926721e-06,1.689496542667257e-08
1849,2.264117807682098e-06,3.9383248662261394e-08
1850,2.312332089360325e-06,1.4935791270431764e-08
1851,2.077364277486282e-06,7.868315066161813e-08
1852,3.1647760430075778e-06,2.8646400807019745e-08
1853,2.588235243905501e-06,4.837264810930719e-08
1854,2.5770494858079473e-06,7.377843758149538e-08
1855,2.5743951397316778e-06,5.1477289986223695e-08
1856,2.6621107922508713e-06,3.831119954611495e-08
1857,2.7892943199603337e-06,2.4895696171256532e-08
1858,2.705224154464503e-06,6.85114613929727e-08
1859,3.522765468000344e-06,4.939408171367177e-08
1860,2.5380485911830064e-06,4.2567808833382514e-08
1861,2.5593535080137286e-06,7.026785908692545e-08
1862,2.4302247012553124e-06,7.770936605311363e-08
1863,2.5272782235852276e-06,4.395266373080631e-08
1864,2.4625723322735382e-06,4.1234660130839984e-08
1865,2.4870965256162947e-06,7.20147212973643e-08
1866,2.696036228044818e-06,3.843834051053818e-08
1867,2.6054744015624465e-06,7.667442503134225e-08
1868,2.2881497541149542e-06,1.5363008287749835e-07
1869,2.2952540117415765e-06,5.323035878745941e-08
1870,2.3371983748354808e-06,5.734048613703635e-08
1871,2.348342372560097e-06,8.284518315804235e-08
1872,2.84345889212112e-06,7.740594298866199e-08
1873,2.4865862622291957e-06,8.38040605799506e-08
1874,2.6324126816135163e-06,5.914862910572083e-08
1875,2.6204593772671814e-06,9.612165285943775e-08
1876,2.8525098230147705e-06,1.614286020412692e-07
1877,2.627309802605282e-06,1.292626592430679e-07
1878,3.1010720933366542e-06,1.1474268291067347e-07
1879,3.4322189659263813e-06,1.3318329195044498e-07
1880,3.5644717915062074e-06,1.4183440555370908e-07
1881,3.182949670943458e-06,1.2341338617716247e-07
1882,3.3583073024701093e-06,1.4175969909047126e-07
1883,3.2696259344433543e-06,1.5040026823953667e-07
1884,3.4421248233940105e-06,1.425966615897778e-07
1885,3.3014545093301706e-06,2.752286434315465e-07
1886,3.031837344735777e-06,2.684641060568538e-07
1887,3.406139887474069e-06,1.8607434526529687e-07
1888,3.7029189776660587e-06,2.2826212386917177e-07
1889,3.641297524836773e-06,2.5499107891846506e-07
1890,3.54461216289792e-06,3.958849390528485e-07
1891,3.2629632169545175e-06,5.309725565894041e-07
1892,3.475890181903196e-06,5.93628101341892e-07
1893,3.4086836075974958e-06,5.246970999905898e-07
1894,3.0228483502980907e-06,5.324800440575927e-07
1895,3.071900739115563e-06,5.109803851155448e-07
1896,2.904286746208129e-06,5.425266635938897e-07
1897,2.989686741283748e-06,6.007341539771005e-07
1898,3.290333463468187e-06,6.376965870913409e-07
1899,2.844491810094496e-06,6.019532747814083e-07
1900,2.828604829474557e-06,6.878145200062136e-07
1901,3.0184779333808365e-06,6.125258096290054e-07
1902,2.6127619356941523e-06,2.388361963312491e-06
1903,3.0856858899142026e-06,7.976125289133051e-07
1904,3.3553784817286214e-06,8.239300655077386e-07
1905,2.8637053013369496e-06,5.712960273740464e-07
1906,3.000088369731202e-06,6.461095836129971e-07
1907,3.112963160134541e-06,5.754841936322919e-07
1908,3.3976990323481004e-06,6.379894443853118e-07
1909,2.869313073361468e-06,7.415325740112166e-07
1910,3.153048826476379e-06,6.942051982150588e-07
1911,3.0049473949134153e-06,7.161223720686394e-07
1912,3.2876656437252905e-06,8.303817367050215e-07
1913,3.001492171250675e-06,8.41054145439557e-07
