year,vingt - six mois
1800,1.7223841908275972e-08
1801,2.614982896886886e-08
1802,1.7244529360027627e-08
1803,8.57142268273492e-09
1804,4.621289306783183e-08
1805,4.37112923634686e-08
1806,3.475924970075539e-08
1807,5.6069074716447176e-08
1808,2.988177527640801e-08
1809,2.4709592594263086e-08
1810,1.795003257143435e-08
1811,1.9315123722662975e-08
1812,4.381375262596521e-08
1813,9.441196269222019e-09
1814,3.7833167709777626e-08
1815,1.7738505775355407e-08
1816,2.2798268162205204e-08
1817,4.09469649298444e-08
1818,7.819937586361903e-09
1819,6.218349790643174e-08
1820,4.6615413751283086e-08
1821,6.480193270874679e-09
1822,2.8508381433312024e-08
1823,1.1875458838517261e-08
1824,6.431276844409695e-09
1825,4.228709826747945e-08
1826,3.6520248158922186e-08
1827,5.6339665377436177e-08
1828,8.018486319372187e-09
1829,2.0604086437003843e-08
1830,1.712088182337368e-08
1831,1.0268689010217713e-08
1832,5.48572067771147e-08
1833,4.1823472685109664e-08
1834,1.9434612141822072e-08
1835,4.564783040450493e-08
1836,3.818614707773449e-08
1837,3.7195840185688667e-08
1838,3.716411356435856e-08
1839,4.5855472308176104e-08
1840,2.2267325316960296e-08
1841,2.9483119057260865e-08
1842,3.2274915184871134e-08
1843,1.9362534686706567e-08
1844,2.7526279533507392e-08
1845,1.9521293914692706e-08
1846,2.0501135677974958e-08
1847,6.244035433145001e-08
1848,2.3784343383681517e-08
1849,8.256790140492853e-09
1850,3.1949286771748575e-08
1851,4.9409980440451307e-08
1852,3.281424731937932e-08
1853,3.1377801690268825e-08
1854,3.5235739659356113e-08
1855,1.6871585628575048e-08
1856,2.268456111842454e-08
1857,2.1933759253300877e-08
1858,3.8063014073941304e-08
1859,2.0067338013518565e-08
1860,5.319061102682099e-08
1861,5.215482090648038e-08
1862,2.723096825807403e-08
1863,2.467175930220833e-08
1864,1.4698711248151142e-08
1865,2.5282067772636196e-08
1866,4.751982707329461e-08
1867,5.589498452973629e-08
1868,2.4885592253554023e-08
1869,1.98220551084205e-08
1870,4.712466150635919e-08
1871,2.2163359036930785e-08
1872,3.913771706720581e-08
1873,4.789109819824944e-08
1874,3.93309863566671e-08
1875,2.451918479362547e-08
1876,4.316540191950935e-08
1877,1.9741924650595877e-08
1878,2.7252034406899384e-08
1879,3.696290917787337e-08
1880,4.240190026871815e-08
1881,2.4590056213469325e-08
1882,5.6422777561238036e-08
1883,3.065308096239505e-08
1884,5.0923896599552876e-08
1885,4.6163544764610265e-08
1886,4.8357945647836686e-08
1887,4.249548157808647e-08
1888,3.7041804290538494e-08
1889,3.8718749428845456e-08
1890,5.710889894317006e-08
