year,seuls_ADJ êtres_NOUN,seuls_ADJ etres_NOUN,seuls_ADJ maîtres_NOUN
1800,1.2576657582030748e-07,0.0,1.0690159513160324e-07
1801,5.9529565277216534e-08,0.0,1.6668278135512082e-07
1802,6.937304419807333e-08,0.0,1.3650824826072494e-07
1803,2.0868630201675842e-07,0.0,1.6382849388207887e-07
1804,1.656140113936999e-07,0.0,1.2606439270257397e-07
1805,9.665784261869703e-08,0.0,1.336152555264647e-07
1806,7.492339904047185e-08,0.0,1.0950342499427279e-07
1807,1.0533734240425474e-07,8.540865792383556e-09,2.135216305987342e-07
1808,1.8128591960930862e-08,0.0,1.6089124699192325e-07
1809,6.551188391767937e-08,0.0,1.2424668227595248e-07
1810,1.0296557917399696e-07,0.0,1.3338722659739233e-07
1811,5.515568801683912e-08,0.0,1.0028306718368185e-07
1812,8.801787032552966e-08,0.0,1.947061960549945e-07
1813,1.0352670187785407e-07,0.0,1.4091134414861983e-07
1814,8.810695817373926e-08,0.0,2.1397404736944736e-07
1815,2.022917726662854e-07,2.697223555614414e-09,1.1867783911156948e-07
1816,1.5991466284503986e-07,0.0,1.668674798338543e-07
1817,1.977229260319291e-07,0.0,1.4011860294260714e-07
1818,9.775365583664097e-08,1.1921177378582115e-09,1.7047283051851991e-07
1819,1.759678553980848e-07,0.0,1.552657522552181e-07
1820,1.1273156985680544e-07,0.0,2.0529012090264587e-07
1821,1.5679766818266216e-07,0.0,1.9131287842810707e-07
1822,1.3935606091308728e-07,0.0,1.383534993237845e-07
1823,1.0080340473450633e-07,0.0,1.660291388816404e-07
1824,1.2631669221718766e-07,1.6842225392110777e-09,1.0610602174665473e-07
1825,5.0191026446100295e-08,8.805443041381977e-10,1.584979711921619e-07
1826,7.134467239211517e-08,0.0,1.964180569302698e-07
1827,6.175572764277604e-08,0.0,2.1107555880917062e-07
1828,5.1364885678140126e-08,0.0,1.320811311988912e-07
1829,7.287199821348622e-08,0.0,1.9889768054781598e-07
1830,1.2837307394875097e-07,0.0,1.9099410053513566e-07
1831,4.053713453799901e-08,0.0,1.38761739654214e-07
1832,5.141388470519814e-08,0.0,1.2988770081712175e-07
1833,1.2741990929043823e-07,0.0,1.2741990929043823e-07
1834,1.3348379468425264e-07,0.0,1.521528503189984e-07
1835,1.104210838320796e-07,0.0,1.7470732416313695e-07
1836,5.8470526198561856e-08,0.0,1.4516819613064058e-07
1837,7.72325918774186e-08,0.0,2.0386620747103734e-07
1838,5.1759727170974656e-08,0.0,1.6159134652582452e-07
1839,5.3135210009713774e-08,0.0,1.4821927063479734e-07
1840,6.433385379978063e-08,0.0,1.566943481634553e-07
1841,1.4317822660814272e-07,1.2841097074556274e-09,1.1171754277228274e-07
1842,7.043678351692506e-08,0.0,1.5429009314615882e-07
1843,1.0278025541765601e-07,0.0,1.85477002867529e-07
1844,6.147188713612195e-08,0.0,1.65205690905168e-07
1845,4.631589334280761e-08,0.0,1.852635667098923e-07
1846,8.898842196458645e-08,0.0,2.1661655580373917e-07
1847,7.928039025273392e-08,0.0,1.5208890769002892e-07
1848,1.1746023886871626e-07,0.0,1.6412252840103392e-07
1849,6.871120206142223e-08,0.0,1.340706319297169e-07
1850,8.825694663983086e-08,0.0,1.3510102192526574e-07
1851,1.1093034402165358e-07,0.0,1.6833035321184298e-07
1852,7.487127362537649e-08,6.510545436100301e-10,1.4713833396129417e-07
1853,7.703791737867505e-08,1.1943863675867306e-09,1.6124216450918993e-07
1854,7.014146774508845e-08,1.558699391779328e-09,1.028741536401867e-07
