year,les_DET effets_NOUN,les_DET méfaits_NOUN
1800,4.914643659503781e-05,1.2576657937302116e-08
1801,4.623303993867012e-05,7.143547975374531e-09
1802,4.5267029463502695e-05,3.1329761895904085e-08
1803,4.790618368133437e-05,0.0
1804,5.335984656085202e-05,4.943701892301533e-09
1805,5.3798619092049194e-05,2.842877711017877e-09
1806,5.101418992126128e-05,2.0171682990621775e-08
1807,5.374197121454927e-05,1.4234775136401367e-08
1808,4.835348840970255e-05,1.8128591516841652e-08
1809,4.714822762252879e-05,6.7770917766551975e-09
1810,4.217376340420742e-05,1.6380887757350138e-08
1811,4.117622825106082e-05,1.2535384286138651e-08
1812,5.063961498308345e-05,2.6672082320544632e-09
1813,4.9764708364818944e-05,2.0130190847567064e-08
1814,3.959149262300343e-05,1.5733386149463513e-08
1815,4.79080852073821e-05,1.8880564667256294e-08
1816,4.39487237144931e-05,7.879853569647821e-08
1817,3.752998873096658e-05,1.71256075987003e-08
1818,3.8119155760796275e-05,1.5497530370112145e-08
1819,3.638290422713908e-05,2.070209959015301e-08
1820,4.0061239360511536e-05,6.05190555447166e-08
1821,3.8436138311226387e-05,5.719663320746804e-08
1822,3.781461680318898e-05,4.511527151862538e-08
1823,3.6306028050603345e-05,1.0475648082319822e-07
1824,3.911606881956686e-05,6.315834344405857e-08
1825,3.366673126947717e-05,1.3296219081304628e-07
1826,3.894802603099379e-05,8.719904798226707e-08
1827,4.3658533968482516e-05,9.2172731225304e-08
1828,3.942897137676482e-05,8.530239847814869e-08
1829,3.9969862655198085e-05,1.826086473144528e-07
1830,3.885112300849869e-05,1.7012042263786498e-07
1831,3.48759672306187e-05,2.899964317570891e-07
1832,3.560952541192819e-05,1.6912461398010947e-07
1833,3.838235420516867e-05,1.6564589400136498e-07
1834,3.904914319718955e-05,2.697679497565275e-07
1835,3.60751730568154e-05,1.5126175867408165e-07
1836,3.324217402678187e-05,2.7286245707358603e-07
1837,3.690882908813364e-05,2.3795986514585366e-07
1838,3.318997846690763e-05,2.2345053096728407e-07
1839,3.6859756846752134e-05,2.0135447886815427e-07
1840,3.571802744772867e-05,3.567025537165591e-07
1841,3.7005474041507114e-05,1.7784919581487202e-07
1842,3.650704798019433e-05,2.7705133387456726e-07
1843,3.4771622722473694e-05,2.4041127488771963e-07
1844,3.762299047593842e-05,3.139457041001492e-07
1845,3.664591622509761e-05,2.594805965649982e-07
1846,3.640738714238978e-05,3.688335858953451e-07
1847,3.839759642687568e-05,3.00402557051882e-07
