year,autres_ADJ oies_NOUN,autres_ADJ mois_NOUN
1800,1.5720821977538435e-08,7.200136451501749e-07
1801,4.7623651688866175e-09,5.381472760745964e-07
1802,4.475680270843441e-09,7.228223921629251e-07
1803,0.0,4.6418074362009065e-07
1804,4.943701892301533e-09,6.204346050253662e-07
1805,0.0,5.174037482902349e-07
1806,1.152667650217154e-08,1.3486211400959291e-06
1807,0.0,3.2739984590079985e-07
1808,4.5321479902327155e-09,5.61986325919861e-07
1809,0.0,5.195770427235402e-07
1810,0.0,5.171680186322192e-07
1811,0.0,5.791347348349518e-07
1812,0.0,4.0008123391999106e-07
1813,0.0,5.492666446116345e-07
1814,0.0,4.1536137018738373e-07
1815,1.0788894222457657e-08,3.5873074466508115e-07
1816,0.0,3.8008704450476216e-07
1817,0.0,4.904151182927308e-07
1818,2.026600220972341e-08,5.698322524949617e-07
1819,0.0,5.082365532871336e-07
1820,4.746592452420373e-09,3.951538189994608e-07
1821,2.9584463767662328e-09,3.29373705199032e-07
1822,1.0025615893027862e-09,4.5015013938609627e-07
1823,1.8777105759149038e-08,3.1328116278928064e-07
1824,0.0,4.058976230680855e-07
1825,2.905796137042671e-08,4.2706398062364315e-07
1826,0.0,4.2806803435269103e-07
1827,0.0,4.5072465582052246e-07
1828,5.503380862137419e-09,3.457957689079194e-07
1829,8.57317605795771e-10,4.963869173479907e-07
1830,2.0873671680021744e-09,3.986871206507203e-07
1831,1.5591206103948707e-09,4.069304679887864e-07
1832,0.0,3.693681662753079e-07
1833,0.0,3.614092065618024e-07
1834,5.600718555598405e-09,4.685934413828363e-07
1835,2.2689263801112247e-09,5.210967515267839e-07
1836,2.688300027031687e-09,3.259563641222485e-07
1837,1.3915781860163179e-09,4.7452815010728955e-07
1838,1.8936485712828244e-09,3.9703499510324036e-07
1839,1.3982950353153e-09,3.768405179016554e-07
1840,3.821813199245128e-09,4.4842607849204796e-07
1841,6.420548537278137e-10,4.4879635652250727e-07
1842,2.683306021822318e-09,4.575036882670247e-07
1843,0.0,5.25715108778968e-07
1844,1.2074834465636286e-08,4.4182917235957575e-07
