year,tes_DET mines_NOUN
1800,1.5720821977538435e-08
1801,2.3811825844433088e-09
1802,6.713520406265161e-09
1803,9.751696339321825e-09
1804,2.2246657849223084e-08
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,2.039466551195801e-08
1809,2.710836710662079e-08
1810,4.680253518074551e-09
1811,1.0028307073639553e-08
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,2.0239355080775567e-08
1818,2.2650237685439834e-08
1819,8.280840124719191e-09
1820,5.933240565525466e-09
1821,9.861488514673056e-09
1822,4.110502516141423e-08
1823,7.906149512848515e-09
1824,7.57900142644985e-09
1825,3.522177216552791e-09
1826,8.807984341885344e-10
1827,1.013900075008678e-08
1828,1.834460228167245e-08
1829,1.971830521085849e-08
1830,1.3567886369969528e-08
1831,3.1182412207897414e-09
1832,5.411987857861789e-09
1833,8.108540172635514e-09
1834,4.667265685043276e-09
1835,1.3613558280667348e-08
1836,4.032449929525228e-09
1837,6.262101948095733e-09
1838,2.5248647617104325e-09
1839,1.0487212875887053e-08
1840,1.1465439264668476e-08
1841,3.852329122366882e-09
1842,3.3541325272778977e-09
1843,4.7255288571079745e-09
1844,4.939705144924034e-09
1845,1.674068439427856e-09
1846,9.367202125076801e-09
1847,2.1572894581822766e-09
1848,8.045221766561639e-09
1849,1.0893239643650077e-08
1850,3.394498016007219e-09
1851,3.2247193804124663e-09
1852,7.161600201754936e-09
1853,7.763511611358354e-09
1854,1.1430461910322265e-08
1855,6.8990182455763716e-09
1856,2.5885946719483854e-09
1857,1.0251168802710708e-08
1858,1.1255455234504552e-08
1859,1.323965115318515e-08
1860,7.781212646440494e-09
1861,3.3011746669586728e-09
1862,7.228778020618165e-09
1863,3.995696662428827e-09
1864,2.8768367688059016e-09
1865,4.706844247692743e-09
1866,8.271541673821048e-09
1867,4.85281148598915e-09
1868,1.0373735648272486e-08
1869,6.348574999037737e-09
1870,1.0894693147633916e-08
1871,6.37270636261178e-09
1872,7.256807155187062e-09
1873,4.788803575905831e-09
1874,1.3741600746186577e-08
1875,7.4379850611983045e-09
1876,1.0882827083946722e-08
1877,1.4225077116236662e-08
1878,6.6429977074733415e-09
1879,2.443730107160036e-09
1880,3.2089231272180996e-09
1881,4.8807553554297556e-09
1882,5.989846840748214e-09
1883,3.159669414998234e-09
1884,2.6406787867472303e-09
1885,5.80107206715752e-09
1886,5.80811748696064e-09
1887,5.223139698529167e-09
1888,8.876860135842435e-09
1889,8.14467782106476e-09
1890,9.83157938394541e-09
1891,3.1871101313640793e-09
1892,4.387958441043338e-09
1893,1.0469308087124318e-08
