year,quelques_DET auteurs_NOUN
1800,5.898452400288079e-06
1801,7.881714324753375e-06
1802,9.526485428068554e-06
1803,1.1442640584391484e-05
1804,1.041885202823778e-05
1805,7.920257203863912e-06
1806,1.0549790985692198e-05
1807,6.223444088959695e-06
1808,9.469923043070594e-06
1809,9.316242056911506e-06
1810,7.090584070112982e-06
1811,9.002912783273587e-06
1812,1.1119591448505162e-05
1813,1.1364931182811233e-05
1814,7.338050792782269e-06
1815,7.592684525548066e-06
1816,1.0292478823004103e-05
1817,1.0770450153074762e-05
1818,8.95161219816032e-06
1819,9.810725074999027e-06
1820,7.893583203966159e-06
1821,7.5696782708689625e-06
1822,6.825439129443112e-06
1823,5.6301667896718754e-06
1824,6.316676672390997e-06
1825,6.111857765667139e-06
1826,7.322958126110279e-06
1827,7.083474246272203e-06
1828,8.290843197755748e-06
1829,7.175748242549407e-06
1830,6.603386093262387e-06
1831,6.984860231096235e-06
1832,7.4658369948465975e-06
1833,7.1934335061918375e-06
1834,6.928088757796047e-06
1835,6.873334370993689e-06
1836,6.519127751403175e-06
1837,7.462337990649104e-06
1838,6.330467493320668e-06
1839,6.716710193366282e-06
1840,5.839093764059555e-06
1841,6.935476598801671e-06
1842,6.349373042446871e-06
1843,7.016228789291645e-06
1844,6.826123509329207e-06
1845,6.994815855865255e-06
1846,6.958075049467993e-06
1847,6.500991942104406e-06
1848,7.188405318991897e-06
1849,6.239312332123603e-06
1850,6.640316882133845e-06
1851,6.147604947992491e-06
1852,6.423955254852842e-06
1853,7.527023054398896e-06
1854,5.61391542641676e-06
1855,6.646408142074733e-06
1856,4.635655347140499e-06
1857,5.275446859798194e-06
1858,4.4498197118159055e-06
1859,5.437422727183616e-06
1860,5.178625732238373e-06
1861,4.384903065979273e-06
1862,4.652622251966054e-06
1863,4.116067011061819e-06
1864,4.492180653237199e-06
1865,4.3665396436409765e-06
1866,5.311303162613967e-06
1867,5.208037379134112e-06
1868,5.11276968495622e-06
1869,4.767291383878103e-06
1870,5.37739087391742e-06
1871,3.9415189090341585e-06
1872,4.406091441477855e-06
1873,5.010285733630937e-06
1874,4.72053873856737e-06
1875,4.088030996385328e-06
1876,5.075629425199679e-06
1877,4.498835096455878e-06
1878,3.875283281384867e-06
1879,3.983891051273503e-06
1880,4.2344949624517625e-06
1881,3.6033918604516657e-06
1882,3.856795725454276e-06
1883,4.098723210610444e-06
1884,3.696950433784707e-06
1885,3.6424286469216582e-06
1886,3.5687653872074065e-06
1887,3.186115170361603e-06
1888,3.7371582832790295e-06
1889,3.276666488361002e-06
1890,3.0766290137762553e-06
1891,2.8683991384337304e-06
1892,3.1198386163389102e-06
1893,3.1118477754610296e-06
1894,2.803554853603174e-06
1895,2.698144957014037e-06
1896,2.776910908219854e-06
1897,2.995513511905301e-06
1898,2.5666297943649496e-06
1899,2.9522796705094834e-06
1900,2.61421439518017e-06
1901,2.872052839553163e-06
1902,2.192441689974345e-06
1903,2.2329910507323802e-06
1904,2.5115623820681776e-06
1905,2.4131709837615922e-06
1906,2.6153034271558795e-06
1907,2.2967938320128667e-06
1908,2.398231203848411e-06
1909,2.4138316510047275e-06
1910,2.2723328489959727e-06
1911,2.3228753898152377e-06
1912,2.3671609694631e-06
1913,2.237861673748398e-06
1914,2.3773440684937697e-06
1915,1.5798001340439072e-06
1916,1.6283418329265942e-06
1917,1.544072517845052e-06
1918,1.627619504951383e-06
1919,1.49903769930404e-06
1920,1.825665073784677e-06
1921,2.1900385284157053e-06
1922,1.7470950754994163e-06
1923,1.884330805168588e-06
1924,1.749393468974958e-06
1925,2.0346629412415496e-06
1926,1.9795542410827593e-06
1927,1.7760714811076994e-06
1928,1.9012933143436328e-06
1929,1.6855435118756645e-06
1930,2.0187926388359756e-06
1931,1.9845321341804834e-06
1932,1.7765409361381046e-06
1933,2.128954952773654e-06
1934,1.8092186291340795e-06
1935,1.9340747403617797e-06
1936,1.760508553161344e-06
1937,1.6481773741361394e-06
1938,1.8462465014579266e-06
1939,1.437640804624607e-06
1940,1.3008566384087317e-06
1941,1.4226242974757497e-06
1942,1.4109084913727088e-06
1943,1.4632306051254318e-06
1944,1.471639221151122e-06
1945,1.0674669965737849e-06
1946,1.2027833991012926e-06
1947,1.214736770061009e-06
1948,1.3948631476523587e-06
1949,1.2359613674739478e-06
1950,1.2347654447797396e-06
1951,1.3028233274425816e-06
1952,1.3434080212704202e-06
1953,1.2519187553294842e-06
1954,1.3085426378012244e-06
1955,1.2557943431801277e-06
1956,1.3020664189067332e-06
1957,1.4339265845819682e-06
1958,1.0902816622859746e-06
1959,1.03162454312411e-06
1960,1.1675445552583597e-06
1961,1.1144847640309763e-06
1962,1.0470570255272094e-06
1963,1.0481472445533768e-06
1964,1.0872051205979005e-06
1965,1.224643330743902e-06
1966,1.3565194336706554e-06
1967,1.315906558829738e-06
1968,1.277358659734773e-06
1969,1.0605004661101702e-06
1970,1.0701233108534325e-06
1971,1.2080372400191663e-06
1972,1.0629664490835466e-06
1973,9.780423226857238e-07
1974,8.202083350283829e-07
1975,8.801390953827593e-07
1976,9.095934903058378e-07
1977,9.391097526290082e-07
1978,8.287124995121076e-07
1979,8.064019230147323e-07
1980,8.669854825171797e-07
1981,8.077726716404499e-07
1982,8.361505683396331e-07
1983,8.058343219374819e-07
1984,7.857656445509065e-07
1985,7.946552162962917e-07
1986,8.188467099934371e-07
1987,7.992948307666836e-07
1988,7.099919936415233e-07
