year,les_DET ondes_NOUN,les_DET mondes_NOUN
1800,2.6002241213518573e-06,1.4997664834481839e-06
1801,2.1644949868004915e-06,6.214886689726029e-07
1802,2.9360463429384254e-06,1.0696875847315823e-06
1803,2.900154427720736e-06,8.113411453791741e-07
1804,4.103272665645363e-06,1.4040113782698427e-06
1805,3.087365277210097e-06,1.0262788689985314e-06
1806,2.5848572917652746e-06,7.492339673120796e-07
1807,1.7252547976909227e-06,6.320240135693211e-07
1808,2.259275824201268e-06,5.665185245362636e-07
1809,2.1777053405003244e-06,5.127999296306029e-07
1810,3.2878781865974815e-06,8.003233782361008e-07
1811,1.980590695893625e-06,8.774768551766954e-07
1812,1.7176820641395807e-06,8.268345417228318e-07
1813,2.3811139868712417e-06,6.297874115546165e-07
1814,2.1869406410246484e-06,5.915753069629659e-07
1815,1.5940591495677836e-06,5.016835933346897e-07
1816,2.3593206535110767e-06,7.856677264328482e-07
1817,2.1344735472439424e-06,5.962825163630114e-07
1818,1.697575704895371e-06,9.11970077233093e-07
1819,1.993612137596301e-06,6.510810450777171e-07
1820,2.03747480753691e-06,6.407900041693892e-07
1821,1.922990165326155e-06,6.222599233662862e-07
1822,2.349001761103864e-06,9.514309624591988e-07
1823,2.311560358236875e-06,8.588055102620729e-07
1824,2.437912172581491e-06,5.4653019976314e-07
1825,2.6847796021911563e-06,1.1209329275896351e-06
1826,1.8047560104150762e-06,8.006457882236973e-07
1827,1.8794020135715073e-06,5.521146674847266e-07
1828,1.8528048713051248e-06,6.090408136150138e-07
1829,1.7009180908189592e-06,6.37844291884182e-07
1830,2.1959103122526358e-06,7.535395625257735e-07
1831,3.833877499914706e-06,1.004073662880245e-06
1832,2.1675009946875434e-06,1.3502909335105784e-06
1833,2.6885602366633066e-06,1.709743602917868e-06
1834,2.0022567781552425e-06,1.2676293394964233e-06
1835,2.0261512574393237e-06,8.236202759803746e-07
1836,2.325379583112408e-06,1.012144940304438e-06
1837,2.195910340674345e-06,8.975679253175883e-07
1838,2.1619153400820323e-06,8.919084664160692e-07
1839,2.1016375200133552e-06,7.844435414572359e-07
1840,2.49054815526506e-06,1.0312525601241518e-06
1841,1.849760081995555e-06,1.0683793245647166e-06
1842,1.9957088781552557e-06,1.05118511894986e-06
1843,1.9356947262849644e-06,1.0839181671107312e-06
1844,1.3562234713049293e-06,1.036789206931843e-06
1845,1.9034157645592131e-06,9.659374856085812e-07
1846,1.4062511972667835e-06,9.548691475291804e-07
1847,1.9291560988676792e-06,8.817920464920803e-07
1848,1.424004203443019e-06,9.469225725755592e-07
1849,1.2007701570837526e-06,8.563761879631926e-07
1850,1.972882223810757e-06,1.021743890383675e-06
1851,2.3759733096540003e-06,7.803821027163593e-07
1852,1.5215144912872347e-06,1.1009332594458243e-06
1853,1.590325460654185e-06,9.369960918270692e-07
1854,1.4064663389490306e-06,1.0718656060504372e-06
1855,1.7884378422650116e-06,1.278971861751188e-06
1856,1.5495326977088553e-06,1.1633143728317918e-06
1857,1.87205876045482e-06,1.4468793343436204e-06
1858,2.0284286961214093e-06,1.5096990333418603e-06
1859,1.7455970038326996e-06,1.0724117225358043e-06
1860,1.6839459959783198e-06,1.4303699675810577e-06
1861,1.7958390401418e-06,1.1096662260179357e-06
1862,1.3427454987890997e-06,1.1154908375332617e-06
1863,1.774588803016286e-06,1.692677016329469e-06
1864,1.6172617023357816e-06,2.3652393146278428e-06
1865,1.5043074057530248e-06,2.6108865469609555e-06
1866,2.4989787874574176e-06,1.8756937336661395e-06
1867,1.93530125613961e-06,1.6329710419427101e-06
