year,ses_DET eaux_NOUN,ses_DET mots_NOUN
1800,7.29131750176748e-06,9.621143064464377e-07
1801,6.350613830363727e-06,5.071919133570191e-07
1802,9.786074770090636e-06,6.668763603556727e-07
1803,7.477600348693159e-06,3.6471342212962554e-07
1804,9.55370396127364e-06,6.10547161938868e-07
1805,6.604005093890919e-06,5.259323998529908e-07
1806,6.0025169261734845e-06,4.091970025044134e-07
1807,7.222724946132075e-06,3.843389508872974e-07
1808,6.415255626279759e-06,6.345007346197917e-07
1809,6.250737442314858e-06,6.167153081548804e-07
1810,6.056247940477988e-06,5.42909387224455e-07
1811,6.232593023014488e-06,7.345735140162901e-07
1812,7.428174882306848e-06,5.121039663436022e-07
1813,6.306501518338337e-06,4.572429261884281e-07
1814,5.210897285223837e-06,5.223483938721074e-07
1815,4.34252993386508e-06,4.962891484439069e-07
1816,5.0037069598829476e-06,5.260960698194594e-07
1817,4.376371066427964e-06,3.098177959737214e-07
1818,5.666135464821309e-06,5.078421665416499e-07
1819,4.332949657737117e-06,4.47165371397773e-07
1820,5.325676738721086e-06,4.4143310162780836e-07
1821,4.665470214604284e-06,5.926754340634943e-07
1822,5.791798173504503e-06,3.930041430066922e-07
1823,4.699217583947757e-06,4.042018968419825e-07
1824,4.559190628583565e-06,6.30741341822727e-07
1825,5.242760593660023e-06,4.2970562219579733e-07
1826,6.053727787502794e-06,4.6329997793748134e-07
1827,4.123807855194173e-06,3.926558225231247e-07
1828,4.8539817782966566e-06,4.118363250427137e-07
1829,5.31022510585899e-06,4.0722586547303763e-07
1830,5.133879398044883e-06,5.249728367573425e-07
1831,5.466277002597053e-06,5.893475929497072e-07
1832,5.0480313689149625e-06,4.329590064244826e-07
1833,7.221234170629032e-06,4.3786114467536663e-07
1834,5.709932622721681e-06,4.6672655429347287e-07
1835,5.971057817077963e-06,4.341212545000417e-07
1836,5.223366983386768e-06,4.966634272740578e-07
1837,5.070911015536694e-06,5.531523115109849e-07
1838,5.344507485460781e-06,4.7593699870063233e-07
1839,4.167618499195669e-06,4.949964491629544e-07
1840,4.895742691246596e-06,4.4651516351024156e-07
1841,4.443019719246877e-06,4.404496438681349e-07
1842,4.607236263609593e-06,4.702493914265915e-07
1843,4.280147635427056e-06,4.4951593380915256e-07
1844,3.849127978128308e-06,4.478665895923939e-07
1845,4.2560396451563065e-06,3.3927784848231113e-07
1846,4.042533049641861e-06,3.5712458590353435e-07
1847,3.7757957898065797e-06,4.13120941900047e-07
1848,4.015369981402728e-06,3.435309778865303e-07
1849,3.980222174959636e-06,3.0333480882660524e-07
1850,3.942370099707659e-06,4.860921132276985e-07
1851,4.119901419130656e-06,3.85031481364706e-07
1852,4.3275595658087695e-06,4.7136349223819707e-07
1853,4.1289937087185535e-06,5.243356060447013e-07
1854,4.1461400144271465e-06,4.0474225659892227e-07
1855,4.2359970109373535e-06,5.036283283743614e-07
1856,4.155729655508367e-06,3.7068676306262205e-07
1857,4.142448688071454e-06,5.110939813590676e-07
1858,3.978558709150093e-06,6.146457049993614e-07
1859,4.140446108635842e-06,6.146253461736251e-07
1860,3.826067924705967e-06,4.911318356448646e-07
1861,4.2778507634011476e-06,5.734612091856661e-07
1862,4.4524755082875345e-06,5.164058558548845e-07
1863,3.770439263917069e-06,5.973566725714363e-07
1864,4.161344378417198e-06,6.118072786165385e-07
1865,3.77018224639869e-06,4.862170293051804e-07
1866,3.763064995609966e-06,4.787763039360016e-07
1867,3.5808896683420244e-06,5.571027479334134e-07
1868,3.7473885186045663e-06,4.87565584350591e-07
1869,3.711474647616342e-06,5.298618450666481e-07
1870,3.5453623326020534e-06,5.183579858680787e-07
1871,3.5092370609390855e-06,3.589958008642924e-07
1872,3.4149324648069523e-06,5.817540653652031e-07
1873,3.577834775114752e-06,4.6990136581825936e-07
1874,3.416281614931904e-06,5.030620648938111e-07
1875,3.694962131817192e-06,5.252361852114973e-07
1876,4.102220998447592e-06,6.179026890151817e-07
1877,4.404207629704615e-06,5.887944896088015e-07
1878,3.4531508958934864e-06,4.6561373956421903e-07
1879,3.714469713145263e-06,5.645016560862359e-07
1880,3.897558059406947e-06,4.903234565034609e-07
1881,4.195357604430683e-06,5.752318816831803e-07
1882,3.5526445998357303e-06,5.996501784011343e-07
1883,3.6816469730638346e-06,5.9591365442202e-07
1884,3.677145201663734e-06,6.753535828352142e-07
1885,3.5670148719191275e-06,6.793700002560854e-07
1886,3.4713181236156743e-06,6.014628119999088e-07
1887,3.410710263551664e-06,6.476693172885462e-07
1888,3.1373361650821607e-06,7.672143880199656e-07
1889,3.5454407765200813e-06,6.528272713524075e-07
1890,3.3938612631345677e-06,6.823116418530617e-07
1891,2.7708734151588033e-06,6.272232671022948e-07
1892,3.497203081792577e-06,7.089687468209149e-07
1893,3.103226063672082e-06,6.029089849590719e-07
1894,3.398420233224897e-06,7.801305539345549e-07
1895,3.113429173140503e-06,8.438097367502451e-07
1896,3.1112725480397785e-06,6.89952374344216e-07
1897,2.7851690589386635e-06,6.71237385674317e-07
1898,2.899906910158734e-06,7.146502287724843e-07
1899,2.7765027112991447e-06,7.324041462197783e-07
1900,2.951113614813039e-06,7.449161358863421e-07
1901,2.8262253195521225e-06,7.287715817483331e-07
1902,2.4242071816615862e-06,6.820384292893777e-07
1903,3.0840658098441054e-06,6.885280985358122e-07
1904,2.8206032425259764e-06,8.239300655077386e-07
1905,2.8337727684402125e-06,6.708987037029601e-07
1906,2.9260121863217137e-06,7.330462814536531e-07
1907,2.5642215888410647e-06,8.177120989216746e-07
1908,2.8972284695782946e-06,8.118526260147974e-07
1909,2.320314870019047e-06,8.823577459793341e-07
1910,2.7249824228192665e-06,1.0105789201020343e-06
1911,2.569208696456826e-06,7.581533090217363e-07
1912,2.618776001384049e-06,9.111277883278035e-07
1913,2.3577093415383388e-06,9.142354073787828e-07
1914,2.5983365787851653e-06,7.413295080027638e-07
1915,2.2100709529127016e-06,6.868184314612336e-07
1916,2.2831945756252026e-06,9.570079733123293e-07
1917,2.443319353062634e-06,9.189863661163145e-07
1918,2.103155537724888e-06,1.0452602801080957e-06
1919,2.2982788436820556e-06,8.876365953369714e-07
1920,2.448859746095877e-06,1.0676846500246029e-06
1921,2.3513379758810515e-06,1.2033095764252266e-06
