year,ces_DET êtres_NOUN,ces_DET etres_NOUN,ces_DET mètres_NOUN
1800,5.266475412213367e-06,1.0061326083388167e-07,1.2576657937302116e-08
1801,4.1504013523763206e-06,1.4287095506659853e-08,3.809892135109294e-08
1802,3.5827819431233365e-06,2.2378401354217203e-09,2.4616241489638924e-08
1803,5.221057989501787e-06,5.070882092006457e-08,0.0
1804,3.450703914609221e-06,7.4155528384522995e-09,4.943701892301533e-09
1805,3.820827629397172e-06,3.9800287288116465e-08,2.842877711017877e-09
1806,3.2534043441501126e-06,1.6425514193230129e-07,1.729001475325731e-08
1807,2.436993689514111e-06,2.5053206309522125e-07,1.7081731584767113e-08
1808,2.5765260431853676e-06,6.571614363792833e-08,1.3596443970698147e-08
1809,2.512042016178384e-06,4.518061036407062e-09,2.259030518203531e-09
1810,2.295664259577279e-06,7.020380277111826e-09,1.8721014072298203e-08
1811,1.7699961460948543e-06,5.264861302478607e-08,2.757784400841956e-08
1812,2.8379095624586625e-06,2.6672082320544632e-09,5.3344164641089264e-09
1813,2.7089486991371814e-06,1.7254449868886468e-08,7.476928232108548e-08
1814,2.2121140972330977e-06,1.5733385705374303e-08,2.5173417128598885e-08
1815,3.3715294591729617e-06,5.394447111228828e-09,0.0
1816,4.934178747362239e-06,1.1588019432906549e-08,1.8540831092650478e-08
1817,4.1350557182795455e-06,1.401186056071424e-08,1.556873407970727e-09
1818,3.6264221421333787e-06,8.344824387052086e-09,0.0
1819,3.0908236396953725e-06,6.210630232317271e-09,1.5526575580793178e-08
1820,3.434159694393202e-06,2.610625760013363e-08,9.493184904840746e-09
1821,3.010712447348851e-06,3.94459531705138e-09,3.94459531705138e-09
1822,3.512975752073544e-06,1.0025615893027862e-08,1.0025615893027862e-09
1823,2.5882757199724438e-06,4.941343556552624e-09,9.882686669016039e-09
1824,3.3650766084747374e-06,5.89477879842093e-08,9.263223965660927e-09
1825,3.0871882614746937e-06,7.044354211060977e-09,1.7610886082763955e-09
1826,3.0237810477729e-06,1.7615968683770689e-09,6.1655889282974385e-09
1827,2.9808661423658123e-06,1.8434546111834038e-09,9.217273055917019e-10
1828,3.5799492934529553e-06,7.3378408349533686e-09,9.172301251858528e-10
1829,3.274095831784507e-06,2.571952817387313e-09,1.0287811491593857e-08
1830,3.513038905111898e-06,1.9829988096020656e-08,1.2524203008013046e-08
1831,3.115122908070589e-06,7.795602829929749e-09,8.575163690238696e-08
1832,3.2458397214440993e-06,2.705993873419743e-09,1.352996914505411e-08
1833,3.879357223013358e-06,1.1583628389821854e-08,4.6334514003376626e-09
1834,3.847693633929339e-06,1.213489042584115e-08,1.0267983796552471e-08
1835,3.860956297785378e-06,1.0588323107185715e-08,2.193295500774184e-08
