year,jeunes_ADJ êtres_NOUN,jeunes_ADJ maîtres_NOUN
1800,6.288328968651058e-09,3.458580977167003e-08
1801,2.1430643926123594e-08,5.2386017301842e-08
1802,4.475680270843441e-09,4.2518962573012686e-08
1803,2.3404069793286908e-08,6.046051481689574e-08
1804,2.2246657849223084e-08,7.909923027682453e-08
1805,5.685755422035754e-09,6.822906328807221e-08
1806,0.0,4.8988376022407465e-08
1807,2.8469551160981155e-09,2.562259560079383e-08
1808,0.0,1.450287356874469e-07
1809,2.9367397402779716e-08,4.292158095609011e-08
1810,7.020380277111826e-09,7.254392642153107e-08
1811,0.0,3.008491944456182e-08
1812,2.6672082320544632e-09,7.468182872116813e-08
1813,0.0,3.163315653864629e-08
1814,5.97868634599763e-08,3.1466772298927026e-08
1815,8.90083740046066e-08,2.966945977789237e-08
1816,1.622322720606917e-08,3.0128852301913867e-08
1817,4.670620157298799e-08,5.7604317760251433e-08
1818,1.5497530370112145e-08,6.556647491606782e-08
1819,3.1053151161586356e-09,7.659777168100845e-08
1820,4.746592452420373e-09,8.42520151422832e-08
1821,9.861488514673056e-09,9.960103142248045e-08
1822,3.0076847679083585e-09,3.308453244699194e-08
1823,1.8777104315859106e-08,2.174191138237802e-08
1824,1.0105335235266466e-08,4.0421340941065864e-08
1825,4.4027217427355936e-09,6.692136622632461e-08
1826,9.688783109140786e-09,6.78214817639855e-08
1827,5.530363722527909e-09,3.96342727526644e-08
1828,1.1006761724274838e-08,5.503380862137419e-08
1829,1.5431716349212365e-08,4.4580517055692326e-08
1830,7.305785310052215e-09,3.652892388572582e-08
1831,1.5591206103948707e-09,8.107426907599802e-08
1832,2.1647950987357945e-08,9.8768779821512e-08
1833,1.0425265983826648e-08,2.5020636940098484e-07
1834,6.534171426153534e-09,4.85395617033646e-08
1835,9.075705520444899e-09,6.42862474364847e-08
1836,3.293167694096155e-08,1.0417162599196672e-07
1837,2.7135774516295896e-08,1.0019363116953173e-07
1838,9.468243078458727e-09,8.710783561127755e-08
1839,5.8029243632518046e-08,5.942753844578874e-08
1840,1.46502836528839e-08,1.044628916702095e-07
1841,2.43980835534785e-08,2.073837208627083e-07
1842,1.8112315203211438e-08,8.117000760421433e-08
1843,1.6539351221922516e-08,1.1459407289748924e-07
1844,2.5796238034558883e-08,6.696044607679141e-08
1845,1.4508592549589139e-08,7.86812108799495e-08
1846,8.196302303531411e-09,7.435216531348487e-08
1847,2.2651539310913904e-08,8.844887133818702e-08
1848,2.172209789819135e-08,4.98803736093123e-08
1849,2.6814127807028854e-08,6.871120206142223e-08
1850,2.5119284430275002e-08,8.689914920978481e-08
1851,1.7413483988093503e-08,5.3530342825069965e-08
1852,9.114764054629632e-09,7.747549091163819e-08
1853,1.6124216628554677e-08,1.2182741215838178e-07
1854,3.273268589509826e-08,7.533713386465024e-08
1855,2.7065379271107304e-08,1.1834470114990836e-07
1856,1.8120163147727908e-08,9.526028321715785e-08
1857,1.6597130780837688e-08,7.175818694804548e-08
1858,1.9574704523961373e-08,7.829881809584549e-08
1859,2.036869339860914e-08,1.5021910826362728e-07
1860,1.9224172476128842e-08,8.742421186980209e-08
1861,3.5369726703038395e-08,6.083593007133459e-08
1862,1.9879140111811466e-08,1.138532539357584e-07
1863,2.3974180862751382e-08,1.0338865052972324e-07
1864,4.17141343689309e-08,1.4480077936696034e-07
1865,1.3649848362717876e-08,7.154403647291474e-08
1866,3.308616669528419e-08,1.1774783104101516e-07
1867,2.814630661873707e-08,1.0870297728615697e-07
1868,1.975949714960734e-08,1.047253306296625e-07
1869,2.0022428159904848e-08,1.3038996371506073e-07
1870,3.4977698959437475e-08,1.2041502372994728e-07
1871,8.496941816815706e-09,7.434824311758348e-08
1872,6.047338985126771e-08,1.0764264146700953e-07
1873,2.8732820567256567e-08,9.398026890039546e-08
1874,2.8678122987457755e-08,9.798358746593294e-08
1875,3.089624556196213e-08,1.0127102711976477e-07
1876,1.3301232115736639e-08,1.3724454106522899e-07
