year,vos_DET effets_NOUN,vos_DET méfaits_NOUN
1800,5.65949598296811e-08,9.432493897065797e-09
1801,1.0715321963061797e-07,2.8574191901498125e-08
1802,7.608656460433849e-08,0.0
1803,3.5106107132421016e-08,0.0
1804,1.5572660672091843e-07,2.4718509461507665e-09
1805,5.401467673138427e-08,2.2743021688143017e-08
1806,2.0171683878800195e-08,2.881669125542885e-09
1807,1.537355700520493e-07,0.0
1808,2.7192888385485503e-08,0.0
1809,2.1912596359641157e-07,2.259030518203531e-09
1810,9.828532476774399e-08,0.0
1811,8.273353557797236e-08,1.2535384286138651e-08
1812,1.7603574331559457e-07,5.3344164641089264e-09
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,0.0
1815,7.012781444437621e-08,2.697223555614414e-09
1816,7.879853392012137e-08,0.0
1817,9.496927977359348e-08,0.0
1818,6.318224143875284e-08,0.0
1819,7.142224456302415e-08,1.2421260464634543e-08
1820,8.662531580938548e-08,1.1866481131050932e-09
1821,2.4357876249325727e-07,1.1833785507064931e-08
1822,1.31335568198665e-07,0.0
1823,9.487379382111527e-08,4.941343334508019e-09
1824,1.0189546628680546e-07,6.736890156844311e-09
1825,1.1006803468660564e-07,8.805443485471187e-09
1826,8.984144139745354e-08,2.642395191543301e-09
1827,5.253845775099464e-08,2.7651818612639545e-09
1828,1.192399183835846e-07,4.586150570418113e-09
1829,5.829759697206782e-08,1.714635211591542e-09
1830,6.992680012807284e-08,1.0436835395921662e-08
1831,9.042899495881329e-08,4.677361609140007e-09
1832,1.5153566002013008e-07,4.058990921151917e-09
1833,9.846084481068829e-08,2.20088942626262e-08
1834,9.241185727759671e-08,2.6136685704614138e-08
1835,1.0512692227848675e-07,9.832014313815307e-09
1836,1.0148332840742569e-07,1.0753200108126748e-08
1837,8.906100301686593e-08,1.0436836284100082e-08
1838,5.9334322344284374e-08,1.7042836475411605e-08
1839,7.201219365260414e-08,2.7965899818127582e-08
1840,4.8409633190971135e-08,1.4013314952876499e-08
1841,7.512041966251104e-08,8.346713542550788e-09
1842,7.177843963646069e-08,2.2808102073668124e-08
1843,9.569196146586023e-08,2.1855571574747046e-08
1844,6.366731186702168e-08,7.683985892015244e-09
1845,7.97972607990971e-08,8.37034175305007e-09
1846,7.493761877697125e-08,4.6836010625384006e-09
1847,5.069630137910508e-08,1.833696039454935e-08
1848,4.022610911036395e-08,1.206783295515379e-08
1849,6.452149237112792e-08,8.379414939696517e-10
1850,6.721106071694294e-08,2.1724787302446202e-08
1851,5.2240453962681954e-08,3.2247193804124663e-09
1852,3.3203781724111536e-08,3.450589147746541e-08
1853,9.674529533043597e-08,4.777545470346922e-09
1854,8.676759560843905e-08,1.0391328519876453e-08
1855,6.315255163258371e-08,1.1675261646360013e-08
1856,6.109083461325326e-08,5.177189343896771e-09
1857,5.5649204799834706e-08,1.2203773103180993e-08
1858,7.780945121549365e-08,2.0553439838977283e-08
1859,3.0553039875869104e-08,2.34239969643113e-08
