year,mes_DET eaux_NOUN,mes_DET mots_NOUN
1800,4.4018303668735825e-08,2.5153315874604232e-08
1801,8.334139067756041e-08,9.524730337773235e-09
1802,5.818384352096473e-08,1.1189200677108602e-08
1803,4.095712213825209e-08,3.1205427575287104e-08
1804,9.145848345326613e-08,2.7190360185613827e-08
1805,2.2743021688143017e-08,8.528633133053631e-09
1806,2.939302561344448e-07,1.152667650217154e-08
1807,1.0818429707626365e-07,2.2775640928784924e-08
1808,1.291662137248295e-07,2.2660739951163578e-09
1809,2.710836577435316e-07,2.710836621844237e-08
1810,2.9251584621192706e-07,5.3822913681500495e-08
1811,3.008492077682945e-08,1.0028306629550343e-08
1812,6.934741492159446e-08,1.600324850414836e-08
1813,7.189353823378042e-08,3.163315875909234e-08
1814,9.440031245588898e-08,3.4613449884091096e-08
1815,2.4275012222574333e-08,1.3486117778072071e-08
1816,2.3176038865813098e-08,9.270415546325239e-09
1817,2.9580595417577626e-08,2.80237220096069e-08
1818,9.65615354342475e-08,3.2187177367859476e-08
1819,4.45095160728215e-08,2.2772309593577233e-08
1820,9.967844061264941e-08,1.542642635854463e-08
1821,5.226588806195309e-08,3.648750723783678e-08
1822,9.023054303725075e-08,2.5064039732569654e-08
1823,1.561464593180517e-07,1.7788836736976066e-08
1824,5.81056784909606e-08,3.3684450784221553e-08
1825,4.781355640304241e-07,3.874394982616991e-08
1826,4.4039921487382117e-08,2.0258364652470107e-08
1827,4.147772969531616e-08,1.2904182611350734e-08
1828,2.2013522782415862e-08,1.1006761391207931e-08
1829,4.4580514835246277e-08,1.7146351893870815e-08
1830,4.0703659553997795e-08,1.8786305178153384e-08
1831,5.4569221807909685e-08,2.0268567268999504e-08
1832,2.4353944638733083e-08,5.006088543701992e-08
1833,4.40177885252524e-08,2.2008894817737712e-08
1834,8.121042216480134e-08,3.6404670167300424e-08
1835,7.865611451052246e-08,2.0420337421001022e-08
1836,5.3765998930810355e-08,3.293167549767162e-08
1837,7.375364274864182e-08,1.3219992989199625e-08
1838,1.6916594525184792e-07,2.209256688701089e-08
1839,3.495737765923934e-08,2.4470162784950844e-08
1840,3.1848443160509277e-08,1.783512781905472e-08
1841,4.558589550285319e-08,1.733548060656176e-08
1842,5.0982814414624045e-08,1.6770663080478698e-08
1843,5.6706348061652534e-08,1.3585895297651973e-08
1844,3.787107349939589e-08,9.330554107123135e-09
1845,5.412821302286375e-08,1.1718478631905782e-08
1846,2.3418005756781213e-08,1.5807153141977892e-08
1847,2.8584085320915165e-08,7.011190739092399e-09
1848,3.459445302445019e-08,1.528592186161859e-08
1849,3.016589378290746e-08,2.513824481908955e-09
1850,5.4311967367937086e-08,1.2220192857625989e-08
1851,5.095056665460618e-08,2.0638204034639784e-08
1852,4.492276350909208e-08,9.114764054629632e-09
1853,5.195580832229041e-08,7.763511167269144e-09
1854,6.026970889028149e-08,2.182179148491059e-08
1855,4.192480318465641e-08,3.131092896069276e-08
1856,6.41971462655988e-08,1.7602443946884705e-08
1857,6.63885206808601e-08,2.5871998821092035e-08
1858,9.004363876741195e-08,3.034079204544682e-08
1859,6.823512332942983e-08,3.106225721083433e-08
1860,2.8378539518314483e-08,1.4646988594213539e-08
1861,5.989273965667508e-08,3.206855281323584e-08
1862,1.265036155828625e-07,2.168633453369928e-08
1863,6.193329782355761e-08,1.7481173175681874e-08
1864,6.808513419720441e-08,3.1165732217175446e-08
